time,idrobot,robot,message
0.001,1,Atta_1,CONFIG|SAVE|1
0.002,2,Atta_2,CONFIG|SAVE|2
0.002,4,Atta_4,CONFIG|SAVE|4
0.002,3,Atta_3,CONFIG|SAVE|3
0.002,1,Atta_1,NAV_CONFIG: arena=2400x1750mm
0.021,2,Atta_2,NAV_CONFIG: arena=2400x1750mm
0.021,4,Atta_4,NAV_CONFIG: arena=2400x1750mm
0.021,3,Atta_3,NAV_CONFIG: arena=2400x1750mm
91.585,2,Atta_2,CHECK_OBSTACLE|4|181.8|950.2|309.7
94.919,1,Atta_1,CHECK_OBSTACLE|2|244.6|608.1|181.8
98.196,1,Atta_1,CHECK_OBSTACLE|4|51.6|522.6|232.2
99.248,1,Atta_1,CHECK_OBSTACLE|4|25.2|489.5|234.1
100.502,3,Atta_3,CHECK_OBSTACLE|2|375.8|716.5|253.4
104.688,3,Atta_3,CHECK_OBSTACLE|2|165.7|648.6|193.9
110.105,3,Atta_3,CHECK_OBSTACLE|1|233.2|570.9|295.2
111.676,1,Atta_1,CHECK_OBSTACLE|4|242.7|446.1|164.7
111.99,4,Atta_4,CHECK_OBSTACLE|1|819.6|1445.3|72.2
112.066,2,Atta_2,CHECK_OBSTACLE|2|937.8|69.6|254.8
112.386,3,Atta_3,CHECK_OBSTACLE|4|202.4|572.3|322.2
113.018,4,Atta_4,CHECK_OBSTACLE|2|838.2|1476.4|72.5
115.552,2,Atta_2,CHECK_OBSTACLE|1|848.6|6.0|197.8
116.572,2,Atta_2,CHECK_OBSTACLE|1|812.1|-4.3|198.3
121.428,3,Atta_3,CHECK_OBSTACLE|2|110.8|152.6|271.7
166.977,1,Atta_1,REQUEST_POSITION
167.129,2,Atta_2,REQUEST_POSITION
167.177,2,Atta_2,EKF_POSE|737.5|275.2|103.6
167.373,3,Atta_3,REQUEST_POSITION
167.403,3,Atta_3,EKF_POSE|259.4|-17.1|335.5
167.627,4,Atta_4,REQUEST_POSITION
167.674,4,Atta_4,EKF_POSE|896.3|1529.2|40.7
167.674,2,Atta_2,EKF_POSE|737.5|275.2|58.7
167.904,3,Atta_3,EKF_POSE|259.4|-17.1|4.5
168.172,4,Atta_4,EKF_POSE|896.3|1529.2|353.5
168.172,2,Atta_2,EKF_POSE|737.5|275.2|20.1
168.403,3,Atta_3,EKF_POSE|259.4|-17.1|4.4
168.674,4,Atta_4,EKF_POSE|896.3|1529.2|332.2
168.675,2,Atta_2,EKF_POSE|737.5|275.2|20.6
168.903,3,Atta_3,EKF_POSE|259.4|-17.1|6.1
169.159,4,Atta_4,EKF_POSE|896.3|1529.2|332.0
169.16,2,Atta_2,EKF_POSE|758.3|283.2|21.2
169.405,3,Atta_3,EKF_POSE|259.4|-17.1|5.3
169.659,4,Atta_4,EKF_POSE|922.2|1515.2|331.5
169.661,2,Atta_2,EKF_POSE|812.7|304.5|21.0
169.903,3,Atta_3,EKF_POSE|259.4|-17.1|6.5
170.159,4,Atta_4,EKF_POSE|973.8|1486.8|330.8
170.16,2,Atta_2,EKF_POSE|868.9|325.4|20.1
170.43,3,Atta_3,EKF_POSE|259.4|-17.1|5.6
170.66,2,Atta_2,EKF_POSE|926.8|347.9|21.8
170.663,4,Atta_4,EKF_POSE|1025.5|1458.2|331.1
170.908,3,Atta_3,EKF_POSE|259.4|-17.1|7.0
171.159,4,Atta_4,EKF_POSE|1077.8|1428.9|330.2
171.16,2,Atta_2,EKF_POSE|969.8|365.0|21.7
171.39,4,Atta_4,CHECK_OBSTACLE|2|1066.0|1460.8|330.4
171.403,3,Atta_3,EKF_POSE|259.4|-17.1|5.5
171.666,4,Atta_4,EKF_POSE|1101.4|1415.4|330.7
171.667,2,Atta_2,EKF_POSE|970.3|365.2|22.2
