time,idrobot,robot,message
0.002,1,Atta_1,CONFIG|SAVE|1
0.003,2,Atta_2,CONFIG|SAVE|2
0.003,3,Atta_3,CONFIG|SAVE|3
0.004,4,Atta_4,CONFIG|SAVE|4
0.004,1,Atta_1,NAV_CONFIG: arena=2400x1750mm
0.004,2,Atta_2,NAV_CONFIG: arena=2400x1750mm
0.005,3,Atta_3,NAV_CONFIG: arena=2400x1750mm
0.037,4,Atta_4,NAV_CONFIG: arena=2400x1750mm
26.713,1,Atta_1,CHECK_OBSTACLE|1|481.3|434.2|93.3
29.17,2,Atta_2,CHECK_OBSTACLE|2|734.2|918.2|267.8
29.411,4,Atta_4,CHECK_OBSTACLE|2|792.7|681.8|89.5
32.385,3,Atta_3,CHECK_OBSTACLE|1|472.0|1107.8|198.2
34.181,1,Atta_1,CHECK_OBSTACLE|4|400.3|933.9|101.9
36.575,2,Atta_2,CHECK_OBSTACLE|4|769.4|909.8|197.9
38.008,3,Atta_3,CHECK_OBSTACLE|1|48.6|1234.2|155.5
39.049,3,Atta_3,CHECK_OBSTACLE|1|-42.1|1257.7|154.3
41.229,3,Atta_3,CHECK_OBSTACLE|1|8.8|1246.6|113.2
43.313,2,Atta_2,CHECK_OBSTACLE|4|679.1|791.9|179.7
44.609,4,Atta_4,CHECK_OBSTACLE|4|1029.9|246.0|266.1
45.306,2,Atta_2,CHECK_OBSTACLE|4|650.8|798.8|220.6
45.625,4,Atta_4,CHECK_OBSTACLE|2|1029.9|246.0|266.1
47.828,4,Atta_4,CHECK_OBSTACLE|2|1029.9|246.0|266.1
51.573,3,Atta_3,CHECK_OBSTACLE|2|281.6|1577.9|109.7
53.573,3,Atta_3,CHECK_OBSTACLE|2|255.5|1611.5|108.9
55.704,3,Atta_3,CHECK_OBSTACLE|2|255.5|1611.5|108.9
80.045,1,Atta_1,REQUEST_POSITION
80.207,2,Atta_2,REQUEST_POSITION
80.238,2,Atta_2,EKF_POSE|678.7|1013.0|120.7
80.413,3,Atta_3,REQUEST_POSITION
80.444,3,Atta_3,EKF_POSE|885.8|1474.8|351.5
80.503,4,Atta_4,REQUEST_POSITION
80.533,4,Atta_4,EKF_POSE|440.9|93.1|181.2
80.745,2,Atta_2,EKF_POSE|678.7|1013.0|72.6
80.944,3,Atta_3,EKF_POSE|885.8|1474.8|338.8
81.035,4,Atta_4,EKF_POSE|440.9|93.1|134.5
81.237,2,Atta_2,EKF_POSE|678.7|1013.0|4.6
81.443,3,Atta_3,EKF_POSE|885.8|1474.8|336.0
81.546,4,Atta_4,EKF_POSE|440.9|93.1|61.4
81.75,2,Atta_2,EKF_POSE|678.7|1013.0|343.4
81.943,3,Atta_3,EKF_POSE|885.8|1474.8|337.2
82.04,4,Atta_4,EKF_POSE|440.9|93.1|9.7
82.242,2,Atta_2,EKF_POSE|678.7|1013.0|343.2
82.445,3,Atta_3,EKF_POSE|885.8|1474.8|336.3
82.533,4,Atta_4,EKF_POSE|440.9|93.1|9.7
82.793,2,Atta_2,EKF_POSE|718.2|1000.6|342.5
82.943,3,Atta_3,EKF_POSE|885.8|1474.8|332.8
83.033,4,Atta_4,EKF_POSE|463.3|98.5|15.3
83.271,2,Atta_2,EKF_POSE|774.2|982.6|341.9
