time,idrobot,robot,message
0.001,2,Atta_2,CONFIG|SAVE|2
0.002,1,Atta_1,CONFIG|SAVE|1
0.002,4,Atta_4,CONFIG|SAVE|4
0.002,3,Atta_3,CONFIG|SAVE|3
0.002,1,Atta_1,NAV_CONFIG: arena=2400x1750mm
0.002,2,Atta_2,NAV_CONFIG: arena=2400x1750mm
0.002,4,Atta_4,NAV_CONFIG: arena=2400x1750mm
0.002,3,Atta_3,NAV_CONFIG: arena=2400x1750mm
17.067,4,Atta_4,CHECK_OBSTACLE|2|658.9|473.3|1.6
17.351,2,Atta_2,CHECK_OBSTACLE|2|142.9|1221.4|179.3
20.292,3,Atta_3,CHECK_OBSTACLE|2|131.5|1451.0|197.4
20.382,2,Atta_2,CHECK_OBSTACLE|1|66.4|1253.7|121.2
21.472,2,Atta_2,CHECK_OBSTACLE|1|14.1|1294.3|119.2
28.461,4,Atta_4,CHECK_OBSTACLE|2|574.9|134.0|288.0
29.359,2,Atta_2,CHECK_OBSTACLE|1|412.7|1378.0|147.4
30.781,3,Atta_3,CHECK_OBSTACLE|1|585.5|1576.4|17.5
30.863,4,Atta_4,CHECK_OBSTACLE|1|573.4|84.0|228.8
31.8,3,Atta_3,CHECK_OBSTACLE|1|585.5|1576.4|17.5
33.735,2,Atta_2,CHECK_OBSTACLE|2|156.8|1312.3|196.7
37.513,4,Atta_4,CHECK_OBSTACLE|1|255.4|22.4|181.7
38.336,2,Atta_2,CHECK_OBSTACLE|4|52.0|1165.4|249.9
38.538,4,Atta_4,CHECK_OBSTACLE|1|255.4|22.4|181.7
40.534,3,Atta_3,CHECK_OBSTACLE|2|1206.5|1452.6|338.5
41.114,1,Atta_1,CHECK_OBSTACLE|4|1055.4|1030.3|8.4
41.555,4,Atta_4,CHECK_OBSTACLE|2|146.3|59.6|142.0
42.253,1,Atta_1,CHECK_OBSTACLE|4|1095.1|1038.9|8.7
42.692,3,Atta_3,CHECK_OBSTACLE|2|1231.9|1458.6|279.2
86.756,1,Atta_1,REQUEST_POSITION
86.939,2,Atta_2,REQUEST_POSITION
86.979,2,Atta_2,EKF_POSE|418.7|1128.3|348.5
87.288,3,Atta_3,REQUEST_POSITION
87.33,3,Atta_3,EKF_POSE|585.5|1440.5|184.1
87.431,4,Atta_4,REQUEST_POSITION
87.462,4,Atta_4,EKF_POSE|373.4|342.9|40.1
87.469,2,Atta_2,EKF_POSE|454.6|1120.8|347.8
87.82,3,Atta_3,EKF_POSE|585.5|1440.5|232.9
87.961,4,Atta_4,EKF_POSE|373.4|342.9|2.5
87.982,2,Atta_2,EKF_POSE|513.0|1108.2|348.3
88.322,3,Atta_3,EKF_POSE|585.5|1440.5|301.6
88.468,4,Atta_4,EKF_POSE|373.4|342.9|359.6
88.469,2,Atta_2,EKF_POSE|571.6|1095.6|347.6
88.819,3,Atta_3,EKF_POSE|585.5|1440.5|335.2
88.963,4,Atta_4,EKF_POSE|373.4|342.9|359.1
88.97,2,Atta_2,EKF_POSE|630.6|1082.1|346.9
89.329,3,Atta_3,EKF_POSE|585.5|1440.5|335.0
89.462,4,Atta_4,EKF_POSE|390.0|342.7|359.1
89.469,2,Atta_2,EKF_POSE|661.7|1075.1|347.5
89.819,3,Atta_3,EKF_POSE|585.5|1440.5|335.3
89.974,4,Atta_4,EKF_POSE|446.7|340.9|357.5
89.975,2,Atta_2,EKF_POSE|662.7|1074.9|347.8
90.318,3,Atta_3,EKF_POSE|585.5|1440.5|338.7
90.461,4,Atta_4,EKF_POSE|506.1|338.7|358.5
90.47,2,Atta_2,EKF_POSE|662.7|1074.9|347.3
90.561,2,Atta_2,REQUEST_POSITION
90.819,3,Atta_3,EKF_POSE|585.9|1440.3|338.4
90.962,4,Atta_4,EKF_POSE|567.8|336.9|357.7
90.969,2,Atta_2,EKF_POSE|697.3|1075.4|346.6
91.319,3,Atta_3,EKF_POSE|630.2|1423.2|338.8
91.463,4,Atta_4,EKF_POSE|621.5|334.5|357.7
91.48,2,Atta_2,EKF_POSE|752.8|1061.5|345.4
91.83,3,Atta_3,EKF_POSE|685.8|1401.3|338.6
91.962,4,Atta_4,EKF_POSE|623.1|334.4|357.6
91.974,2,Atta_2,EKF_POSE|812.2|1046.4|345.9
92.192,4,Atta_4,REQUEST_POSITION
92.319,3,Atta_3,EKF_POSE|741.8|1379.5|338.3
92.33,1,Atta_1,CHECK_OBSTACLE|2|1424.6|1204.8|13.5
92.479,4,Atta_4,EKF_POSE|634.4|348.0|359.6
92.479,2,Atta_2,EKF_POSE|869.2|1031.4|344.4
92.819,3,Atta_3,EKF_POSE|799.2|1356.1|337.6
92.962,4,Atta_4,EKF_POSE|691.1|347.4|358.6
92.971,2,Atta_2,EKF_POSE|912.5|1019.4|346.2
93.324,3,Atta_3,EKF_POSE|818.0|1348.4|337.1
93.463,4,Atta_4,EKF_POSE|747.0|345.5|358.0
93.473,2,Atta_2,EKF_POSE|912.5|1019.4|346.0
93.641,2,Atta_2,REQUEST_POSITION
93.831,3,Atta_3,REQUEST_POSITION
93.831,3,Atta_3,EKF_POSE|818.0|1348.4|336.4
93.965,4,Atta_4,EKF_POSE|808.4|343.9|358.6
93.97,2,Atta_2,EKF_POSE|925.7|1022.4|341.7
94.319,3,Atta_3,EKF_POSE|855.2|1367.6|341.1
94.472,4,Atta_4,EKF_POSE|865.8|341.8|357.7
94.473,2,Atta_2,EKF_POSE|925.7|1022.4|334.2
94.819,3,Atta_3,EKF_POSE|912.4|1347.7|340.2
94.961,4,Atta_4,EKF_POSE|869.7|341.6|357.3
94.97,2,Atta_2,EKF_POSE|925.7|1022.4|334.2
95.311,4,Atta_4,REQUEST_POSITION
95.321,3,Atta_3,EKF_POSE|968.7|1327.3|340.2
95.462,4,Atta_4,EKF_POSE|905.4|373.0|359.1
95.483,2,Atta_2,EKF_POSE|925.7|1022.4|333.7
95.819,3,Atta_3,EKF_POSE|1026.1|1306.8|340.4
95.978,4,Atta_4,EKF_POSE|958.6|372.5|359.8
95.978,2,Atta_2,EKF_POSE|925.7|1022.4|331.9
96.321,3,Atta_3,EKF_POSE|1055.3|1296.4|340.3
96.463,4,Atta_4,EKF_POSE|1018.7|371.9|358.8
96.474,2,Atta_2,EKF_POSE|925.7|1022.4|331.1
96.823,3,Atta_3,EKF_POSE|1055.3|1296.4|339.9
96.922,3,Atta_3,REQUEST_POSITION
96.976,2,Atta_2,EKF_POSE|925.7|1022.4|330.9
97.01,4,Atta_4,EKF_POSE|1078.7|370.7|359.2
97.325,3,Atta_3,EKF_POSE|1085.2|1296.3|340.3
97.39,4,Atta_4,CHECK_OBSTACLE|2|1164.2|426.2|358.5
97.462,4,Atta_4,EKF_POSE|1126.9|370.1|359.0
97.47,2,Atta_2,EKF_POSE|959.0|1003.8|330.8
97.733,3,Atta_3,CHECK_OBSTACLE|1|1137.3|1280.1|341.1
97.834,3,Atta_3,EKF_POSE|1126.2|1281.6|340.5
97.963,4,Atta_4,EKF_POSE|1126.9|370.1|358.9
97.972,2,Atta_2,EKF_POSE|1010.8|973.5|329.0
98.322,3,Atta_3,EKF_POSE|1126.2|1281.6|340.0
98.463,4,Atta_4,EKF_POSE|1126.9|370.1|359.2
