time,idrobot,robot,message
0.002,1,Atta_1,CONFIG|SAVE|1
0.002,2,Atta_2,CONFIG|SAVE|2
0.002,4,Atta_4,CONFIG|SAVE|4
0.002,2,Atta_2,NAV_CONFIG: arena=2400x1750mm
0.002,1,Atta_1,NAV_CONFIG: arena=2400x1750mm
0.002,4,Atta_4,NAV_CONFIG: arena=2400x1750mm
0.002,3,Atta_3,CONFIG|SAVE|3
0.019,3,Atta_3,NAV_CONFIG: arena=2400x1750mm
24.665,2,Atta_2,CHECK_OBSTACLE|2|993.7|1391.2|359.8
25.23,4,Atta_4,CHECK_OBSTACLE|2|1079.8|384.3|0.7
28.25,4,Atta_4,CHECK_OBSTACLE|4|1133.4|377.0|49.6
29.333,4,Atta_4,CHECK_OBSTACLE|4|1198.0|455.6|52.4
35.158,4,Atta_4,CHECK_OBSTACLE|2|1188.5|425.3|193.8
35.247,3,Atta_3,CHECK_OBSTACLE|2|476.8|375.9|203.6
38.442,3,Atta_3,CHECK_OBSTACLE|2|189.7|176.8|267.1
39.623,1,Atta_1,CHECK_OBSTACLE|1|1103.2|81.3|268.4
40.604,1,Atta_1,CHECK_OBSTACLE|1|1098.3|19.7|270.2
42.335,1,Atta_1,CHECK_OBSTACLE|1|1114.6|32.8|235.4
45.04,3,Atta_3,CHECK_OBSTACLE|2|227.6|23.5|339.9
84.685,1,Atta_1,REQUEST_POSITION
84.791,2,Atta_2,REQUEST_POSITION
84.837,2,Atta_2,EKF_POSE|899.7|1288.4|57.2
84.994,3,Atta_3,REQUEST_POSITION
85.061,3,Atta_3,EKF_POSE|371.3|234.4|59.3
85.306,4,Atta_4,REQUEST_POSITION
85.334,2,Atta_2,EKF_POSE|899.7|1288.4|12.7
85.527,4,Atta_4,EKF_POSE|562.3|555.7|213.4
85.566,3,Atta_3,EKF_POSE|371.3|234.4|42.3
85.834,2,Atta_2,EKF_POSE|899.7|1288.4|347.6
86.029,4,Atta_4,EKF_POSE|562.3|555.7|267.3
86.076,3,Atta_3,EKF_POSE|371.3|234.4|40.0
86.342,2,Atta_2,EKF_POSE|899.7|1288.4|345.6
86.53,4,Atta_4,EKF_POSE|562.3|555.7|336.7
86.554,3,Atta_3,EKF_POSE|371.3|234.4|41.3
86.869,2,Atta_2,EKF_POSE|903.1|1287.5|345.7
87.031,4,Atta_4,EKF_POSE|562.3|555.7|1.9
87.057,3,Atta_3,EKF_POSE|371.3|234.4|35.6
87.337,2,Atta_2,EKF_POSE|954.9|1273.6|344.4
87.506,1,Atta_1,CHECK_OBSTACLE|1|999.1|308.6|1.9
87.529,4,Atta_4,EKF_POSE|562.5|555.7|8.4
87.555,3,Atta_3,EKF_POSE|371.3|234.4|37.3
87.833,2,Atta_2,EKF_POSE|1009.5|1258.2|344.6
88.039,4,Atta_4,EKF_POSE|609.4|565.7|15.5
88.076,3,Atta_3,EKF_POSE|391.2|250.0|38.0
88.339,2,Atta_2,EKF_POSE|1068.1|1242.2|344.6
88.45,2,Atta_2,CHECK_OBSTACLE|1|1044.0|1256.3|346.5
88.523,1,Atta_1,CHECK_OBSTACLE|1|1042.6|307.9|2.2
88.527,4,Atta_4,EKF_POSE|664.3|585.0|22.9
88.574,3,Atta_3,EKF_POSE|437.5|287.0|39.4
88.833,2,Atta_2,EKF_POSE|1082.3|1238.2|343.9
89.029,4,Atta_4,EKF_POSE|718.4|612.1|30.8
89.053,3,Atta_3,EKF_POSE|484.2|326.3|40.3
89.352,2,Atta_2,EKF_POSE|1082.3|1238.2|343.8
89.532,4,Atta_4,EKF_POSE|768.1|646.5|38.9
89.534,2,Atta_2,CHECK_OBSTACLE|1|1099.8|1242.1|345.5
89.554,3,Atta_3,EKF_POSE|530.4|365.7|40.9
89.835,2,Atta_2,EKF_POSE|1083.6|1237.8|343.7
90.037,4,Atta_4,EKF_POSE|784.9|660.9|47.7
