time,idrobot,robot,message
0.002,1,Atta_1,CONFIG|SAVE|1
0.002,2,Atta_2,CONFIG|SAVE|2
0.002,3,Atta_3,CONFIG|SAVE|3
0.002,4,Atta_4,CONFIG|SAVE|4
0.002,3,Atta_3,NAV_CONFIG: arena=2400x1750mm
0.003,4,Atta_4,NAV_CONFIG: arena=2400x1750mm
0.003,2,Atta_2,NAV_CONFIG: arena=2400x1750mm
0.003,1,Atta_1,NAV_CONFIG: arena=2400x1750mm
12.115,1,Atta_1,CHECK_OBSTACLE|4|537.2|1326.4|271.5
12.596,3,Atta_3,CHECK_OBSTACLE|1|548.1|1184.4|6.0
12.71,2,Atta_2,CHECK_OBSTACLE|2|572.0|277.8|83.6
13.618,3,Atta_3,CHECK_OBSTACLE|1|559.8|1190.2|9.1
14.121,1,Atta_1,CHECK_OBSTACLE|4|512.8|1358.0|281.6
18.311,4,Atta_4,CHECK_OBSTACLE|2|1102.5|471.5|0.0
22.112,4,Atta_4,CHECK_OBSTACLE|1|1103.4|502.9|52.1
22.461,3,Atta_3,CHECK_OBSTACLE|1|641.9|1106.3|6.5
25.688,4,Atta_4,CHECK_OBSTACLE|2|1140.7|616.1|351.3
28.273,2,Atta_2,CHECK_OBSTACLE|2|586.0|123.6|298.0
30.475,4,Atta_4,CHECK_OBSTACLE|4|1177.8|659.6|62.1
30.56,2,Atta_2,CHECK_OBSTACLE|2|597.5|73.3|240.5
30.929,1,Atta_1,CHECK_OBSTACLE|1|1051.6|1492.2|76.3
31.558,4,Atta_4,CHECK_OBSTACLE|4|1204.6|699.3|61.4
31.951,1,Atta_1,CHECK_OBSTACLE|1|1103.4|1484.9|79.3
37.816,1,Atta_1,CHECK_OBSTACLE|1|1186.0|1600.9|19.5
40.096,2,Atta_2,CHECK_OBSTACLE|2|107.1|104.9|152.2
40.362,3,Atta_3,CHECK_OBSTACLE|2|619.9|74.9|247.7
45.481,3,Atta_3,CHECK_OBSTACLE|2|657.6|37.6|327.1
82.894,1,Atta_1,REQUEST_POSITION
82.948,2,Atta_2,REQUEST_POSITION
82.98,2,Atta_2,EKF_POSE|-19.8|273.5|92.7
83.182,1,Atta_1,CHECK_OBSTACLE|4|1300.1|1563.6|345.6
83.285,3,Atta_3,REQUEST_POSITION
83.313,3,Atta_3,EKF_POSE|777.9|124.1|55.5
83.479,2,Atta_2,EKF_POSE|-19.8|273.5|44.2
83.579,4,Atta_4,REQUEST_POSITION
83.614,4,Atta_4,EKF_POSE|916.9|935.6|313.0
83.822,3,Atta_3,EKF_POSE|777.9|124.1|16.4
83.98,2,Atta_2,EKF_POSE|-19.8|273.5|32.4
84.11,4,Atta_4,EKF_POSE|916.9|935.6|333.7
84.315,3,Atta_3,EKF_POSE|777.9|124.1|10.7
84.48,2,Atta_2,EKF_POSE|-19.8|273.5|31.7
84.615,4,Atta_4,EKF_POSE|916.9|935.6|335.9
84.83,3,Atta_3,EKF_POSE|777.9|124.1|11.8
84.982,2,Atta_2,EKF_POSE|-8.7|280.4|31.5
85.11,4,Atta_4,EKF_POSE|916.9|935.6|333.6
85.322,3,Atta_3,EKF_POSE|777.9|124.1|11.5
85.479,2,Atta_2,EKF_POSE|40.1|309.8|31.3
85.611,4,Atta_4,EKF_POSE|916.9|935.6|336.9
85.815,3,Atta_3,EKF_POSE|777.9|124.1|7.8
85.992,2,Atta_2,EKF_POSE|92.1|341.5|31.2
86.115,4,Atta_4,EKF_POSE|916.9|935.6|338.2
86.319,3,Atta_3,EKF_POSE|777.9|124.1|10.6
86.479,2,Atta_2,EKF_POSE|143.8|372.9|31.6
86.617,4,Atta_4,EKF_POSE|920.4|934.0|335.4
86.816,3,Atta_3,EKF_POSE|803.2|129.5|12.5
86.98,2,Atta_2,EKF_POSE|191.8|402.9|32.1
87.114,4,Atta_4,EKF_POSE|969.1|910.8|334.2
