time,idrobot,robot,message
0.0,3,Atta_3,CONFIG|RECEIVED
0.0,2,Atta_2,CONFIG|SAVE|2
0.0,1,Atta_1,CONFIG|SAVE|1
0.0,1,Atta_1,NAV_CONFIG: arena=2400x1750mm
0.0,4,Atta_4,CONFIG|SAVE|4
0.0,3,Atta_3,CONFIG|SAVE|3
0.0,3,Atta_3,NAV_CONFIG: arena=2400x1750mm
0.0,2,Atta_2,NAV_CONFIG: arena=2400x1750mm
0.0,4,Atta_4,NAV_CONFIG: arena=2400x1750mm
24.6,3,Atta_3,CHECK_OBSTACLE|4|336.2|935.3|264.9
32.5,4,Atta_4,CHECK_OBSTACLE|2|270.4|1566.0|74.4
35.5,4,Atta_4,CHECK_OBSTACLE|1|284.2|1595.4|74.1
36.3,1,Atta_1,CHECK_OBSTACLE|4|476.4|569.7|32.8
36.6,4,Atta_4,CHECK_OBSTACLE|1|284.2|1595.4|74.1
37.5,2,Atta_2,CHECK_OBSTACLE|2|659.9|517.1|166.7
90.2,1,Atta_1,REQUEST_POSITION
90.5,2,Atta_2,REQUEST_POSITION
90.5,2,Atta_2,EKF_POSE|854.2|483.4|106.9
90.8,4,Atta_4,REQUEST_POSITION
90.8,4,Atta_4,EKF_POSE|474.3|1330.3|191.5
90.9,3,Atta_3,REQUEST_POSITION
90.9,3,Atta_3,EKF_POSE|2324.9|352.4|342.4
91.0,2,Atta_2,EKF_POSE|854.2|483.4|59.3
91.3,4,Atta_4,EKF_POSE|474.3|1330.3|240.5
91.4,3,Atta_3,EKF_POSE|2324.9|352.4|293.8
91.5,2,Atta_2,EKF_POSE|854.2|483.4|12.2
91.8,4,Atta_4,EKF_POSE|474.3|1330.3|309.0
91.9,3,Atta_3,EKF_POSE|2324.9|352.4|220.4
92.0,2,Atta_2,EKF_POSE|854.2|483.4|11.0
92.3,4,Atta_4,EKF_POSE|474.3|1330.3|358.0
92.4,3,Atta_3,EKF_POSE|2324.9|352.4|195.2
92.5,2,Atta_2,EKF_POSE|864.5|485.4|11.2
92.8,4,Atta_4,EKF_POSE|474.3|1330.3|359.3
92.9,3,Atta_3,EKF_POSE|2324.9|352.4|194.6
93.0,2,Atta_2,EKF_POSE|920.0|495.7|9.8
93.3,4,Atta_4,EKF_POSE|484.6|1330.2|359.2
93.4,3,Atta_3,EKF_POSE|2288.6|343.6|193.0
93.5,2,Atta_2,EKF_POSE|974.7|505.3|10.4
93.8,4,Atta_4,EKF_POSE|540.0|1329.0|358.2
93.9,3,Atta_3,EKF_POSE|2230.8|331.0|191.9
94.0,2,Atta_2,EKF_POSE|1035.0|516.7|10.5
94.3,4,Atta_4,EKF_POSE|601.3|1327.2|358.8
94.4,3,Atta_3,EKF_POSE|2172.0|318.6|192.0
94.5,2,Atta_2,EKF_POSE|1091.0|527.0|10.8
94.8,4,Atta_4,EKF_POSE|661.8|1325.5|357.4
94.9,3,Atta_3,EKF_POSE|2111.4|306.2|191.5
95.0,2,Atta_2,EKF_POSE|1099.8|528.9|12.7
95.3,4,Atta_4,EKF_POSE|720.3|1322.6|357.4
95.4,3,Atta_3,EKF_POSE|2081.0|300.0|191.7
95.5,2,Atta_2,REQUEST_POSITION
95.5,2,Atta_2,EKF_POSE|1099.8|528.9|13.2
95.8,4,Atta_4,EKF_POSE|723.5|1322.4|357.4
95.9,3,Atta_3,EKF_POSE|2081.0|300.0|191.3
96.0,2,Atta_2,EKF_POSE|1163.4|551.0|11.3
96.0,3,Atta_3,REQUEST_POSITION
96.1,4,Atta_4,REQUEST_POSITION
96.3,4,Atta_4,EKF_POSE|732.0|1332.5|357.3
96.4,3,Atta_3,EKF_POSE|2061.4|308.3|159.0
96.5,2,Atta_2,EKF_POSE|1221.9|562.9|11.2
96.8,4,Atta_4,EKF_POSE|786.1|1329.6|356.1
97.0,3,Atta_3,EKF_POSE|2061.4|308.3|94.0
97.0,2,Atta_2,EKF_POSE|1280.4|574.7|12.3
97.3,4,Atta_4,EKF_POSE|844.9|1324.6|355.0
97.4,1,Atta_1,REQUEST_POSITION
97.5,3,Atta_3,EKF_POSE|2061.4|308.3|52.0
97.5,2,Atta_2,EKF_POSE|1340.6|588.8|14.5
