time,idrobot,robot,message
0.0,3,Atta_3,CONFIG|RECEIVED
0.0,1,Atta_1,CONFIG|SAVE|1
0.0,4,Atta_4,CONFIG|RECEIVED
0.0,2,Atta_2,CONFIG|SAVE|2
0.0,3,Atta_3,CONFIG|SAVE|3
0.0,2,Atta_2,NAV_CONFIG: arena=2400x1750mm
0.0,1,Atta_1,NAV_CONFIG: arena=2400x1750mm
0.0,4,Atta_4,CONFIG|SAVE|4
0.0,3,Atta_3,NAV_CONFIG: arena=2400x1750mm
0.0,4,Atta_4,NAV_CONFIG: arena=2400x1750mm
14.6,2,Atta_2,CHECK_OBSTACLE|4|556.6|156.0|139.0
15.7,2,Atta_2,CHECK_OBSTACLE|5|575.6|176.4|185.1
17.8,2,Atta_2,CHECK_OBSTACLE|4|418.3|152.3|184.7
23.1,4,Atta_4,CHECK_OBSTACLE|4|149.5|1509.3|198.6
24.1,4,Atta_4,CHECK_OBSTACLE|2|233.1|1426.4|198.0
24.8,3,Atta_3,CHECK_OBSTACLE|2|79.6|1369.3|175.5
25.9,2,Atta_2,CHECK_OBSTACLE|4|157.6|211.6|150.6
26.9,2,Atta_2,CHECK_OBSTACLE|4|110.4|228.6|149.8
27.2,4,Atta_4,CHECK_OBSTACLE|2|139.7|1497.5|197.7
27.5,1,Atta_1,CHECK_OBSTACLE|1|297.5|404.6|201.1
27.6,3,Atta_3,CHECK_OBSTACLE|2|19.4|1363.1|231.1
29.2,2,Atta_2,CHECK_OBSTACLE|2|198.9|278.8|194.5
30.8,1,Atta_1,CHECK_OBSTACLE|1|332.7|408.6|180.4
32.1,2,Atta_2,CHECK_OBSTACLE|4|182.4|252.0|162.6
34.8,4,Atta_4,CHECK_OBSTACLE|4|398.0|1084.8|271.7
35.5,2,Atta_2,CHECK_OBSTACLE|2|92.3|251.6|160.0
35.7,3,Atta_3,CHECK_OBSTACLE|2|49.3|1161.3|228.4
36.8,4,Atta_4,CHECK_OBSTACLE|4|381.1|975.4|268.0
38.2,3,Atta_3,CHECK_OBSTACLE|1|27.4|1124.3|282.6
38.3,4,Atta_4,CHECK_OBSTACLE|4|360.1|915.5|267.6
38.4,1,Atta_1,CHECK_OBSTACLE|4|274.9|721.0|96.1
40.3,3,Atta_3,CHECK_OBSTACLE|2|28.6|1117.4|238.6
41.0,2,Atta_2,CHECK_OBSTACLE|1|-27.6|508.7|101.6
42.3,2,Atta_2,CHECK_OBSTACLE|1|-23.9|547.3|101.2
72.8,2,Atta_2,REQUEST_POSITION
72.8,1,Atta_1,REQUEST_POSITION
72.9,2,Atta_2,EKF_POSE|97.3|667.5|43.4
73.1,3,Atta_3,REQUEST_POSITION
73.1,3,Atta_3,EKF_POSE|406.1|1016.0|337.4
73.2,4,Atta_4,REQUEST_POSITION
73.3,4,Atta_4,EKF_POSE|587.9|806.2|332.1
73.3,2,Atta_2,EKF_POSE|97.3|667.5|27.3
73.6,3,Atta_3,EKF_POSE|406.1|1016.0|354.4
73.8,4,Atta_4,EKF_POSE|587.9|806.2|345.5
73.9,2,Atta_2,EKF_POSE|97.3|667.5|23.7
74.1,3,Atta_3,EKF_POSE|406.1|1016.0|357.5
74.3,4,Atta_4,EKF_POSE|587.9|806.2|346.7
74.3,2,Atta_2,EKF_POSE|97.3|667.5|23.9
74.6,3,Atta_3,EKF_POSE|406.1|1016.0|357.6
74.8,4,Atta_4,EKF_POSE|587.9|806.2|346.4
74.8,2,Atta_2,EKF_POSE|97.3|667.5|22.6
75.1,3,Atta_3,EKF_POSE|450.1|1014.4|358.4
75.3,4,Atta_4,EKF_POSE|587.9|806.2|346.3
75.3,2,Atta_2,EKF_POSE|97.3|667.5|20.1
75.6,3,Atta_3,EKF_POSE|510.3|1012.6|357.8
75.8,4,Atta_4,EKF_POSE|587.9|806.2|350.1
75.8,2,Atta_2,EKF_POSE|97.3|667.5|20.0
76.1,3,Atta_3,EKF_POSE|567.8|1010.7|358.6
76.3,4,Atta_4,EKF_POSE|587.9|806.2|348.0
76.3,2,Atta_2,EKF_POSE|132.7|680.1|19.4
76.6,3,Atta_3,EKF_POSE|627.9|1009.4|358.6
76.8,4,Atta_4,EKF_POSE|628.1|797.1|346.7
76.8,2,Atta_2,EKF_POSE|187.7|699.0|18.7
77.1,3,Atta_3,EKF_POSE|655.4|1008.6|357.8
77.3,4,Atta_4,EKF_POSE|686.4|783.0|345.6
77.3,2,Atta_2,EKF_POSE|245.9|719.1|19.7
77.6,1,Atta_1,REQUEST_POSITION
77.6,3,Atta_3,EKF_POSE|655.4|1008.6|357.5
77.6,3,Atta_3,REQUEST_POSITION
77.8,4,Atta_4,EKF_POSE|744.5|767.2|344.1
77.8,2,Atta_2,EKF_POSE|301.4|738.8|19.2
78.1,3,Atta_3,EKF_POSE|697.7|1002.8|356.8
78.3,4,Atta_4,EKF_POSE|802.2|750.6|344.7
78.3,2,Atta_2,EKF_POSE|333.2|750.0|20.8
78.6,3,Atta_3,EKF_POSE|756.7|999.6|356.8
78.8,4,Atta_4,EKF_POSE|829.3|742.9|343.6
78.9,2,Atta_2,EKF_POSE|333.3|750.1|21.8
79.1,2,Atta_2,REQUEST_POSITION
79.1,3,Atta_3,EKF_POSE|818.0|995.6|356.1
79.3,4,Atta_4,REQUEST_POSITION
79.3,4,Atta_4,EKF_POSE|857.5|782.1|351.5
79.3,2,Atta_2,EKF_POSE|394.4|770.0|20.6
79.6,3,Atta_3,EKF_POSE|877.9|991.7|356.4
79.8,4,Atta_4,EKF_POSE|895.9|776.1|350.7
79.8,2,Atta_2,EKF_POSE|446.1|789.7|21.0
80.1,3,Atta_3,EKF_POSE|910.7|989.7|356.1
80.3,4,Atta_4,EKF_POSE|953.7|767.0|351.3
80.3,2,Atta_2,EKF_POSE|502.7|811.4|21.2
80.6,3,Atta_3,EKF_POSE|910.7|989.7|356.0
80.7,3,Atta_3,REQUEST_POSITION
80.8,4,Atta_4,EKF_POSE|1014.5|757.7|351.3
80.8,2,Atta_2,EKF_POSE|558.6|833.6|22.4
81.1,1,Atta_1,REQUEST_POSITION
81.1,3,Atta_3,EKF_POSE|954.3|979.8|354.0
81.3,4,Atta_4,EKF_POSE|1073.8|748.8|351.6
81.3,2,Atta_2,EKF_POSE|611.9|855.8|22.9
81.6,3,Atta_3,EKF_POSE|1012.1|974.3|354.9
81.8,4,Atta_4,EKF_POSE|1104.2|744.4|352.3
81.8,2,Atta_2,EKF_POSE|617.4|858.1|24.0
82.1,3,Atta_3,EKF_POSE|1069.5|969.2|354.7
82.3,4,Atta_4,EKF_POSE|1104.2|744.4|352.4
82.3,4,Atta_4,REQUEST_POSITION
