time,idrobot,robot,message
0.0,1,Atta_1,CONFIG|SAVE|1
0.0,2,Atta_2,CONFIG|SAVE|2
0.0,3,Atta_3,CONFIG|SAVE|3
0.0,4,Atta_4,CONFIG|SAVE|4
0.0,1,Atta_1,NAV_CONFIG: arena=2400x1750mm
0.0,4,Atta_4,NAV_CONFIG: arena=2400x1750mm
0.0,2,Atta_2,NAV_CONFIG: arena=2400x1750mm
0.0,3,Atta_3,NAV_CONFIG: arena=2400x1750mm
67.3,1,Atta_1,CHECK_OBSTACLE|1|492.0|1573.6|32.7
71.4,3,Atta_3,CHECK_OBSTACLE|2|608.9|131.1|311.6
73.7,3,Atta_3,CHECK_OBSTACLE|1|623.9|64.0|247.1
77.3,3,Atta_3,CHECK_OBSTACLE|1|639.4|65.4|201.1
92.8,3,Atta_3,CHECK_OBSTACLE|2|677.5|139.5|291.7
95.9,2,Atta_2,CHECK_OBSTACLE|1|1590.3|398.4|162.0
96.4,1,Atta_1,CHECK_OBSTACLE|1|2503.7|1508.8|6.1
97.4,1,Atta_1,CHECK_OBSTACLE|1|2534.6|1513.1|5.2
99.5,1,Atta_1,CHECK_OBSTACLE|1|2553.8|1530.3|321.3
111.5,1,Atta_1,REQUEST_POSITION
111.6,3,Atta_3,REQUEST_POSITION
111.6,3,Atta_3,EKF_POSE|819.6|45.7|349.1
111.7,2,Atta_2,REQUEST_POSITION
111.7,2,Atta_2,EKF_POSE|1601.5|385.0|162.2
111.8,4,Atta_4,REQUEST_POSITION
111.9,4,Atta_4,EKF_POSE|1402.2|472.4|286.7
112.1,3,Atta_3,EKF_POSE|819.6|45.7|4.7
112.2,2,Atta_2,EKF_POSE|1601.5|385.0|115.2
112.4,4,Atta_4,EKF_POSE|1402.2|472.4|333.4
112.6,3,Atta_3,EKF_POSE|819.6|45.7|8.5
112.7,2,Atta_2,EKF_POSE|1601.5|385.0|74.7
112.9,4,Atta_4,EKF_POSE|1402.2|472.4|17.0
113.1,3,Atta_3,EKF_POSE|819.6|45.7|8.5
113.2,2,Atta_2,EKF_POSE|1601.5|385.0|71.1
113.4,4,Atta_4,EKF_POSE|1402.2|472.4|17.2
113.6,3,Atta_3,EKF_POSE|840.8|48.8|8.4
113.7,2,Atta_2,EKF_POSE|1604.8|394.3|69.8
