time,idrobot,robot,message
0.001,4,Atta_4,CONFIG|RECEIVED
0.002,3,Atta_3,CONFIG|RECEIVED
0.002,4,Atta_4,CONFIG|SAVE|4
0.002,3,Atta_3,NAV_CONFIG: arena=2400x1750mm
0.026,3,Atta_3,CONFIG|SAVE|3
0.027,1,Atta_1,CONFIG|SAVE|1
0.027,4,Atta_4,NAV_CONFIG: arena=2400x1750mm
0.027,1,Atta_1,NAV_CONFIG: arena=2400x1750mm
0.027,2,Atta_2,CONFIG|RECEIVED
0.027,2,Atta_2,CONFIG|SAVE|2
0.027,2,Atta_2,NAV_CONFIG: arena=2400x1750mm
45.13,1,Atta_1,CHECK_OBSTACLE|1|136.2|274.1|165.9
47.114,1,Atta_1,CHECK_OBSTACLE|1|103.5|291.2|130.5
49.622,3,Atta_3,CHECK_OBSTACLE|1|1125.2|590.7|357.4
50.643,3,Atta_3,CHECK_OBSTACLE|1|1201.1|602.3|358.6
51.864,1,Atta_1,CHECK_OBSTACLE|1|26.9|494.5|105.0
52.661,2,Atta_2,CHECK_OBSTACLE|4|399.4|1159.3|327.8
54.863,2,Atta_2,CHECK_OBSTACLE|2|516.3|1103.3|274.5
55.155,3,Atta_3,CHECK_OBSTACLE|2|1234.8|551.7|297.9
58.081,2,Atta_2,CHECK_OBSTACLE|5|504.9|1117.0|284.6
60.644,3,Atta_3,CHECK_OBSTACLE|2|1263.5|497.2|61.8
61.525,4,Atta_4,CHECK_OBSTACLE|4|370.4|1034.1|319.1
62.234,1,Atta_1,CHECK_OBSTACLE|4|355.5|857.5|97.9
63.122,2,Atta_2,CHECK_OBSTACLE|2|462.3|1121.0|189.4
63.582,4,Atta_4,CHECK_OBSTACLE|1|381.1|1045.6|320.1
67.61,1,Atta_1,CHECK_OBSTACLE|1|347.5|846.1|36.4
124.304,1,Atta_1,REQUEST_POSITION
124.868,2,Atta_2,REQUEST_POSITION
124.9,2,Atta_2,EKF_POSE|221.5|1400.0|215.5
125.049,3,Atta_3,REQUEST_POSITION
125.08,3,Atta_3,EKF_POSE|732.0|603.4|156.9
125.104,3,Atta_3,CHECK_OBSTACLE|4|732.0|603.4|156.9
125.285,4,Atta_4,REQUEST_POSITION
125.322,4,Atta_4,EKF_POSE|749.1|1207.8|37.4
125.401,2,Atta_2,EKF_POSE|221.5|1400.0|263.5
125.594,3,Atta_3,EKF_POSE|732.0|603.4|156.9
125.823,4,Atta_4,EKF_POSE|749.1|1207.8|14.1
125.903,2,Atta_2,EKF_POSE|221.5|1400.0|331.9
126.088,3,Atta_3,EKF_POSE|732.0|603.4|185.7
126.342,4,Atta_4,EKF_POSE|749.1|1207.8|12.1
126.4,2,Atta_2,EKF_POSE|221.5|1400.0|343.1
126.594,3,Atta_3,EKF_POSE|732.0|603.4|197.3
126.846,4,Atta_4,EKF_POSE|749.1|1207.8|12.4
126.9,2,Atta_2,EKF_POSE|221.5|1400.0|341.6
