time,idrobot,robot,message
0.001,1,Atta_1,CONFIG|SAVE|1
0.001,2,Atta_2,CONFIG|SAVE|2
0.002,3,Atta_3,CONFIG|SAVE|3
0.002,4,Atta_4,CONFIG|SAVE|4
0.002,1,Atta_1,NAV_CONFIG: arena=2400x1750mm
0.002,2,Atta_2,NAV_CONFIG: arena=2400x1750mm
0.003,3,Atta_3,NAV_CONFIG: arena=2400x1750mm
0.003,4,Atta_4,NAV_CONFIG: arena=2400x1750mm
12.493,1,Atta_1,CHECK_OBSTACLE|1|225.0|134.8|176.5
13.512,1,Atta_1,CHECK_OBSTACLE|1|91.6|91.0|172.3
13.765,4,Atta_4,CHECK_OBSTACLE|2|147.4|1472.3|182.0
15.789,1,Atta_1,CHECK_OBSTACLE|1|45.8|80.0|131.3
16.654,4,Atta_4,CHECK_OBSTACLE|4|110.5|1475.6|198.7
17.664,4,Atta_4,CHECK_OBSTACLE|4|110.5|1475.6|198.7
19.982,2,Atta_2,CHECK_OBSTACLE|1|490.4|1506.9|138.8
21.024,2,Atta_2,CHECK_OBSTACLE|2|490.4|1506.9|138.8
28.743,3,Atta_3,CHECK_OBSTACLE|2|1830.8|49.8|293.7
28.784,2,Atta_2,CHECK_OBSTACLE|4|217.3|1534.6|179.9
29.819,2,Atta_2,CHECK_OBSTACLE|2|302.9|1482.8|148.2
31.772,4,Atta_4,CHECK_OBSTACLE|4|121.0|959.4|233.8
31.863,2,Atta_2,CHECK_OBSTACLE|4|320.2|1481.6|148.6
32.68,3,Atta_3,CHECK_OBSTACLE|1|1842.6|69.2|236.9
32.907,4,Atta_4,CHECK_OBSTACLE|4|30.4|871.1|233.6
36.26,1,Atta_1,CHECK_OBSTACLE|1|163.6|91.8|208.2
38.218,1,Atta_1,CHECK_OBSTACLE|1|115.7|60.7|165.6
39.619,2,Atta_2,CHECK_OBSTACLE|4|170.7|1223.2|227.3
40.884,1,Atta_1,CHECK_OBSTACLE|1|42.8|110.9|126.9
42.315,2,Atta_2,CHECK_OBSTACLE|4|122.3|1165.5|269.7
69.431,1,Atta_1,REQUEST_POSITION
69.588,3,Atta_3,REQUEST_POSITION
69.62,3,Atta_3,EKF_POSE|1525.2|54.3|149.0
69.658,2,Atta_2,REQUEST_POSITION
69.689,2,Atta_2,EKF_POSE|76.2|965.4|270.3
69.848,4,Atta_4,REQUEST_POSITION
69.879,4,Atta_4,EKF_POSE|149.8|424.5|277.7
70.13,3,Atta_3,EKF_POSE|1525.2|54.3|100.5
70.189,2,Atta_2,EKF_POSE|76.2|965.4|318.4
70.379,4,Atta_4,EKF_POSE|149.8|424.5|326.7
70.627,3,Atta_3,EKF_POSE|1525.2|54.3|32.8
70.703,2,Atta_2,EKF_POSE|76.2|965.4|358.5
70.881,4,Atta_4,EKF_POSE|149.8|424.5|3.6
71.119,3,Atta_3,EKF_POSE|1525.2|54.3|28.0
71.189,2,Atta_2,EKF_POSE|76.2|965.4|359.1
71.381,4,Atta_4,EKF_POSE|149.8|424.5|3.4
71.619,3,Atta_3,EKF_POSE|1525.2|54.3|28.3
71.69,2,Atta_2,EKF_POSE|90.2|965.2|359.3
71.883,4,Atta_4,EKF_POSE|149.8|424.5|4.2
72.119,3,Atta_3,EKF_POSE|1525.2|54.3|26.7
72.19,2,Atta_2,EKF_POSE|146.8|964.1|358.7
72.388,4,Atta_4,EKF_POSE|149.8|424.5|6.6
72.619,3,Atta_3,EKF_POSE|1525.2|54.3|25.0
72.693,2,Atta_2,EKF_POSE|204.4|963.0|358.9
72.882,4,Atta_4,EKF_POSE|149.8|424.5|6.4
72.919,1,Atta_1,REQUEST_POSITION
73.119,3,Atta_3,EKF_POSE|1534.7|58.8|24.8
73.19,2,Atta_2,EKF_POSE|266.3|961.6|358.2
73.382,4,Atta_4,EKF_POSE|179.7|427.9|6.6
73.653,3,Atta_3,EKF_POSE|1587.2|82.9|25.0
73.693,2,Atta_2,EKF_POSE|320.5|959.7|358.1
73.881,4,Atta_4,EKF_POSE|238.6|434.7|6.3
74.12,3,Atta_3,EKF_POSE|1641.9|108.9|26.2
74.19,2,Atta_2,EKF_POSE|325.8|959.5|358.3
74.381,4,Atta_4,EKF_POSE|297.7|441.1|6.0
74.487,2,Atta_2,REQUEST_POSITION
74.623,3,Atta_3,EKF_POSE|1696.4|136.4|26.8
74.69,2,Atta_2,EKF_POSE|398.0|959.7|359.5
74.891,4,Atta_4,EKF_POSE|357.6|447.7|6.3
75.121,3,Atta_3,EKF_POSE|1746.9|163.0|29.7
75.19,2,Atta_2,EKF_POSE|441.0|959.1|359.1
75.392,4,Atta_4,EKF_POSE|398.0|452.0|6.0
75.621,3,Atta_3,EKF_POSE|1749.3|164.3|30.8
75.689,2,Atta_2,EKF_POSE|500.2|957.6|358.0
75.881,4,Atta_4,EKF_POSE|398.0|452.0|5.6
75.93,3,Atta_3,REQUEST_POSITION
76.076,4,Atta_4,REQUEST_POSITION
76.078,1,Atta_1,REQUEST_POSITION
76.119,3,Atta_3,EKF_POSE|1760.6|161.8|25.4
76.19,2,Atta_2,EKF_POSE|560.4|955.3|357.6
76.384,4,Atta_4,EKF_POSE|434.6|470.3|7.0
76.619,3,Atta_3,EKF_POSE|1808.5|185.3|26.7
76.69,2,Atta_2,EKF_POSE|621.7|952.9|357.2
76.901,4,Atta_4,EKF_POSE|490.6|477.2|7.0
77.124,3,Atta_3,EKF_POSE|1863.4|213.7|28.6
77.192,2,Atta_2,EKF_POSE|647.9|951.7|357.7
77.382,4,Atta_4,EKF_POSE|551.4|484.4|6.5
77.618,3,Atta_3,EKF_POSE|1915.6|243.5|30.5
77.689,2,Atta_2,EKF_POSE|647.9|951.7|357.2
77.883,4,Atta_4,EKF_POSE|610.1|491.1|6.7
77.966,2,Atta_2,REQUEST_POSITION
78.118,3,Atta_3,EKF_POSE|1966.6|274.1|31.3
78.197,2,Atta_2,EKF_POSE|647.9|951.7|356.7
78.381,4,Atta_4,EKF_POSE|665.8|497.7|6.6
78.619,3,Atta_3,EKF_POSE|1974.6|279.0|32.5
78.69,2,Atta_2,EKF_POSE|690.8|961.0|357.8
78.882,4,Atta_4,EKF_POSE|666.8|497.8|6.4
78.959,3,Atta_3,REQUEST_POSITION
79.115,4,Atta_4,REQUEST_POSITION
79.119,3,Atta_3,EKF_POSE|1993.3|255.3|29.2
79.189,2,Atta_2,EKF_POSE|750.4|958.5|357.3
79.388,4,Atta_4,EKF_POSE|697.9|519.7|8.0
79.621,3,Atta_3,EKF_POSE|1993.3|255.3|54.2
79.69,2,Atta_2,EKF_POSE|810.7|955.1|356.5
79.881,4,Atta_4,EKF_POSE|752.5|527.3|8.1
80.127,3,Atta_3,EKF_POSE|1993.3|255.3|57.1
80.19,2,Atta_2,EKF_POSE|872.3|951.4|356.5
80.382,4,Atta_4,EKF_POSE|813.4|536.0|7.8
80.619,3,Atta_3,EKF_POSE|1993.3|255.3|57.7
80.69,2,Atta_2,EKF_POSE|905.6|949.3|356.5
80.881,4,Atta_4,EKF_POSE|872.6|543.7|7.4
81.121,3,Atta_3,EKF_POSE|2007.6|278.1|58.7
81.19,2,Atta_2,EKF_POSE|905.6|949.3|356.2
81.25,2,Atta_2,REQUEST_POSITION
81.381,4,Atta_4,EKF_POSE|930.2|551.2|7.5
81.624,3,Atta_3,EKF_POSE|2037.5|328.9|59.9
81.695,2,Atta_2,EKF_POSE|934.7|956.8|356.5
81.882,4,Atta_4,EKF_POSE|933.2|551.6|7.6
82.126,3,Atta_3,EKF_POSE|2067.8|381.4|60.6
82.128,4,Atta_4,REQUEST_POSITION
82.203,2,Atta_2,EKF_POSE|989.7|953.2|353.8
82.384,4,Atta_4,EKF_POSE|953.6|558.0|7.6
82.416,2,Atta_2,CHECK_OBSTACLE|2|1002.0|963.6|351.8
82.62,3,Atta_3,EKF_POSE|2071.7|388.4|61.8
82.691,2,Atta_2,EKF_POSE|1003.2|951.1|346.2
82.713,1,Atta_1,REQUEST_POSITION
82.883,4,Atta_4,EKF_POSE|1008.1|565.3|7.9
82.986,3,Atta_3,REQUEST_POSITION
83.119,3,Atta_3,EKF_POSE|2100.9|366.3|57.1
83.19,2,Atta_2,EKF_POSE|1289.3|880.0|345.9
83.229,1,Atta_1,CHECK_OBSTACLE|2|1114.3|905.4|38.3
83.381,4,Atta_4,EKF_POSE|1067.4|573.9|8.7
83.569,4,Atta_4,CHECK_OBSTACLE|2|1107.5|594.4|9.0
