time,idrobot,robot,message
0.001,1,Atta_1,CONFIG|SAVE|1
0.002,4,Atta_4,CONFIG|SAVE|4
0.002,3,Atta_3,CONFIG|SAVE|3
0.002,2,Atta_2,CONFIG|SAVE|2
0.002,2,Atta_2,NAV_CONFIG: arena=2400x1750mm
0.002,1,Atta_1,NAV_CONFIG: arena=2400x1750mm
0.003,3,Atta_3,NAV_CONFIG: arena=2400x1750mm
0.003,4,Atta_4,NAV_CONFIG: arena=2400x1750mm
21.915,4,Atta_4,CHECK_OBSTACLE|1|706.9|546.6|86.4
29.771,3,Atta_3,CHECK_OBSTACLE|4|270.3|533.3|330.1
29.933,1,Atta_1,CHECK_OBSTACLE|1|441.1|506.8|198.2
31.177,1,Atta_1,CHECK_OBSTACLE|1|451.1|502.8|142.4
31.845,3,Atta_3,CHECK_OBSTACLE|1|296.2|536.0|0.2
33.768,4,Atta_4,CHECK_OBSTACLE|1|1296.1|830.3|36.3
34.099,3,Atta_3,CHECK_OBSTACLE|4|283.9|538.1|310.9
34.337,1,Atta_1,CHECK_OBSTACLE|2|410.7|490.1|178.6
34.871,4,Atta_4,CHECK_OBSTACLE|1|1307.4|834.0|71.3
36.101,3,Atta_3,CHECK_OBSTACLE|1|250.7|566.6|310.7
38.115,3,Atta_3,CHECK_OBSTACLE|1|232.7|584.2|316.5
42.1,2,Atta_2,CHECK_OBSTACLE|2|648.7|1541.6|109.8
45.086,2,Atta_2,CHECK_OBSTACLE|1|644.3|1573.3|45.9
45.848,3,Atta_3,CHECK_OBSTACLE|2|323.5|499.5|332.5
82.477,1,Atta_1,REQUEST_POSITION
82.68,3,Atta_3,REQUEST_POSITION
82.702,2,Atta_2,REQUEST_POSITION
82.712,3,Atta_3,EKF_POSE|266.6|480.1|338.0
82.753,2,Atta_2,EKF_POSE|791.4|1588.0|358.1
82.885,4,Atta_4,REQUEST_POSITION
83.213,3,Atta_3,EKF_POSE|266.6|480.1|344.8
83.234,2,Atta_2,EKF_POSE|791.4|1588.0|335.7
83.382,4,Atta_4,EKF_POSE|1932.3|758.2|303.7
83.711,3,Atta_3,EKF_POSE|266.6|480.1|350.0
83.733,2,Atta_2,EKF_POSE|791.4|1588.0|333.2
83.881,4,Atta_4,EKF_POSE|1932.3|758.2|353.4
84.213,3,Atta_3,EKF_POSE|266.6|480.1|349.1
84.242,2,Atta_2,EKF_POSE|791.4|1588.0|333.5
84.381,4,Atta_4,EKF_POSE|1932.3|758.2|64.3
84.712,3,Atta_3,EKF_POSE|266.6|480.1|351.0
84.733,2,Atta_2,EKF_POSE|791.4|1588.0|333.8
84.881,4,Atta_4,EKF_POSE|1932.3|758.2|84.6
85.223,3,Atta_3,EKF_POSE|266.6|480.1|353.6
85.241,2,Atta_2,EKF_POSE|791.4|1588.0|329.5
85.383,4,Atta_4,EKF_POSE|1932.3|758.2|84.1
85.723,3,Atta_3,EKF_POSE|274.3|479.1|352.4
85.733,2,Atta_2,EKF_POSE|791.4|1588.0|329.7
85.882,4,Atta_4,EKF_POSE|1937.5|786.5|76.7
86.236,3,Atta_3,EKF_POSE|327.3|472.0|352.3
86.238,2,Atta_2,EKF_POSE|816.9|1572.9|328.9
86.384,4,Atta_4,EKF_POSE|1957.0|838.8|63.0
86.725,3,Atta_3,EKF_POSE|387.2|463.5|351.1
86.735,2,Atta_2,EKF_POSE|866.4|1543.3|330.2
86.898,4,Atta_4,EKF_POSE|1989.9|888.0|49.2
87.23,3,Atta_3,EKF_POSE|446.6|453.9|350.9
87.237,2,Atta_2,EKF_POSE|918.9|1512.7|329.3
87.382,4,Atta_4,EKF_POSE|2034.9|930.7|37.7
87.723,3,Atta_3,EKF_POSE|505.7|444.3|350.6
87.735,2,Atta_2,EKF_POSE|970.0|1481.9|329.3
87.892,4,Atta_4,EKF_POSE|2070.8|955.1|28.7
88.226,3,Atta_3,EKF_POSE|512.9|443.1|349.4
88.233,2,Atta_2,EKF_POSE|1006.0|1461.0|330.0
88.365,1,Atta_1,REQUEST_POSITION
