time,idrobot,robot,message
0.001,4,Atta_4,CONFIG|RECEIVED
0.001,3,Atta_3,CONFIG|RECEIVED
0.002,2,Atta_2,CONFIG|RECEIVED
0.002,1,Atta_1,CONFIG|SAVE|1
0.002,2,Atta_2,CONFIG|SAVE|2
0.002,3,Atta_3,CONFIG|SAVE|3
0.002,2,Atta_2,NAV_CONFIG: arena=2400x1750mm
0.02,1,Atta_1,NAV_CONFIG: arena=2400x1750mm
0.021,3,Atta_3,NAV_CONFIG: arena=2400x1750mm
0.021,4,Atta_4,CONFIG|SAVE|4
0.021,4,Atta_4,NAV_CONFIG: arena=2400x1750mm
16.619,3,Atta_3,CHECK_OBSTACLE|2|527.3|64.0|244.8
25.589,3,Atta_3,CHECK_OBSTACLE|4|274.1|374.1|103.7
30.939,1,Atta_1,CHECK_OBSTACLE|2|297.0|568.9|234.5
31.593,4,Atta_4,CHECK_OBSTACLE|2|1009.1|130.8|281.3
32.862,2,Atta_2,CHECK_OBSTACLE|2|374.7|1443.2|107.2
35.472,4,Atta_4,CHECK_OBSTACLE|2|1022.6|108.1|14.3
35.516,1,Atta_1,CHECK_OBSTACLE|1|174.4|512.6|162.4
35.777,3,Atta_3,CHECK_OBSTACLE|2|-62.7|68.7|259.9
36.531,1,Atta_1,CHECK_OBSTACLE|1|122.8|526.1|162.7
37.923,2,Atta_2,CHECK_OBSTACLE|1|388.8|1536.0|40.6
38.036,4,Atta_4,CHECK_OBSTACLE|2|894.3|-14.3|333.1
38.11,3,Atta_3,CHECK_OBSTACLE|2|-61.2|27.5|311.5
39.02,2,Atta_2,CHECK_OBSTACLE|2|388.8|1536.0|40.6
40.125,3,Atta_3,CHECK_OBSTACLE|2|-107.3|35.8|293.9
40.721,3,Atta_3,CHECK_OBSTACLE|2|-135.7|22.1|291.7
41.347,3,Atta_3,CHECK_OBSTACLE|2|-126.7|26.0|291.1
41.947,3,Atta_3,CHECK_OBSTACLE|2|-57.5|56.9|291.9
42.551,3,Atta_3,CHECK_OBSTACLE|2|-109.3|34.2|293.2
43.148,3,Atta_3,CHECK_OBSTACLE|2|-74.4|49.6|291.9
43.75,3,Atta_3,CHECK_OBSTACLE|2|-70.6|51.3|293.5
44.35,3,Atta_3,CHECK_OBSTACLE|2|-92.4|40.2|291.7
44.951,3,Atta_3,CHECK_OBSTACLE|2|-130.7|24.1|292.2
45.552,3,Atta_3,CHECK_OBSTACLE|2|-113.8|31.0|292.1
46.164,3,Atta_3,CHECK_OBSTACLE|2|-119.5|28.5|291.8
46.778,3,Atta_3,CHECK_OBSTACLE|2|-91.4|40.6|292.2
47.394,3,Atta_3,CHECK_OBSTACLE|2|-127.7|23.3|291.3
47.994,3,Atta_3,CHECK_OBSTACLE|2|-82.6|45.4|292.8
48.595,3,Atta_3,CHECK_OBSTACLE|2|-80.1|46.5|292.8
49.21,3,Atta_3,CHECK_OBSTACLE|2|-109.2|32.8|292.4
49.803,3,Atta_3,CHECK_OBSTACLE|2|-112.1|31.6|292.6
50.398,3,Atta_3,CHECK_OBSTACLE|2|-122.1|27.8|292.4
50.998,3,Atta_3,CHECK_OBSTACLE|2|-98.3|38.4|292.7
51.6,3,Atta_3,CHECK_OBSTACLE|2|-90.1|41.1|291.9
52.2,3,Atta_3,CHECK_OBSTACLE|2|-117.7|27.1|291.6
52.803,3,Atta_3,CHECK_OBSTACLE|2|-90.9|40.8|292.1
53.403,3,Atta_3,CHECK_OBSTACLE|2|-90.8|41.1|293.1
54.016,3,Atta_3,CHECK_OBSTACLE|2|-91.9|40.8|292.2
54.623,3,Atta_3,CHECK_OBSTACLE|2|-97.0|38.6|292.6
55.218,3,Atta_3,CHECK_OBSTACLE|2|-91.1|41.1|292.9
55.818,3,Atta_3,CHECK_OBSTACLE|2|-97.7|37.6|293.3
56.42,3,Atta_3,CHECK_OBSTACLE|2|-138.3|19.7|292.3
57.026,3,Atta_3,CHECK_OBSTACLE|2|-129.0|24.4|293.3
57.632,3,Atta_3,CHECK_OBSTACLE|2|-106.2|34.8|293.4
58.235,3,Atta_3,CHECK_OBSTACLE|2|-114.3|30.5|292.2
58.836,3,Atta_3,CHECK_OBSTACLE|2|-104.4|35.3|292.2
59.44,3,Atta_3,CHECK_OBSTACLE|2|-118.4|29.2|292.5
60.038,3,Atta_3,CHECK_OBSTACLE|2|-94.4|39.2|292.4
60.65,3,Atta_3,CHECK_OBSTACLE|2|-89.5|41.9|293.0
61.239,3,Atta_3,CHECK_OBSTACLE|2|-115.9|29.7|292.3
61.847,3,Atta_3,CHECK_OBSTACLE|2|-106.7|33.9|292.3
62.441,3,Atta_3,CHECK_OBSTACLE|2|-126.0|26.0|293.0
63.041,3,Atta_3,CHECK_OBSTACLE|2|-115.3|30.2|292.6
63.648,3,Atta_3,CHECK_OBSTACLE|2|-91.4|40.7|292.0
64.246,3,Atta_3,CHECK_OBSTACLE|2|-111.1|31.6|291.1
64.846,3,Atta_3,CHECK_OBSTACLE|2|-111.4|32.8|292.3
65.446,3,Atta_3,CHECK_OBSTACLE|2|-141.2|18.3|292.5
66.048,3,Atta_3,CHECK_OBSTACLE|2|-103.2|33.8|292.2
66.649,3,Atta_3,CHECK_OBSTACLE|2|-101.0|37.5|293.8
67.25,3,Atta_3,CHECK_OBSTACLE|2|-104.5|34.8|292.3
67.85,3,Atta_3,CHECK_OBSTACLE|2|-130.5|24.4|292.6
68.466,3,Atta_3,CHECK_OBSTACLE|2|-95.8|39.6|292.4
69.075,3,Atta_3,CHECK_OBSTACLE|2|-136.0|20.7|292.2
69.665,3,Atta_3,CHECK_OBSTACLE|2|-107.1|34.4|292.6
70.266,3,Atta_3,CHECK_OBSTACLE|2|-132.4|22.3|292.7
70.868,3,Atta_3,CHECK_OBSTACLE|2|-97.0|38.0|291.7
71.501,3,Atta_3,CHECK_OBSTACLE|2|-118.7|28.4|293.0
72.079,3,Atta_3,CHECK_OBSTACLE|2|-112.9|29.5|292.0
72.681,3,Atta_3,CHECK_OBSTACLE|2|-119.4|28.2|292.2
73.292,3,Atta_3,CHECK_OBSTACLE|2|-128.8|23.9|292.5
73.864,1,Atta_1,REQUEST_POSITION
73.897,3,Atta_3,CHECK_OBSTACLE|2|-111.5|31.8|292.3
74.022,2,Atta_2,REQUEST_POSITION
74.052,2,Atta_2,EKF_POSE|545.0|1522.2|345.3
74.361,4,Atta_4,REQUEST_POSITION
74.4,4,Atta_4,EKF_POSE|949.8|611.7|79.2
74.499,3,Atta_3,CHECK_OBSTACLE|2|-116.1|29.6|291.4
74.555,2,Atta_2,EKF_POSE|585.8|1511.5|345.1
74.895,4,Atta_4,EKF_POSE|949.8|611.7|43.7
75.052,2,Atta_2,EKF_POSE|640.1|1496.5|344.2
75.098,3,Atta_3,CHECK_OBSTACLE|2|-140.4|18.8|292.5
75.393,4,Atta_4,EKF_POSE|949.8|611.7|41.2
75.56,2,Atta_2,EKF_POSE|699.1|1480.3|345.3
75.699,3,Atta_3,CHECK_OBSTACLE|2|-129.2|24.6|292.5
75.894,4,Atta_4,EKF_POSE|949.8|611.7|41.9
