time,idrobot,robot,x,y,angle,linearDisplacement,angularDisplacement,ekf_x,ekf_y,ekf_angle,ekf_age_ms
0,1,Atta_1,141.9,587.8,0.1,0,0,,,,
0,2,Atta_2,168.8,928.8,2.8,0,0,,,,
0,3,Atta_3,143.3,1262.6,358.7,0,0,,,,
0,4,Atta_4,98.8,221.7,357.4,0,0,,,,
-0.185,1,Atta_1,164.1,589.0,359.9,22.2,-0.2,,,,
-0.185,3,Atta_3,136.9,1262.3,358.7,-6.4,0.0,,,,
0.025,4,Atta_4,104.1,224.2,359.5,5.9,2.1,,,,
0.084,2,Atta_2,186.8,928.0,2.9,18.0,0.1,,,,
0.14,1,Atta_1,143.9,585.4,0.6,-20.5,0.7,,,,
0.14,2,Atta_2,192.3,925.8,3.3,5.9,0.4,,,,
0.255,1,Atta_1,187.8,597.9,1.3,45.6,0.7,,,,
0.255,2,Atta_2,193.5,931.0,3.5,5.3,0.2,,,,
0.255,3,Atta_3,149.5,1265.7,359.0,13.1,0.3,,,,
0.255,4,Atta_4,111.8,227.3,357.3,8.3,-2.2,,,,
0.316,2,Atta_2,186.4,931.0,3.5,-7.1,0.0,,,,
0.376,2,Atta_2,192.0,929.8,3.5,5.7,0.0,,,,
0.376,3,Atta_3,144.1,1265.3,358.9,-5.4,-0.1,,,,
0.437,2,Atta_2,169.0,932.1,3.5,-23.1,0.0,,,,
0.493,2,Atta_2,201.1,929.1,3.8,32.2,0.3,,,,
0.554,2,Atta_2,192.3,931.0,3.8,-9.0,0.0,,,,
0.61,1,Atta_1,194.0,598.0,1.6,6.2,0.3,,,,
0.61,2,Atta_2,200.1,931.6,3.6,7.8,-0.2,,,,
0.61,4,Atta_4,121.8,230.4,357.5,10.5,0.2,,,,
0.671,1,Atta_1,152.6,591.4,359.3,-41.9,-2.3,,,,
0.671,2,Atta_2,194.7,931.8,3.4,-5.4,-0.2,,,,
0.671,3,Atta_3,150.8,1266.2,359.4,6.8,0.5,,,,
0.841,2,Atta_2,179.3,928.6,3.0,-15.7,-0.4,,,,
0.841,3,Atta_3,141.2,1262.1,359.5,-10.4,0.1,,,,
0.841,4,Atta_4,106.9,224.5,357.5,-16.0,0.0,,,,
0.952,3,Atta_3,148.7,1261.1,359.4,7.6,-0.1,,,,
1.011,2,Atta_2,166.1,931.9,1.8,-13.6,-1.2,,,,
