time,idrobot,robot,x,y,angle,linearDisplacement,angularDisplacement,ekf_x,ekf_y,ekf_angle,ekf_age_ms
0,1,Atta_1,556.2,111.9,87.2,0,0,,,,
0,2,Atta_2,156.2,1220.0,0.4,0,0,,,,
0,3,Atta_3,525.1,1543.8,268.8,0,0,,,,
0,4,Atta_4,126.8,349.5,0.6,0,0,,,,
-0.182,1,Atta_1,566.7,119.6,88.1,13.0,0.9,,,,
-0.182,2,Atta_2,141.1,1222.9,0.2,-15.4,-0.2,,,,
-0.182,3,Atta_3,508.6,1554.2,269.8,-19.5,1.0,,,,
-0.182,4,Atta_4,150.3,358.1,2.4,25.0,1.8,,,,
0.023,1,Atta_1,556.2,111.9,87.3,-13.0,-0.8,,,,
0.023,3,Atta_3,518.8,1548.1,269.1,11.9,-0.7,,,,
0.128,2,Atta_2,144.9,1224.4,0.3,4.1,0.1,,,,
0.128,4,Atta_4,123.2,348.8,0.6,-28.7,-1.8,,,,
0.181,1,Atta_1,551.5,110.0,87.1,-5.1,-0.2,,,,
0.181,2,Atta_2,155.3,1218.9,0.5,11.8,0.2,,,,
0.181,4,Atta_4,118.6,345.8,0.0,-5.5,-0.6,,,,
0.259,3,Atta_3,521.5,1544.1,269.1,4.8,0.0,,,,
0.37,4,Atta_4,143.5,355.4,0.7,26.7,0.7,,,,
0.428,1,Atta_1,557.8,112.6,86.7,6.8,-0.4,,,,
0.428,2,Atta_2,144.6,1219.8,0.5,-10.7,0.0,,,,
0.428,3,Atta_3,514.4,1547.5,269.4,-7.9,0.3,,,,
0.428,4,Atta_4,121.0,346.6,359.8,-24.2,-0.9,,,,
0.488,1,Atta_1,551.1,108.9,87.0,-7.7,0.3,,,,
0.488,3,Atta_3,518.5,1544.9,269.4,4.9,0.0,,,,
0.488,4,Atta_4,158.1,359.6,1.0,39.3,1.2,,,,
0.548,1,Atta_1,546.4,106.5,86.7,-5.3,-0.3,,,,
0.548,4,Atta_4,127.2,349.1,359.8,-32.6,-1.2,,,,
0.623,2,Atta_2,157.5,1218.4,0.7,13.0,0.2,,,,
0.691,1,Atta_1,553.6,110.5,87.1,8.2,0.4,,,,
0.691,3,Atta_3,514.2,1549.4,269.6,-6.2,0.2,,,,
0.745,2,Atta_2,147.7,1220.9,0.7,-10.1,0.0,,,,
0.745,4,Atta_4,132.7,351.2,359.7,5.9,-0.1,,,,
0.797,3,Atta_3,520.5,1545.3,269.6,7.5,0.0,,,,
0.853,2,Atta_2,142.0,1218.8,0.7,-6.1,0.0,,,,
0.853,3,Atta_3,517.0,1543.2,269.1,4.1,-0.5,,,,
0.904,4,Atta_4,121.3,346.4,0.5,-12.4,0.8,,,,
0.956,1,Atta_1,558.2,113.4,86.9,5.4,-0.2,,,,
0.956,2,Atta_2,148.7,1222.2,0.7,7.5,0.0,,,,
0.956,3,Atta_3,519.6,1549.4,269.1,-6.7,0.0,,,,
0.956,4,Atta_4,127.5,350.0,0.5,7.2,0.0,,,,
1.07,1,Atta_1,552.0,109.7,87.3,-7.2,0.4,,,,
1.07,2,Atta_2,143.6,1221.2,0.6,-5.2,-0.1,,,,
1.07,4,Atta_4,118.8,346.6,359.9,-9.3,-0.6,,,,
1.134,3,Atta_3,517.0,1546.3,269.0,4.0,-0.1,,,,
1.195,1,Atta_1,555.6,111.4,87.3,4.0,0.0,,,,
1.195,2,Atta_2,155.4,1218.2,0.6,12.2,0.0,,,,
1.195,4,Atta_4,153.4,358.1,1.0,36.5,1.1,,,,
1.25,3,Atta_3,521.5,1544.1,268.9,5.0,-0.1,,,,
1.359,1,Atta_1,550.1,108.8,87.6,-6.1,0.3,,,,
1.359,2,Atta_2,145.8,1219.8,0.6,-9.7,0.0,,,,
1.359,4,Atta_4,145.5,355.8,1.0,-8.2,0.0,,,,
1.436,1,Atta_1,546.6,106.1,87.5,-4.4,-0.1,,,,
1.436,3,Atta_3,514.8,1547.9,269.1,-7.7,0.2,,,,
1.53,2,Atta_2,137.1,1218.5,0.5,-8.8,-0.1,,,,
1.53,3,Atta_3,508.6,1545.9,269.2,6.5,0.1,,,,
1.53,4,Atta_4,140.1,353.3,0.8,-6.0,-0.2,,,,
1.607,2,Atta_2,143.9,1220.1,0.7,7.0,0.2,,,,
1.607,3,Atta_3,513.8,1548.1,269.3,-5.6,0.1,,,,
1.607,4,Atta_4,121.9,346.9,359.8,-19.3,-1.0,,,,
