time,idrobot,robot,x,y,angle,linearDisplacement,angularDisplacement,ekf_x,ekf_y,ekf_angle,ekf_age_ms
0,1,Atta_1,636.2,1494.5,267.3,0,0,,,,
0,2,Atta_2,249.4,79.4,86.8,0,0,,,,
0,3,Atta_3,321.8,1479.9,266.0,0,0,,,,
0,4,Atta_4,672.9,138.6,87.0,0,0,,,,
-0.181,1,Atta_1,617.7,1498.7,266.1,-19.0,-1.2,,,,
-0.181,2,Atta_2,229.0,68.3,87.5,-23.2,0.7,,,,
-0.181,3,Atta_3,296.7,1484.1,265.6,-25.4,-0.4,,,,
-0.181,4,Atta_4,663.6,133.8,86.9,-10.5,-0.1,,,,
0.032,1,Atta_1,635.5,1506.5,266.4,-19.4,0.3,,,,
0.032,2,Atta_2,251.4,80.7,86.6,25.6,-0.9,,,,
0.032,3,Atta_3,325.8,1487.1,266.4,-29.3,0.8,,,,
0.032,4,Atta_4,686.5,147.9,87.4,26.9,0.5,,,,
0.086,1,Atta_1,617.7,1498.7,266.1,19.4,-0.3,,,,
0.086,2,Atta_2,234.5,71.3,86.6,-19.3,0.0,,,,
0.086,3,Atta_3,302.2,1481.9,265.6,24.2,-0.8,,,,
0.086,4,Atta_4,669.6,138.5,86.9,-19.3,-0.5,,,,
0.14,1,Atta_1,627.2,1502.3,266.4,-10.2,0.3,,,,
0.14,2,Atta_2,253.1,82.3,86.6,21.6,0.0,,,,
0.14,3,Atta_3,316.7,1483.6,265.8,-14.6,0.2,,,,
0.14,4,Atta_4,678.2,143.7,86.9,10.0,0.0,,,,
0.191,4,Atta_4,820.9,256.7,79.2,182.0,-7.7,,,,
0.286,4,Atta_4,681.9,146.7,86.9,-177.3,7.7,,,,
0.336,1,Atta_1,634.3,1499.0,266.9,7.8,0.5,,,,
0.336,2,Atta_2,260.8,86.2,87.0,8.6,0.4,,,,
0.391,2,Atta_2,240.9,75.1,87.0,-22.8,0.0,,,,
0.391,3,Atta_3,313.6,1486.7,265.2,-4.4,-0.6,,,,
0.391,4,Atta_4,675.0,140.5,86.8,-9.3,-0.1,,,,
0.45,2,Atta_2,246.8,78.4,87.0,6.8,0.0,,,,
0.45,3,Atta_3,317.7,1487.8,266.2,-4.2,1.0,,,,
0.51,1,Atta_1,645.4,1506.6,266.7,-13.5,-0.2,,,,
0.51,2,Atta_2,256.1,83.5,86.8,10.6,-0.2,,,,
0.51,3,Atta_3,327.0,1492.9,266.3,-10.6,0.1,,,,
0.51,4,Atta_4,684.6,145.3,86.8,10.7,0.0,,,,
0.571,4,Atta_4,688.7,148.2,87.1,5.0,0.3,,,,
0.628,1,Atta_1,640.5,1508.1,266.7,-5.1,0.0,,,,
0.628,2,Atta_2,272.3,93.3,86.8,18.9,0.0,,,,
0.628,3,Atta_3,323.0,1493.3,264.6,-4.0,-1.7,,,,
0.682,1,Atta_1,632.7,1504.6,266.3,8.5,-0.4,,,,
0.682,2,Atta_2,267.0,90.3,87.0,-6.1,0.2,,,,
0.682,3,Atta_3,315.9,1489.1,264.6,8.2,0.0,,,,
0.682,4,Atta_4,682.4,146.7,87.3,-6.5,0.2,,,,
