time,idrobot,robot,x,y,angle,linearDisplacement,angularDisplacement,ekf_x,ekf_y,ekf_angle,ekf_age_ms
0,1,Atta_1,143.6,1017.8,1.8,0,0,,,,
0,2,Atta_2,99.2,1354.5,5.0,0,0,,,,
0,3,Atta_3,204.5,676.3,358.6,0,0,,,,
0,4,Atta_4,151.4,334.0,359.8,0,0,,,,
-0.202,1,Atta_1,146.0,1022.2,2.0,5.0,0.2,,,,
-0.202,2,Atta_2,110.5,1355.0,5.0,11.3,0.0,,,,
-0.202,3,Atta_3,229.1,682.0,0.0,25.3,1.4,,,,
-0.202,4,Atta_4,138.1,331.8,359.8,-13.5,0.0,,,,
0.023,1,Atta_1,150.2,1021.5,1.7,4.3,-0.3,,,,
0.085,1,Atta_1,155.8,1027.5,2.9,8.2,1.2,,,,
0.085,2,Atta_2,127.8,1358.3,5.5,17.6,0.5,,,,
0.085,4,Atta_4,147.9,337.1,359.8,11.1,0.0,,,,
0.142,1,Atta_1,106.9,1029.1,3.1,-48.9,0.2,,,,
0.142,2,Atta_2,119.7,1353.6,5.0,-9.4,-0.5,,,,
0.142,4,Atta_4,123.5,327.3,1.6,-26.3,1.8,,,,
0.205,1,Atta_1,113.0,1032.5,3.1,7.0,0.0,,,,
0.205,2,Atta_2,115.3,1359.6,5.3,-7.4,0.3,,,,
0.205,4,Atta_4,129.6,330.7,0.0,7.0,-1.6,,,,
0.263,1,Atta_1,130.0,1025.6,1.3,18.3,-1.8,,,,
0.263,2,Atta_2,106.4,1354.6,5.3,-10.2,0.0,,,,
0.263,4,Atta_4,152.7,335.5,1.0,23.6,1.0,,,,
0.314,1,Atta_1,133.6,1027.8,1.3,4.2,0.0,,,,
0.314,2,Atta_2,114.5,1355.0,5.4,8.1,0.1,,,,
0.314,4,Atta_4,156.3,337.7,0.0,4.2,-1.0,,,,
0.371,1,Atta_1,119.5,1027.1,1.4,-14.1,0.1,,,,
0.371,2,Atta_2,110.9,1352.8,5.4,-4.2,0.0,,,,
0.371,3,Atta_3,246.3,683.8,358.9,17.3,-1.1,,,,
0.371,4,Atta_4,139.6,329.4,359.0,-18.6,-1.0,,,,
0.433,1,Atta_1,123.1,1029.3,2.8,4.2,1.4,,,,
0.433,2,Atta_2,110.8,1356.9,5.1,4.1,-0.3,,,,
0.433,4,Atta_4,143.2,331.6,359.0,4.2,0.0,,,,
0.491,4,Atta_4,154.0,334.0,359.0,11.1,0.0,,,,
0.548,1,Atta_1,129.6,1027.9,2.8,6.6,0.0,,,,
0.548,2,Atta_2,95.5,1363.3,5.1,-16.6,0.0,,,,
0.548,3,Atta_3,202.1,680.1,358.2,-44.4,-0.7,,,,
0.607,1,Atta_1,139.4,1029.1,3.2,9.9,0.4,,,,
0.607,2,Atta_2,114.1,1358.7,5.0,19.2,-0.1,,,,
0.607,4,Atta_4,156.8,337.3,359.9,4.3,0.9,,,,
0.661,2,Atta_2,109.6,1360.2,5.0,-4.7,0.0,,,,
0.765,1,Atta_1,153.5,1020.6,1.5,16.5,-1.7,,,,
0.765,2,Atta_2,112.7,1355.3,4.1,5.8,-0.9,,,,
0.819,1,Atta_1,144.0,1017.2,1.5,-10.1,0.0,,,,
0.819,2,Atta_2,115.6,1347.1,4.1,8.7,0.0,,,,
0.819,4,Atta_4,147.4,332.6,0.3,-10.5,0.4,,,,
0.878,4,Atta_4,158.8,336.4,359.3,12.0,-1.0,,,,
0.929,1,Atta_1,142.1,1026.5,3.2,-9.5,1.7,,,,
0.929,2,Atta_2,116.7,1357.5,5.3,10.5,1.2,,,,
0.929,4,Atta_4,172.8,342.4,0.2,15.2,0.9,,,,
0.98,1,Atta_1,112.8,1030.8,3.2,-29.6,0.0,,,,
1.038,4,Atta_4,164.8,340.0,0.0,-8.4,-0.2,,,,
1.092,1,Atta_1,150.6,1028.6,2.4,37.9,-0.8,,,,
1.147,2,Atta_2,127.0,1357.5,5.8,10.3,0.5,,,,
1.147,4,Atta_4,148.8,336.4,0.9,-16.4,0.9,,,,
1.207,1,Atta_1,146.4,1028.0,2.4,-4.2,0.0,,,,
1.207,4,Atta_4,163.6,341.0,0.9,15.5,0.0,,,,
1.271,1,Atta_1,140.2,1026.0,1.8,-6.5,-0.6,,,,
1.271,2,Atta_2,121.8,1353.6,5.6,-6.5,-0.2,,,,
1.372,2,Atta_2,127.8,1354.0,5.0,6.0,-0.6,,,,
1.372,3,Atta_3,233.1,684.6,359.9,31.3,1.7,,,,
1.506,2,Atta_2,124.2,1349.8,5.8,-5.5,0.8,,,,
1.506,4,Atta_4,157.7,337.2,0.9,-7.0,0.0,,,,
1.574,2,Atta_2,112.2,1354.3,5.8,-12.8,0.0,,,,
1.635,2,Atta_2,102.6,1358.3,5.4,-10.4,-0.4,,,,
1.741,3,Atta_3,229.2,682.0,359.9,-4.7,0.0,,,,
1.823,1,Atta_1,154.6,1023.9,1.2,14.6,-0.6,,,,
1.823,2,Atta_2,106.3,1359.9,4.8,4.0,-0.6,,,,
1.823,4,Atta_4,162.7,338.8,0.1,5.2,-0.8,,,,
1.892,1,Atta_1,148.1,1017.6,0.7,-9.1,-0.5,,,,
1.892,2,Atta_2,94.8,1352.5,3.7,-13.7,-1.1,,,,
1.892,3,Atta_3,219.6,677.1,359.7,-10.8,-0.2,,,,
1.892,4,Atta_4,156.1,335.8,0.3,-7.2,0.2,,,,
1.953,3,Atta_3,226.8,679.1,359.7,7.5,0.0,,,,
2.014,1,Atta_1,134.8,1018.7,3.1,-13.3,2.4,,,,
2.014,4,Atta_4,149.7,332.4,0.3,-7.2,0.0,,,,
2.071,1,Atta_1,126.0,1022.7,3.4,-9.7,0.3,,,,
2.071,4,Atta_4,145.9,330.7,0.0,-4.2,-0.3,,,,
2.135,1,Atta_1,143.4,1025.7,3.4,17.7,0.0,,,,
2.135,2,Atta_2,104.5,1360.3,5.1,12.4,1.4,,,,
2.135,4,Atta_4,160.2,338.6,359.2,16.3,-0.8,,,,
