time,idrobot,robot,x,y,angle,linearDisplacement,angularDisplacement,ekf_x,ekf_y,ekf_angle,ekf_age_ms
0,1,Atta_1,668.9,1454.5,267.7,0,0,,,,
0,2,Atta_2,269.2,81.1,91.3,0,0,,,,
0,3,Atta_3,274.3,1453.8,271.7,0,0,,,,
0,4,Atta_4,821.1,250.3,79.8,0,0,,,,
-0.189,2,Atta_2,284.0,90.9,90.4,17.8,-0.9,,,,
-0.189,3,Atta_3,278.7,1455.1,271.7,-4.6,0.0,,,,
-0.189,4,Atta_4,810.7,243.8,78.3,-12.3,-1.5,,,,
0.026,2,Atta_2,272.0,82.2,91.3,-14.8,0.9,,,,
0.086,1,Atta_1,664.4,1461.4,267.0,-8.2,-0.7,,,,
0.144,2,Atta_2,268.5,80.2,91.1,-4.0,-0.2,,,,
0.197,1,Atta_1,653.4,1450.1,267.5,15.8,0.5,,,,
0.197,2,Atta_2,252.0,73.3,91.0,-17.9,-0.1,,,,
0.197,3,Atta_3,261.3,1447.7,272.1,18.9,0.4,,,,
0.197,4,Atta_4,794.1,235.5,77.9,-18.6,-0.4,,,,
0.319,2,Atta_2,278.4,91.2,89.6,31.9,-1.4,,,,
0.403,1,Atta_1,673.8,1460.5,267.2,-22.9,-0.3,,,,
0.403,2,Atta_2,301.8,102.8,89.6,26.1,0.0,,,,
0.403,3,Atta_3,281.7,1458.1,272.1,-22.9,0.0,,,,
0.403,4,Atta_4,817.2,248.8,78.0,26.7,0.1,,,,
0.495,3,Atta_3,277.9,1460.4,271.8,-4.4,-0.3,,,,
0.495,4,Atta_4,823.2,251.8,78.2,6.7,0.2,,,,
0.593,1,Atta_1,658.5,1451.0,267.2,18.0,0.0,,,,
0.593,2,Atta_2,248.9,70.6,90.6,-61.9,1.0,,,,
0.593,3,Atta_3,262.5,1452.3,271.3,17.4,-0.5,,,,
0.593,4,Atta_4,809.0,245.0,78.2,-15.7,0.0,,,,
0.689,1,Atta_1,655.6,1454.1,267.5,-4.2,0.3,,,,
0.689,3,Atta_3,246.7,1459.0,271.1,-17.2,-0.2,,,,
0.787,1,Atta_1,663.3,1467.1,266.9,-15.1,-0.6,,,,
0.787,2,Atta_2,273.3,84.5,91.2,28.1,0.6,,,,
0.787,3,Atta_3,261.3,1467.3,271.3,-16.8,0.2,,,,
0.787,4,Atta_4,659.7,125.6,85.2,-191.2,7.0,,,,
0.882,3,Atta_3,266.5,1466.3,270.7,5.3,-0.6,,,,
0.978,1,Atta_1,659.3,1467.5,266.3,-4.0,-0.6,,,,
0.978,4,Atta_4,815.4,246.8,80.3,197.3,-4.9,,,,
1.058,1,Atta_1,648.9,1467.3,265.8,10.4,-0.5,,,,
1.058,2,Atta_2,254.8,74.4,91.9,-21.1,0.7,,,,
1.058,3,Atta_3,260.7,1458.3,270.2,9.9,-0.5,,,,
1.058,4,Atta_4,810.2,243.7,78.6,-6.1,-1.7,,,,
1.127,1,Atta_1,658.5,1460.8,266.6,11.6,0.8,,,,
1.127,3,Atta_3,266.0,1456.5,271.5,5.6,1.3,,,,
1.196,1,Atta_1,659.1,1474.9,265.6,-14.1,-1.0,,,,
1.196,2,Atta_2,304.7,103.2,89.9,57.6,-2.0,,,,
1.196,3,Atta_3,280.2,1463.0,271.6,-15.6,0.1,,,,
1.196,4,Atta_4,663.3,125.3,84.8,-188.7,6.2,,,,
1.258,1,Atta_1,670.0,1468.6,266.0,12.6,0.4,,,,
1.258,4,Atta_4,655.2,118.1,85.9,-10.8,1.1,,,,
1.32,2,Atta_2,300.3,99.6,90.6,-5.7,0.7,,,,
1.385,1,Atta_1,654.6,1452.8,266.9,22.1,0.9,,,,
1.385,2,Atta_2,279.4,88.6,90.6,-23.6,0.0,,,,
1.385,3,Atta_3,251.1,1456.4,272.4,29.8,0.8,,,,
1.385,4,Atta_4,799.7,237.5,78.6,187.4,-7.3,,,,
1.447,1,Atta_1,663.7,1458.1,266.9,-10.5,0.0,,,,
1.447,2,Atta_2,287.7,93.3,90.6,9.5,0.0,,,,
1.447,3,Atta_3,268.6,1457.6,271.9,-17.5,-0.5,,,,
1.447,4,Atta_4,813.7,245.7,78.1,16.2,-0.5,,,,
1.504,1,Atta_1,652.8,1465.3,267.3,-13.1,0.4,,,,
1.504,3,Atta_3,259.8,1460.3,271.9,-9.2,0.0,,,,
1.504,4,Atta_4,808.8,242.8,78.1,-5.7,0.0,,,,
1.559,2,Atta_2,255.5,74.8,91.8,-37.1,1.2,,,,
1.559,4,Atta_4,656.3,124.2,84.8,-193.2,6.7,,,,
1.612,4,Atta_4,641.5,110.5,85.1,-20.2,0.3,,,,
1.672,1,Atta_1,655.9,1455.7,266.9,10.1,-0.4,,,,
1.672,2,Atta_2,249.0,71.3,92.1,-7.4,0.3,,,,
1.672,3,Atta_3,255.2,1456.6,272.5,5.9,0.6,,,,
1.672,4,Atta_4,632.9,106.3,85.1,-9.6,0.0,,,,
1.73,1,Atta_1,664.6,1459.7,267.0,-9.6,0.1,,,,
1.73,2,Atta_2,269.3,81.1,91.2,22.5,-0.9,,,,
1.73,3,Atta_3,268.9,1458.6,272.3,-13.8,-0.2,,,,
1.73,4,Atta_4,639.3,108.7,85.1,6.8,0.0,,,,
1.796,2,Atta_2,252.4,71.0,92.0,-19.7,0.8,,,,
1.796,3,Atta_3,271.2,1452.6,272.3,6.4,0.0,,,,
1.852,1,Atta_1,655.4,1461.9,266.0,-9.5,-1.0,,,,
1.852,4,Atta_4,811.7,243.4,79.8,218.8,-5.3,,,,
1.913,1,Atta_1,650.5,1461.7,266.0,4.9,0.0,,,,
1.913,2,Atta_2,247.4,70.7,92.1,-5.0,0.1,,,,
1.913,3,Atta_3,260.1,1455.1,271.7,-11.4,-0.6,,,,
1.913,4,Atta_4,806.8,243.2,79.8,-4.9,0.0,,,,
1.976,1,Atta_1,639.8,1468.8,265.6,-12.8,-0.4,,,,
