time,idrobot,robot,x,y,angle,linearDisplacement,angularDisplacement,ekf_x,ekf_y,ekf_angle,ekf_age_ms
0,1,Atta_1,510.9,1546.1,269.2,0,0,,,,
0,2,Atta_2,551.2,17.2,84.2,0,0,,,,
0,3,Atta_3,270.1,1177.1,5.0,0,0,,,,
0,4,Atta_4,239.4,434.7,1.7,0,0,,,,
-0.197,1,Atta_1,501.3,1550.6,268.3,-10.6,-0.9,,,,
-0.197,2,Atta_2,545.7,13.3,84.1,-6.7,-0.1,,,,
-0.197,3,Atta_3,260.7,1178.5,4.6,-9.5,-0.4,,,,
-0.197,4,Atta_4,248.1,437.0,0.8,9.0,-0.9,,,,
0.027,1,Atta_1,495.0,1557.3,267.9,-9.2,-0.4,,,,
0.027,2,Atta_2,574.0,33.6,82.8,34.8,-1.3,,,,
0.027,3,Atta_3,247.9,1182.8,4.1,-13.5,-0.5,,,,
0.027,4,Atta_4,224.7,431.1,0.9,-24.1,0.1,,,,
0.093,1,Atta_1,501.3,1550.6,268.3,9.2,0.4,,,,
0.093,2,Atta_2,551.9,18.0,84.1,-27.1,1.3,,,,
0.145,1,Atta_1,507.1,1548.1,268.8,6.3,0.5,,,,
0.145,4,Atta_4,197.1,420.4,0.0,-29.6,-0.9,,,,
0.254,4,Atta_4,231.1,432.5,0.2,36.1,0.2,,,,
0.312,2,Atta_2,545.2,12.9,84.0,-8.4,-0.1,,,,
0.363,2,Atta_2,548.6,15.3,84.0,4.2,0.0,,,,
0.417,1,Atta_1,507.3,1552.2,269.2,-4.1,0.4,,,,
0.417,3,Atta_3,258.4,1180.9,3.5,10.7,-0.6,,,,
0.477,2,Atta_2,556.0,21.6,84.0,9.7,0.0,,,,
0.477,3,Atta_3,251.9,1183.8,2.6,-7.1,-0.9,,,,
0.529,1,Atta_1,519.0,1551.9,268.9,11.7,-0.3,,,,
0.529,2,Atta_2,565.1,26.1,84.1,10.2,0.1,,,,
0.529,3,Atta_3,265.2,1183.3,2.6,13.3,0.0,,,,
0.529,4,Atta_4,246.0,438.4,0.8,16.0,0.6,,,,
0.584,1,Atta_1,511.0,1547.2,268.9,9.3,0.0,,,,
0.584,3,Atta_3,252.9,1182.3,4.0,-12.3,1.4,,,,
0.584,4,Atta_4,228.2,430.9,359.4,-19.3,-1.4,,,,
0.643,2,Atta_2,557.1,21.4,84.6,-9.3,0.5,,,,
0.643,4,Atta_4,238.0,433.7,0.8,10.2,1.4,,,,
0.708,1,Atta_1,503.9,1552.1,268.0,-8.6,-0.9,,,,
0.708,3,Atta_3,244.3,1184.6,3.5,-8.9,-0.5,,,,
0.708,4,Atta_4,230.2,431.8,0.2,-8.0,-0.6,,,,
0.776,1,Atta_1,496.2,1556.0,268.0,-8.6,0.0,,,,
0.776,2,Atta_2,551.0,16.7,84.4,-7.7,-0.2,,,,
0.776,3,Atta_3,238.5,1184.1,3.0,-5.8,-0.5,,,,
0.844,1,Atta_1,499.6,1550.1,268.2,6.8,0.2,,,,
0.844,2,Atta_2,547.1,15.0,84.3,-4.3,-0.1,,,,
0.844,4,Atta_4,225.9,429.8,0.2,-4.7,0.0,,,,
0.941,1,Atta_1,492.4,1555.3,268.2,-8.9,0.0,,,,
0.941,4,Atta_4,219.8,428.0,359.8,-6.4,-0.4,,,,
0.998,1,Atta_1,507.0,1550.0,268.7,15.5,0.5,,,,
0.998,3,Atta_3,250.1,1182.4,4.5,11.7,1.5,,,,
1.05,1,Atta_1,499.2,1556.2,267.8,-10.0,-0.9,,,,
1.05,2,Atta_2,551.7,17.7,84.3,5.3,0.0,,,,
1.111,1,Atta_1,511.7,1552.3,268.7,13.1,0.9,,,,
1.111,2,Atta_2,556.9,20.8,84.3,6.1,0.0,,,,
1.111,3,Atta_3,273.7,1180.9,5.0,23.6,0.5,,,,
1.171,1,Atta_1,504.8,1558.8,267.8,-9.5,-0.9,,,,
1.171,4,Atta_4,227.1,433.0,0.4,8.8,0.6,,,,
1.226,1,Atta_1,517.2,1549.0,268.9,15.8,1.1,,,,
1.226,2,Atta_2,562.4,25.4,83.9,7.2,-0.4,,,,
1.278,1,Atta_1,509.2,1554.7,268.4,-9.8,-0.5,,,,
1.278,3,Atta_3,258.8,1183.9,4.7,-15.2,-0.3,,,,
1.34,3,Atta_3,268.0,1181.8,4.2,9.4,-0.5,,,,
1.394,2,Atta_2,552.7,16.6,84.1,-13.1,0.2,,,,
1.394,3,Atta_3,254.5,1183.9,2.3,-13.7,-1.9,,,,
1.394,4,Atta_4,233.9,434.5,1.0,7.0,0.6,,,,
1.448,1,Atta_1,499.3,1557.5,268.1,-10.3,-0.3,,,,
1.509,1,Atta_1,504.1,1553.7,268.2,6.1,0.1,,,,
1.573,1,Atta_1,513.0,1553.2,268.9,8.9,0.7,,,,
