time,idrobot,robot,x,y,angle,linearDisplacement,angularDisplacement,ekf_x,ekf_y,ekf_angle,ekf_age_ms
0,1,Atta_1,178.4,598.1,2.2,0,0,,,,
0,2,Atta_2,138.4,237.4,1.3,0,0,,,,
0,3,Atta_3,194.7,919.1,8.2,0,0,,,,
0,4,Atta_4,166.0,1259.6,3.7,0,0,,,,
-0.189,1,Atta_1,166.6,596.4,1.0,-11.9,-1.2,,,,
-0.189,2,Atta_2,157.0,245.2,2.2,20.2,0.9,,,,
-0.189,3,Atta_3,200.4,918.5,8.2,5.7,0.0,,,,
-0.189,4,Atta_4,155.7,1262.8,3.6,-10.8,-0.1,,,,
0.026,1,Atta_1,172.3,597.0,2.2,5.7,1.2,,,,
0.026,4,Atta_4,166.3,1259.6,3.7,11.1,0.1,,,,
0.08,2,Atta_2,170.4,252.3,2.3,15.2,0.1,,,,
0.08,3,Atta_3,213.4,925.6,8.2,14.8,0.0,,,,
0.08,4,Atta_4,168.7,1269.9,4.3,10.6,0.6,,,,
0.137,3,Atta_3,206.1,925.7,8.2,-7.3,0.0,,,,
0.137,4,Atta_4,177.5,1266.3,4.3,9.5,0.0,,,,
0.192,1,Atta_1,179.3,600.5,1.9,7.8,-0.3,,,,
0.192,2,Atta_2,164.5,249.5,1.7,-6.5,-0.6,,,,
0.192,3,Atta_3,195.2,922.7,8.2,-11.3,0.0,,,,
0.192,4,Atta_4,163.2,1266.9,4.3,-14.3,0.0,,,,
0.244,2,Atta_2,168.8,249.9,1.7,4.3,0.0,,,,
0.244,4,Atta_4,167.5,1265.5,3.7,4.5,-0.6,,,,
0.361,2,Atta_2,178.5,256.9,1.0,12.0,-0.7,,,,
0.361,3,Atta_3,194.2,926.6,8.1,-4.0,-0.1,,,,
0.361,4,Atta_4,173.6,1268.9,3.5,7.0,-0.2,,,,
0.416,1,Atta_1,185.2,604.4,1.9,7.1,0.0,,,,
0.416,2,Atta_2,184.2,259.6,1.0,6.3,0.0,,,,
0.416,3,Atta_3,202.3,926.0,8.2,8.1,0.1,,,,
0.476,2,Atta_2,180.8,256.9,1.9,-4.3,0.9,,,,
0.476,4,Atta_4,166.7,1271.1,3.7,-7.2,0.2,,,,
0.533,2,Atta_2,187.3,259.4,2.1,7.0,0.2,,,,
0.533,4,Atta_4,174.7,1269.2,3.7,8.2,0.0,,,,
0.593,2,Atta_2,181.2,256.3,1.9,-6.8,-0.2,,,,
0.647,3,Atta_3,192.8,927.1,8.6,-9.6,0.4,,,,
0.7,3,Atta_3,180.9,928.2,8.3,-12.0,-0.3,,,,
0.7,4,Atta_4,166.6,1270.9,3.8,-8.3,0.1,,,,
0.761,2,Atta_2,151.3,243.5,1.1,-32.5,-0.8,,,,
0.821,2,Atta_2,177.0,253.9,1.7,27.7,0.6,,,,
0.821,3,Atta_3,191.3,925.3,8.3,10.8,0.0,,,,
0.821,4,Atta_4,192.7,1259.8,3.8,28.4,0.0,,,,
0.881,1,Atta_1,181.0,601.6,2.0,-5.0,0.1,,,,
0.881,2,Atta_2,136.9,238.1,1.3,-43.1,-0.4,,,,
0.881,3,Atta_3,200.8,924.6,8.0,9.5,-0.3,,,,
0.939,1,Atta_1,193.7,608.5,2.0,14.5,0.0,,,,
0.939,2,Atta_2,152.3,246.3,1.3,17.4,0.0,,,,
0.939,3,Atta_3,213.3,931.4,8.0,14.2,0.0,,,,
0.939,4,Atta_4,188.9,1270.0,3.8,-10.9,0.0,,,,
0.998,1,Atta_1,181.0,602.1,2.2,-14.2,0.2,,,,
0.998,2,Atta_2,139.8,239.5,1.2,-14.2,-0.1,,,,
0.998,3,Atta_3,205.5,923.1,8.6,-11.4,0.6,,,,
0.998,4,Atta_4,176.4,1263.5,3.9,-14.1,0.1,,,,
1.054,1,Atta_1,200.2,612.3,2.0,21.7,-0.2,,,,
1.054,2,Atta_2,164.8,251.3,1.2,27.6,0.0,,,,
1.054,3,Atta_3,226.7,933.3,8.6,23.5,0.0,,,,
1.054,4,Atta_4,183.9,1278.1,3.8,16.4,-0.1,,,,
1.113,1,Atta_1,180.1,602.4,1.9,-22.4,-0.1,,,,
1.113,3,Atta_3,207.7,923.8,8.6,-21.2,0.0,,,,
1.113,4,Atta_4,162.1,1269.5,3.5,-23.4,-0.3,,,,
1.172,3,Atta_3,200.2,925.0,8.6,-7.6,0.0,,,,
1.23,1,Atta_1,175.8,602.9,1.3,-4.3,-0.6,,,,
1.23,2,Atta_2,149.3,243.7,1.9,-17.3,0.7,,,,
1.23,4,Atta_4,168.8,1268.4,3.5,6.8,0.0,,,,
1.347,2,Atta_2,138.1,239.6,1.2,-11.9,-0.7,,,,
1.347,3,Atta_3,204.2,924.5,8.0,4.0,-0.6,,,,
1.461,4,Atta_4,174.3,1268.3,3.4,5.5,-0.1,,,,
1.515,1,Atta_1,191.6,606.0,2.1,16.1,0.8,,,,
1.515,2,Atta_2,146.5,243.5,1.2,9.3,0.0,,,,
1.515,4,Atta_4,181.6,1267.3,3.3,7.4,-0.1,,,,
1.571,1,Atta_1,188.6,609.2,2.1,-4.4,0.0,,,,
1.571,2,Atta_2,179.1,258.2,1.6,35.8,0.4,,,,
1.571,3,Atta_3,217.8,929.7,8.3,14.6,0.3,,,,
1.571,4,Atta_4,184.1,1273.4,3.4,6.6,0.1,,,,
1.684,1,Atta_1,199.8,609.2,2.1,11.2,0.0,,,,
1.684,4,Atta_4,193.6,1271.1,4.4,9.8,1.0,,,,
1.761,1,Atta_1,188.6,609.2,1.8,-11.2,-0.3,,,,
1.761,2,Atta_2,141.7,242.6,1.5,-40.5,-0.1,,,,
1.761,3,Atta_3,202.8,933.1,8.3,-15.4,0.0,,,,
1.825,1,Atta_1,192.8,611.4,1.9,4.7,0.1,,,,
1.825,2,Atta_2,146.7,246.1,0.7,6.1,-0.8,,,,
1.825,3,Atta_3,207.8,936.6,8.4,6.1,0.1,,,,
1.825,4,Atta_4,198.6,1274.6,3.6,6.1,-0.8,,,,
1.893,1,Atta_1,185.2,610.4,1.9,-7.7,0.0,,,,
1.893,3,Atta_3,224.0,934.1,8.4,16.4,0.0,,,,
1.893,4,Atta_4,186.3,1277.6,3.6,-12.7,0.0,,,,
1.954,1,Atta_1,177.5,605.9,1.9,-8.9,0.0,,,,
1.954,3,Atta_3,216.3,929.7,8.2,-8.9,-0.2,,,,
1.954,4,Atta_4,178.6,1273.2,3.6,-8.9,0.0,,,,
2.013,1,Atta_1,167.1,600.1,2.0,-11.9,0.1,,,,
2.013,2,Atta_2,174.3,254.9,1.1,29.0,0.4,,,,
2.013,3,Atta_3,166.1,926.6,7.5,-50.3,-0.7,,,,
2.013,4,Atta_4,170.0,1266.9,3.6,-10.7,0.0,,,,
2.071,1,Atta_1,191.6,608.4,2.0,25.9,0.0,,,,
2.071,2,Atta_2,184.7,260.7,1.1,11.9,0.0,,,,
2.071,3,Atta_3,176.5,932.4,8.0,11.9,0.5,,,,
2.071,4,Atta_4,214.6,1260.9,2.2,45.0,-1.4,,,,
2.139,2,Atta_2,143.2,243.4,0.8,-45.0,-0.3,,,,
2.139,3,Atta_3,182.7,930.9,8.0,6.4,0.0,,,,
2.139,4,Atta_4,195.4,1263.9,2.4,-19.4,0.2,,,,
2.203,1,Atta_1,187.0,606.4,2.0,-5.0,0.0,,,,
2.203,3,Atta_3,200.0,929.7,8.0,17.3,0.0,,,,
2.263,1,Atta_1,162.4,598.4,1.0,-25.9,-1.0,,,,
2.263,2,Atta_2,118.8,231.7,0.8,-27.1,0.0,,,,
2.263,3,Atta_3,200.3,922.1,8.2,-7.6,0.2,,,,
2.263,4,Atta_4,189.4,1256.4,2.3,-9.6,-0.1,,,,
2.322,2,Atta_2,134.8,238.0,0.8,17.2,0.0,,,,
2.379,1,Atta_1,176.7,601.8,1.6,14.7,0.6,,,,
2.379,2,Atta_2,126.2,234.5,0.8,-9.3,0.0,,,,
2.379,3,Atta_3,205.3,923.6,7.9,5.2,-0.3,,,,
2.379,4,Atta_4,204.3,1255.7,2.2,14.9,-0.1,,,,
2.451,2,Atta_2,143.0,242.6,0.6,18.7,-0.2,,,,
2.451,4,Atta_4,209.6,1257.1,2.2,5.5,0.0,,,,
2.515,1,Atta_1,172.1,602.2,2.0,-4.6,0.4,,,,
2.515,2,Atta_2,129.4,236.5,0.6,-14.9,0.0,,,,
2.515,3,Atta_3,220.1,925.5,8.4,14.9,0.5,,,,
2.571,2,Atta_2,138.9,241.1,0.6,10.6,0.0,,,,
2.571,3,Atta_3,193.1,927.1,8.5,-27.0,0.1,,,,
2.637,1,Atta_1,179.3,605.3,1.6,7.8,-0.4,,,,
2.637,2,Atta_2,130.2,237.5,0.6,-9.4,0.0,,,,
2.637,3,Atta_3,214.0,931.2,8.8,21.3,0.3,,,,
2.637,4,Atta_4,212.2,1262.2,2.5,5.7,0.3,,,,
2.705,1,Atta_1,164.9,605.0,0.8,-14.4,-0.8,,,,
2.767,1,Atta_1,178.6,611.4,0.7,15.1,-0.1,,,,
2.767,2,Atta_2,144.7,244.7,1.0,16.2,0.4,,,,
2.767,3,Atta_3,228.8,937.9,8.8,16.2,0.0,,,,
2.767,4,Atta_4,227.0,1269.5,2.5,16.5,0.0,,,,
2.818,1,Atta_1,186.5,612.8,0.7,8.0,0.0,,,,
2.818,2,Atta_2,152.0,247.5,1.0,7.8,0.0,,,,
2.818,3,Atta_3,240.0,936.7,8.4,11.3,-0.4,,,,
2.818,4,Atta_4,214.8,1274.2,3.6,-13.1,1.1,,,,
2.881,2,Atta_2,120.5,230.6,1.1,-35.7,0.1,,,,
2.881,3,Atta_3,192.8,920.9,8.2,-49.8,-0.2,,,,
2.881,4,Atta_4,182.8,1257.2,3.6,-36.2,0.0,,,,
2.933,1,Atta_1,154.5,595.8,0.9,-36.2,0.2,,,,
2.933,2,Atta_2,124.3,232.2,0.8,4.1,-0.3,,,,
2.933,3,Atta_3,208.0,919.7,8.2,15.2,0.0,,,,
2.933,4,Atta_4,195.0,1252.5,2.9,13.1,-0.7,,,,
2.985,1,Atta_1,174.0,610.3,0.9,24.3,0.0,,,,
2.985,2,Atta_2,151.7,247.0,1.0,31.1,0.2,,,,
2.985,3,Atta_3,219.4,936.1,8.4,20.0,0.2,,,,
2.985,4,Atta_4,222.4,1267.3,2.9,31.1,0.0,,,,
