time,idrobot,robot,x,y,angle,linearDisplacement,angularDisplacement,ekf_x,ekf_y,ekf_angle,ekf_age_ms
0,1,Atta_1,259.9,366.8,0.8,0,0,,,,
0,2,Atta_2,282.7,1530.8,358.3,0,0,,,,
0,3,Atta_3,285.9,1132.2,359.4,0,0,,,,
0,4,Atta_4,295.0,715.5,358.3,0,0,,,,
0.0,1,Atta_1,292.1,381.5,359.2,35.4,-1.6,,,,
0.0,2,Atta_2,288.8,1538.4,358.6,9.7,0.3,,,,
0.0,3,Atta_3,291.9,1138.7,359.4,8.8,0.0,,,,
0.0,4,Atta_4,489.5,741.0,3.9,196.2,5.6,,,,
0.1,1,Atta_1,274.6,372.2,359.9,-19.8,0.7,,,,
0.1,2,Atta_2,274.8,1532.2,359.3,-15.3,0.7,,,,
0.1,3,Atta_3,293.1,1127.9,0.4,10.9,1.0,,,,
0.1,4,Atta_4,468.8,733.0,4.3,-22.2,0.4,,,,
0.1,1,Atta_1,279.3,374.6,359.9,5.3,0.0,,,,
0.1,4,Atta_4,476.7,733.7,3.9,7.9,-0.4,,,,
0.2,1,Atta_1,289.3,378.0,0.4,10.6,0.5,,,,
0.2,2,Atta_2,253.7,1543.5,359.5,-23.9,0.2,,,,
0.3,1,Atta_1,299.9,384.3,0.4,12.3,0.0,,,,
0.3,2,Atta_2,255.7,1554.2,359.7,10.9,0.2,,,,
0.3,3,Atta_3,325.4,1129.6,358.8,32.3,-1.6,,,,
0.3,4,Atta_4,479.4,739.3,3.8,6.2,-0.1,,,,
0.3,2,Atta_2,266.2,1551.5,359.7,10.8,0.0,,,,
0.3,3,Atta_3,318.1,1134.0,358.8,-8.5,0.0,,,,
0.4,1,Atta_1,290.2,380.4,0.0,-10.5,-0.4,,,,
0.4,2,Atta_2,285.0,1539.3,359.1,22.4,-0.6,,,,
0.4,4,Atta_4,462.1,737.4,3.2,-17.4,-0.6,,,,
0.5,2,Atta_2,275.9,1533.9,359.1,-10.6,0.0,,,,
0.5,3,Atta_3,307.0,1126.9,358.6,-13.2,-0.2,,,,
0.5,4,Atta_4,452.9,732.1,3.2,-10.6,0.0,,,,
0.5,3,Atta_3,325.6,1122.1,358.6,19.2,0.0,,,,
0.6,2,Atta_2,247.2,1549.3,359.6,-32.6,0.5,,,,
0.6,4,Atta_4,462.9,732.3,3.2,10.0,0.0,,,,
0.7,3,Atta_3,318.0,1123.5,359.9,-7.7,1.3,,,,
0.7,2,Atta_2,273.0,1531.1,359.3,31.6,-0.3,,,,
0.7,3,Atta_3,314.1,1121.5,0.0,-4.4,0.1,,,,
0.7,4,Atta_4,434.3,728.0,2.8,-28.9,-0.4,,,,
0.8,3,Atta_3,320.6,1120.1,0.0,6.6,0.0,,,,
0.9,1,Atta_1,295.7,381.3,0.0,5.6,0.0,,,,
0.9,2,Atta_2,278.2,1536.2,359.1,7.3,-0.2,,,,
0.9,3,Atta_3,333.1,1123.0,0.0,12.8,0.0,,,,
0.9,4,Atta_4,441.4,732.0,2.8,8.1,0.0,,,,
0.9,3,Atta_3,327.7,1124.1,0.2,-5.5,0.2,,,,
0.9,4,Atta_4,408.5,727.8,2.2,-33.2,-0.6,,,,
1.0,1,Atta_1,290.9,379.3,0.5,-5.2,0.5,,,,
1.0,3,Atta_3,331.7,1122.8,0.0,4.2,-0.2,,,,
1.1,3,Atta_3,314.3,1127.5,359.2,-18.0,-0.8,,,,
1.1,2,Atta_2,248.6,1552.2,359.5,-33.6,0.4,,,,
1.1,3,Atta_3,330.8,1123.1,359.2,17.1,0.0,,,,
1.1,4,Atta_4,453.3,733.6,3.5,45.2,1.3,,,,
1.2,2,Atta_2,273.4,1535.4,359.2,30.0,-0.3,,,,
1.2,3,Atta_3,311.8,1125.5,359.2,-19.2,0.0,,,,
1.2,2,Atta_2,268.6,1531.7,359.1,-6.1,-0.1,,,,
1.2,4,Atta_4,447.0,729.3,4.0,-7.6,0.5,,,,
1.4,1,Atta_1,284.7,374.7,0.1,-7.7,-0.4,,,,
1.4,2,Atta_2,263.6,1532.3,359.1,-5.0,0.0,,,,
1.4,3,Atta_3,309.4,1121.0,359.0,-5.1,-0.2,,,,
1.4,4,Atta_4,451.7,728.2,3.4,4.8,-0.6,,,,
1.4,2,Atta_2,253.0,1545.8,359.7,-17.2,0.6,,,,
1.4,3,Atta_3,316.4,1125.8,358.9,8.5,-0.1,,,,
1.5,2,Atta_2,273.3,1538.0,359.1,21.7,-0.6,,,,
1.5,4,Atta_4,480.6,736.3,3.1,30.0,-0.3,,,,
1.5,1,Atta_1,296.5,383.3,0.1,14.6,0.0,,,,
1.5,2,Atta_2,264.2,1552.3,359.7,-16.9,0.6,,,,
1.5,3,Atta_3,321.8,1132.5,359.0,8.6,0.1,,,,
1.5,4,Atta_4,489.6,741.8,3.6,10.5,0.5,,,,
1.6,1,Atta_1,285.9,378.1,359.6,-11.8,-0.5,,,,
1.6,2,Atta_2,270.6,1539.3,359.2,14.5,-0.5,,,,
1.6,3,Atta_3,307.8,1129.3,359.0,-14.4,0.0,,,,
1.6,4,Atta_4,476.6,736.3,4.4,-14.1,0.8,,,,
1.7,1,Atta_1,282.3,375.2,359.7,-4.6,0.1,,,,
1.7,2,Atta_2,265.6,1536.3,359.2,-5.8,0.0,,,,
1.7,3,Atta_3,302.8,1126.3,359.0,-5.8,0.0,,,,
1.7,4,Atta_4,469.5,732.4,4.4,-8.1,0.0,,,,
1.8,2,Atta_2,277.2,1530.5,358.4,13.0,-0.8,,,,
1.8,3,Atta_3,319.3,1122.4,358.8,17.0,-0.2,,,,
1.8,1,Atta_1,289.0,377.8,0.7,7.2,1.0,,,,
1.8,2,Atta_2,284.5,1534.8,358.5,8.5,0.1,,,,
1.8,3,Atta_3,310.5,1128.7,358.5,-10.8,-0.3,,,,
1.8,4,Atta_4,488.9,739.0,3.4,20.5,-1.0,,,,
1.9,2,Atta_2,291.9,1530.9,358.5,8.4,0.0,,,,
1.9,3,Atta_3,314.8,1128.7,357.6,4.3,-0.9,,,,
2.0,3,Atta_3,308.0,1127.1,357.6,-7.0,0.0,,,,
2.0,4,Atta_4,485.2,736.9,3.8,-4.3,0.4,,,,
2.1,2,Atta_2,285.7,1531.8,358.3,-6.3,-0.2,,,,
2.1,2,Atta_2,284.9,1535.9,358.3,-4.2,0.0,,,,
2.1,3,Atta_3,312.2,1130.0,358.0,5.1,0.4,,,,
2.1,4,Atta_4,489.3,739.2,3.8,4.7,0.0,,,,
2.2,1,Atta_1,302.3,386.8,0.0,16.1,-0.7,,,,
2.2,2,Atta_2,300.7,1540.1,358.4,16.3,0.1,,,,
2.2,3,Atta_3,323.1,1136.0,357.9,12.4,-0.1,,,,
2.2,1,Atta_1,290.9,380.1,0.6,-13.2,0.6,,,,
2.2,2,Atta_2,284.9,1535.9,358.4,-16.3,0.0,,,,
2.2,3,Atta_3,307.2,1131.6,357.9,-16.5,0.0,,,,
2.2,4,Atta_4,474.3,737.0,3.4,-15.2,-0.4,,,,
2.3,1,Atta_1,281.1,372.5,2.0,-12.4,1.4,,,,
2.3,2,Atta_2,283.3,1529.4,358.4,-6.7,0.0,,,,
2.3,3,Atta_3,300.1,1127.4,358.3,-8.2,0.4,,,,
2.4,2,Atta_2,277.4,1532.0,358.5,-6.4,0.1,,,,
2.4,3,Atta_3,312.2,1124.2,358.3,12.5,0.0,,,,
2.4,4,Atta_4,466.7,732.6,3.4,-8.8,0.0,,,,
2.4,1,Atta_1,286.8,378.4,0.3,8.2,-1.7,,,,
2.4,2,Atta_2,285.9,1532.1,358.5,8.5,0.0,,,,
2.4,3,Atta_3,320.2,1126.0,357.7,8.2,-0.6,,,,
2.4,4,Atta_4,470.5,734.9,3.4,4.4,0.0,,,,
2.5,1,Atta_1,296.3,381.1,0.3,9.9,0.0,,,,
2.5,3,Atta_3,316.0,1126.0,357.7,-4.2,0.0,,,,
2.6,1,Atta_1,291.9,379.0,0.3,-4.9,0.0,,,,
2.6,2,Atta_2,281.5,1530.0,358.5,-4.9,0.0,,,,
2.6,3,Atta_3,298.2,1128.2,358.0,-17.9,0.3,,,,
2.7,3,Atta_3,319.6,1123.0,358.0,22.0,0.0,,,,
2.7,4,Atta_4,465.0,733.5,3.6,-5.7,0.2,,,,
2.8,1,Atta_1,296.5,383.1,0.2,6.2,-0.1,,,,
2.8,2,Atta_2,292.7,1534.7,358.5,12.1,0.0,,,,
2.8,3,Atta_3,328.0,1128.8,357.7,10.2,-0.3,,,,
2.9,4,Atta_4,471.7,737.2,2.2,7.7,-1.4,,,,
2.9,1,Atta_1,290.8,380.7,359.9,-6.2,-0.3,,,,
2.9,2,Atta_2,287.8,1538.0,359.1,-5.9,0.6,,,,
2.9,4,Atta_4,466.6,737.2,2.2,-5.1,0.0,,,,
3.0,4,Atta_4,473.8,738.5,3.8,7.3,1.6,,,,
3.0,1,Atta_1,295.3,382.3,359.8,4.8,-0.1,,,,
3.0,4,Atta_4,464.4,736.8,3.8,-9.6,0.0,,,,
3.1,2,Atta_2,282.6,1533.8,359.2,-6.7,0.1,,,,
3.1,3,Atta_3,319.9,1126.9,358.6,-8.3,0.9,,,,
3.1,4,Atta_4,414.1,728.6,2.1,-51.0,-1.7,,,,
3.2,1,Atta_1,285.9,376.3,0.2,-11.2,0.4,,,,
3.2,2,Atta_2,276.1,1530.0,359.2,-7.5,0.0,,,,
3.2,3,Atta_3,319.1,1120.9,358.6,-6.1,0.0,,,,
3.2,4,Atta_4,399.6,724.8,1.2,-15.0,-0.9,,,,
3.2,3,Atta_3,323.9,1119.9,359.6,4.9,1.0,,,,
3.3,1,Atta_1,282.0,374.9,0.0,-4.1,-0.2,,,,
3.4,1,Atta_1,291.0,379.8,0.0,10.2,0.0,,,,
3.4,2,Atta_2,273.1,1542.8,359.2,-13.1,0.0,,,,
3.4,3,Atta_3,333.5,1125.3,359.9,11.0,0.3,,,,
3.4,4,Atta_4,452.0,734.8,3.2,53.3,2.0,,,,
3.4,1,Atta_1,294.5,382.0,0.3,4.1,0.3,,,,
3.4,2,Atta_2,258.4,1554.6,359.6,-18.9,0.4,,,,
3.4,3,Atta_3,337.6,1127.5,359.9,4.7,0.0,,,,
3.4,4,Atta_4,474.3,738.8,4.2,22.7,1.0,,,,
3.5,1,Atta_1,301.2,384.7,0.3,7.2,0.0,,,,
3.5,3,Atta_3,328.8,1129.2,359.9,-9.0,0.0,,,,
3.6,1,Atta_1,291.6,378.9,0.5,-11.2,0.2,,,,
3.6,2,Atta_2,265.1,1540.4,359.6,15.7,0.0,,,,
3.6,3,Atta_3,316.8,1124.0,359.0,-13.1,-0.9,,,,
3.6,4,Atta_4,429.8,730.0,2.0,-45.4,-2.2,,,,
3.7,1,Atta_1,282.0,375.5,0.2,-10.2,-0.3,,,,
3.7,2,Atta_2,272.4,1535.7,359.6,8.7,0.0,,,,
3.7,4,Atta_4,472.3,734.1,4.3,42.7,2.3,,,,
3.8,2,Atta_2,278.7,1534.2,358.6,6.5,-1.0,,,,
3.8,4,Atta_4,415.2,730.4,2.4,-57.2,-1.9,,,,
3.9,1,Atta_1,293.6,382.4,359.6,13.5,-0.6,,,,
3.9,2,Atta_2,298.2,1537.2,358.6,19.7,0.0,,,,
3.9,3,Atta_3,322.4,1133.3,358.1,10.9,-0.9,,,,
4.0,4,Atta_4,427.2,735.7,2.2,13.1,-0.2,,,,
4.1,4,Atta_4,443.7,735.7,2.4,16.5,0.2,,,,
4.1,2,Atta_2,288.2,1540.3,358.5,-10.5,-0.1,,,,
4.1,3,Atta_3,316.6,1133.2,357.2,-5.8,-0.9,,,,
4.1,4,Atta_4,452.0,737.8,1.9,8.6,-0.5,,,,
4.2,3,Atta_3,312.8,1134.3,357.7,-4.0,0.5,,,,
4.2,4,Atta_4,465.2,739.5,3.5,13.3,1.6,,,,
4.3,2,Atta_2,294.1,1541.2,358.4,6.0,-0.1,,,,
4.3,3,Atta_3,317.1,1135.5,357.7,4.5,0.0,,,,
4.3,4,Atta_4,471.3,740.8,3.5,6.2,0.0,,,,
4.4,1,Atta_1,308.2,390.0,359.7,16.5,0.1,,,,
4.4,2,Atta_2,302.4,1546.8,358.4,10.0,0.0,,,,
4.4,3,Atta_3,322.5,1141.6,357.7,8.1,0.0,,,,
4.4,4,Atta_4,494.2,747.3,3.5,23.8,0.0,,,,
4.5,1,Atta_1,299.9,384.4,359.7,-10.0,0.0,,,,
4.5,2,Atta_2,297.3,1539.4,358.4,-9.0,0.0,,,,
4.5,3,Atta_3,314.2,1136.0,357.7,-10.0,0.0,,,,
4.5,4,Atta_4,471.5,740.8,4.1,-23.6,0.6,,,,
4.5,2,Atta_2,290.8,1541.3,358.3,-6.8,-0.1,,,,
4.5,4,Atta_4,491.0,741.6,3.5,19.5,-0.6,,,,
4.7,3,Atta_3,318.5,1137.6,358.5,4.6,0.8,,,,
4.7,4,Atta_4,487.4,743.9,3.4,-4.3,-0.1,,,,
4.8,1,Atta_1,291.9,381.4,359.5,-8.5,-0.2,,,,
4.8,2,Atta_2,284.4,1540.7,358.3,-6.4,0.0,,,,
4.8,3,Atta_3,312.4,1133.5,357.8,-7.3,-0.7,,,,
4.8,4,Atta_4,476.0,739.2,2.9,-12.3,-0.5,,,,
4.8,2,Atta_2,281.3,1536.7,358.3,-5.1,0.0,,,,
4.8,3,Atta_3,313.8,1128.9,357.3,4.8,-0.5,,,,
5.0,1,Atta_1,288.4,379.5,359.8,-4.0,0.3,,,,
5.0,2,Atta_2,253.6,1548.9,359.5,-30.3,1.2,,,,
5.0,4,Atta_4,481.6,736.6,3.6,6.2,0.7,,,,
5.1,1,Atta_1,282.7,376.3,359.5,-6.5,-0.3,,,,
5.1,4,Atta_4,476.1,735.3,1.8,-5.7,-1.8,,,,
5.2,2,Atta_2,248.9,1548.7,359.6,-4.7,0.1,,,,
5.2,3,Atta_3,306.1,1127.3,358.8,-7.9,1.5,,,,
5.2,4,Atta_4,455.8,732.8,1.8,-20.5,0.0,,,,
5.2,1,Atta_1,303.7,387.1,0.2,23.6,0.7,,,,
5.2,2,Atta_2,266.2,1558.3,359.6,19.8,0.0,,,,
5.2,3,Atta_3,321.1,1137.4,359.1,18.1,0.3,,,,
5.2,4,Atta_4,473.1,742.4,2.0,19.8,0.2,,,,
5.3,1,Atta_1,293.3,381.1,0.2,-12.0,0.0,,,,
5.3,2,Atta_2,285.1,1536.6,359.6,28.8,0.0,,,,
5.3,3,Atta_3,313.0,1130.9,358.8,-10.4,-0.3,,,,
5.3,4,Atta_4,495.0,741.1,2.5,21.9,0.5,,,,
5.4,1,Atta_1,284.7,377.6,0.4,-9.3,0.2,,,,
5.4,2,Atta_2,289.8,1535.8,358.4,4.8,-1.2,,,,
5.5,1,Atta_1,297.7,384.6,0.3,14.8,-0.1,,,,
5.5,2,Atta_2,294.3,1538.7,358.4,5.4,0.0,,,,
5.5,3,Atta_3,324.1,1132.0,357.1,11.2,-1.7,,,,
5.6,3,Atta_3,319.2,1135.1,357.5,-5.8,0.4,,,,
5.6,4,Atta_4,482.0,741.7,4.1,-13.0,1.6,,,,
5.7,1,Atta_1,282.4,375.9,0.6,-17.6,0.3,,,,
5.7,2,Atta_2,286.9,1533.6,359.3,-9.0,0.9,,,,
5.7,3,Atta_3,319.3,1127.4,357.7,7.7,0.2,,,,
5.7,4,Atta_4,474.6,736.8,4.1,-8.9,0.0,,,,
5.8,1,Atta_1,293.4,380.9,359.9,12.1,-0.7,,,,
5.8,4,Atta_4,484.1,737.3,3.7,9.5,-0.4,,,,
5.9,3,Atta_3,313.0,1128.4,358.9,-6.4,1.2,,,,
5.9,2,Atta_2,278.6,1537.2,359.5,-9.0,0.2,,,,
5.9,4,Atta_4,479.2,736.2,3.6,-5.0,-0.1,,,,
6.0,2,Atta_2,286.6,1534.6,358.5,8.4,-1.0,,,,
6.0,4,Atta_4,452.4,735.7,3.5,-26.8,-0.1,,,,
6.1,2,Atta_2,285.8,1542.0,359.4,-7.4,0.9,,,,
6.1,3,Atta_3,323.7,1132.1,358.0,11.3,-0.9,,,,
6.1,4,Atta_4,457.8,738.7,3.6,6.2,0.1,,,,
6.1,2,Atta_2,288.4,1534.3,358.4,8.1,-1.0,,,,
6.2,1,Atta_1,300.5,384.8,0.0,8.1,0.1,,,,
6.2,2,Atta_2,282.2,1541.8,358.4,-9.7,0.0,,,,
6.2,4,Atta_4,405.6,730.9,3.5,-52.8,-0.1,,,,
6.2,1,Atta_1,290.5,380.7,359.8,-10.8,-0.2,,,,
6.2,2,Atta_2,285.8,1539.9,358.4,4.1,0.0,,,,
6.2,4,Atta_4,465.1,738.7,3.4,60.0,-0.1,,,,
6.3,1,Atta_1,304.1,388.5,359.8,15.7,0.0,,,,
6.3,2,Atta_2,299.4,1547.7,358.4,15.7,0.0,,,,
6.3,3,Atta_3,322.3,1141.6,357.8,-9.6,-0.2,,,,
6.3,4,Atta_4,419.2,738.7,2.9,-45.9,-0.5,,,,
6.4,4,Atta_4,502.3,748.4,3.0,83.7,0.1,,,,
6.5,1,Atta_1,290.4,381.0,359.4,-15.6,-0.4,,,,
6.5,2,Atta_2,292.3,1536.6,359.0,-13.2,0.6,,,,
6.5,3,Atta_3,308.1,1133.2,357.8,-16.5,0.0,,,,
