time,idrobot,robot,x,y,angle,linearDisplacement,angularDisplacement,ekf_x,ekf_y,ekf_angle,ekf_age_ms
0,1,Atta_1,231.4,95.8,92.6,0,0,,,,
0,2,Atta_2,572.5,167.3,85.7,0,0,,,,
0,3,Atta_3,554.5,1577.7,271.1,0,0,,,,
0,4,Atta_4,264.1,1564.3,269.3,0,0,,,,
0.0,2,Atta_2,554.9,157.8,86.8,-20.0,1.1,,,,
0.0,3,Atta_3,560.3,1560.7,270.4,18.0,-0.7,,,,
0.0,4,Atta_4,244.1,1562.4,268.5,20.1,-0.8,,,,
0.1,1,Atta_1,221.9,91.0,92.5,-10.6,-0.1,,,,
0.1,2,Atta_2,542.0,149.6,86.8,-15.3,0.0,,,,
0.1,1,Atta_1,226.6,93.8,92.5,5.5,0.0,,,,
0.2,1,Atta_1,221.9,91.0,92.5,-5.5,0.0,,,,
0.2,1,Atta_1,232.1,97.7,92.5,12.2,0.0,,,,
0.2,2,Atta_2,548.1,153.1,86.8,7.0,0.0,,,,
0.2,3,Atta_3,564.9,1565.1,270.6,-6.4,0.2,,,,
0.2,4,Atta_4,264.8,1558.2,267.8,21.1,-0.7,,,,
0.3,3,Atta_3,561.5,1567.5,270.6,-4.2,0.0,,,,
0.4,4,Atta_4,253.4,1562.2,267.3,-12.1,-0.5,,,,
0.4,1,Atta_1,240.4,104.5,91.6,10.7,-0.9,,,,
0.4,2,Atta_2,539.1,148.8,86.6,-10.0,-0.2,,,,
0.4,3,Atta_3,549.7,1560.7,270.7,13.6,0.1,,,,
0.4,4,Atta_4,242.9,1556.8,267.2,11.8,-0.1,,,,
0.5,2,Atta_2,547.0,153.8,86.6,9.3,0.0,,,,
0.5,3,Atta_3,559.9,1564.7,270.7,-11.0,0.0,,,,
0.5,4,Atta_4,250.8,1561.8,267.2,-9.3,0.0,,,,
0.5,3,Atta_3,561.2,1560.3,270.4,4.6,-0.3,,,,
0.6,2,Atta_2,552.0,155.9,87.0,5.4,0.4,,,,
0.7,1,Atta_1,231.2,97.6,91.8,-11.5,0.2,,,,
0.7,2,Atta_2,562.1,161.3,85.7,11.5,-1.3,,,,
0.7,4,Atta_4,248.2,1557.7,268.2,4.9,1.0,,,,
0.7,3,Atta_3,556.8,1561.2,270.2,-4.5,-0.2,,,,
0.8,1,Atta_1,224.4,92.1,92.4,-8.7,0.6,,,,
0.8,1,Atta_1,218.8,89.6,92.4,-6.1,0.0,,,,
0.8,2,Atta_2,548.2,153.7,87.3,-15.8,1.6,,,,
0.8,3,Atta_3,553.5,1566.3,270.5,-6.1,0.3,,,,
0.9,2,Atta_2,565.7,162.9,85.4,19.8,-1.9,,,,
0.9,4,Atta_4,239.9,1561.0,268.0,-8.9,-0.2,,,,
1.0,3,Atta_3,549.1,1567.4,270.5,-4.5,0.0,,,,
1.1,2,Atta_2,544.9,151.2,86.4,-23.9,1.0,,,,
1.1,3,Atta_3,557.7,1561.4,270.0,10.5,-0.5,,,,
1.1,4,Atta_4,233.4,1568.1,266.9,-9.6,-1.1,,,,
1.1,1,Atta_1,228.4,95.7,92.2,11.4,-0.2,,,,
1.1,2,Atta_2,549.9,153.7,86.4,5.6,0.0,,,,
1.1,3,Atta_3,564.5,1564.8,270.0,-7.6,0.0,,,,
1.1,4,Atta_4,240.2,1571.5,266.9,-7.6,0.0,,,,
1.2,4,Atta_4,248.4,1566.0,267.9,9.9,1.0,,,,
1.3,1,Atta_1,235.5,100.0,91.7,8.3,-0.5,,,,
1.3,3,Atta_3,560.0,1567.4,270.1,-5.2,0.1,,,,
1.3,1,Atta_1,231.8,98.3,92.1,-4.1,0.4,,,,
1.3,3,Atta_3,565.6,1563.2,270.1,7.0,0.0,,,,
1.4,3,Atta_3,559.9,1567.8,270.4,-7.3,0.3,,,,
1.4,4,Atta_4,262.1,1558.0,268.0,15.9,0.1,,,,
1.5,1,Atta_1,237.8,102.0,92.2,7.0,0.1,,,,
1.5,2,Atta_2,559.1,159.6,86.3,10.9,-0.1,,,,
1.5,3,Atta_3,567.5,1569.9,270.4,-7.9,0.0,,,,
1.5,4,Atta_4,530.5,1420.7,282.5,301.5,14.5,,,,
1.5,4,Atta_4,267.8,1561.4,268.2,-298.0,-14.3,,,,
1.6,2,Atta_2,548.4,153.8,87.0,-12.2,0.7,,,,
1.6,3,Atta_3,560.4,1565.5,270.4,8.4,0.0,,,,
1.6,4,Atta_4,515.1,1420.2,281.6,284.8,13.4,,,,
1.7,3,Atta_3,564.8,1565.7,270.5,-4.4,0.1,,,,
1.7,4,Atta_4,527.0,1418.0,282.9,12.1,1.3,,,,
1.9,1,Atta_1,243.7,104.0,91.8,6.2,-0.4,,,,
1.9,3,Atta_3,559.4,1564.5,270.1,5.5,-0.4,,,,
1.9,4,Atta_4,524.1,1415.2,282.7,4.0,-0.2,,,,
2.0,1,Atta_1,235.4,100.0,91.3,-9.2,-0.5,,,,
2.0,2,Atta_2,552.3,156.1,86.9,4.5,-0.1,,,,
2.0,3,Atta_3,563.4,1567.8,270.6,-5.2,0.5,,,,
2.0,4,Atta_4,526.2,1419.0,282.9,-4.3,0.2,,,,
2.1,1,Atta_1,231.8,98.3,91.6,-4.0,0.3,,,,
2.1,2,Atta_2,548.8,153.2,86.8,-4.5,-0.1,,,,
2.1,3,Atta_3,559.3,1570.2,270.7,-4.8,0.1,,,,
2.2,1,Atta_1,228.2,95.2,92.4,-4.8,0.8,,,,
2.2,3,Atta_3,566.0,1566.4,270.3,7.7,-0.4,,,,
2.2,4,Atta_4,531.4,1416.5,282.6,5.8,-0.3,,,,
2.3,1,Atta_1,216.6,88.8,92.4,-13.2,0.0,,,,
2.3,3,Atta_3,561.8,1563.5,270.3,5.1,0.0,,,,
2.3,4,Atta_4,525.4,1415.4,282.6,-6.1,0.0,,,,
2.5,1,Atta_1,246.5,105.5,92.5,34.2,0.1,,,,
2.5,2,Atta_2,569.1,165.4,86.7,23.7,-0.1,,,,
2.5,3,Atta_3,585.3,1574.3,270.2,-25.9,-0.1,,,,
2.5,4,Atta_4,543.3,1429.8,282.4,-23.0,-0.2,,,,
2.5,1,Atta_1,264.8,116.3,92.2,21.2,-0.3,,,,
2.5,4,Atta_4,268.4,1577.2,267.8,-311.9,-14.6,,,,
2.6,1,Atta_1,272.8,122.5,91.7,10.1,-0.5,,,,
2.6,1,Atta_1,260.9,115.5,91.5,-13.8,-0.2,,,,
2.6,2,Atta_2,553.3,155.8,87.0,-18.5,0.3,,,,
2.6,3,Atta_3,566.2,1570.7,270.9,19.4,0.7,,,,
2.6,4,Atta_4,255.8,1568.6,268.3,15.3,0.5,,,,
2.7,1,Atta_1,252.7,110.6,91.2,-9.6,-0.3,,,,
2.7,2,Atta_2,543.3,150.0,87.0,-11.6,0.0,,,,
2.7,3,Atta_3,561.8,1563.2,270.3,8.7,-0.6,,,,
2.7,4,Atta_4,522.0,1416.5,282.8,306.6,14.5,,,,
2.8,1,Atta_1,246.9,107.4,91.2,-6.6,0.0,,,,
2.8,4,Atta_4,251.8,1559.1,268.3,-305.5,-14.5,,,,
2.8,1,Atta_1,228.2,96.3,92.0,-21.7,0.8,,,,
2.9,1,Atta_1,223.6,93.9,92.0,-5.2,0.0,,,,
2.9,2,Atta_2,537.1,146.8,86.8,-7.0,-0.2,,,,
2.9,3,Atta_3,555.5,1558.0,270.3,8.2,0.0,,,,
2.9,4,Atta_4,243.5,1557.3,267.8,8.5,-0.5,,,,
3.0,1,Atta_1,228.2,96.3,92.0,5.2,0.0,,,,
3.0,2,Atta_2,541.7,149.2,87.1,5.2,0.3,,,,
3.0,3,Atta_3,558.8,1560.5,270.8,-4.1,0.5,,,,
3.0,4,Atta_4,245.4,1561.0,267.6,-4.2,-0.2,,,,
3.1,1,Atta_1,217.2,88.9,92.3,-13.3,0.3,,,,
3.1,1,Atta_1,224.6,92.9,92.3,8.4,0.0,,,,
