time,idrobot,robot,x,y,angle,linearDisplacement,angularDisplacement,ekf_x,ekf_y,ekf_angle,ekf_age_ms
0,1,Atta_1,529.2,1585.2,265.4,0,0,,,,
0,2,Atta_2,133.2,368.1,357.4,0,0,,,,
0,3,Atta_3,844.5,122.0,86.8,0,0,,,,
0,4,Atta_4,154.4,1261.3,6.6,0,0,,,,
0.0,1,Atta_1,513.0,1576.1,265.4,18.6,0.0,,,,
0.0,2,Atta_2,123.7,361.7,357.4,-11.5,0.0,,,,
0.0,3,Atta_3,926.1,206.9,80.0,117.8,-6.8,,,,
0.0,4,Atta_4,138.9,1251.9,6.5,-18.1,-0.1,,,,
0.1,1,Atta_1,505.1,1569.9,265.3,10.0,-0.1,,,,
0.1,2,Atta_2,107.9,353.3,357.4,-17.9,0.0,,,,
0.1,3,Atta_3,917.0,201.2,80.0,-10.7,0.0,,,,
0.1,4,Atta_4,134.2,1244.8,6.5,-8.5,0.0,,,,
0.1,2,Atta_2,113.8,355.0,357.4,6.1,0.0,,,,
0.2,2,Atta_2,146.9,367.0,357.4,35.2,0.0,,,,
0.2,3,Atta_3,925.5,209.4,80.0,11.8,0.0,,,,
0.3,1,Atta_1,524.1,1567.3,264.5,19.2,-0.8,,,,
0.3,2,Atta_2,155.6,372.5,358.1,10.3,0.7,,,,
0.3,3,Atta_3,935.2,215.6,80.7,11.5,0.7,,,,
0.3,4,Atta_4,142.0,1251.0,6.7,10.0,0.2,,,,
0.5,3,Atta_3,932.1,211.6,80.1,-5.1,-0.6,,,,
0.6,1,Atta_1,518.2,1571.4,264.4,-7.2,-0.1,,,,
0.6,2,Atta_2,161.5,374.2,357.8,6.1,-0.3,,,,
0.6,1,Atta_1,532.0,1581.3,264.3,-17.0,-0.1,,,,
0.6,2,Atta_2,170.2,381.3,357.8,11.2,0.0,,,,
0.6,3,Atta_3,946.1,219.0,81.4,15.8,1.3,,,,
0.6,4,Atta_4,154.7,1260.5,6.7,15.9,0.0,,,,
0.7,1,Atta_1,516.8,1572.7,264.3,17.5,0.0,,,,
0.7,2,Atta_2,154.8,371.3,357.8,-18.4,0.0,,,,
0.7,3,Atta_3,930.5,210.4,81.1,-17.8,-0.3,,,,
0.7,4,Atta_4,140.0,1251.6,6.7,-17.2,0.0,,,,
0.7,1,Atta_1,524.0,1573.3,264.6,-7.2,0.3,,,,
0.7,2,Atta_2,159.9,373.9,357.7,5.7,-0.1,,,,
0.7,3,Atta_3,935.6,213.0,81.1,5.7,0.0,,,,
0.7,4,Atta_4,142.5,1255.1,6.7,4.3,0.0,,,,
0.8,2,Atta_2,174.2,379.5,358.5,15.4,0.8,,,,
1.0,1,Atta_1,529.5,1570.8,264.6,6.0,0.0,,,,
1.0,2,Atta_2,170.2,377.4,358.4,-4.5,-0.1,,,,
1.0,3,Atta_3,928.8,207.5,80.0,-8.7,-1.1,,,,
1.0,1,Atta_1,518.5,1566.2,264.7,11.9,0.1,,,,
1.0,2,Atta_2,160.7,372.0,358.4,-10.9,0.0,,,,
1.0,3,Atta_3,922.1,204.4,80.2,-7.4,0.2,,,,
1.0,4,Atta_4,129.9,1251.1,6.5,-13.2,-0.2,,,,
1.1,2,Atta_2,154.8,370.7,357.6,-6.0,-0.8,,,,
1.1,1,Atta_1,531.5,1573.3,264.7,-14.8,0.0,,,,
1.1,2,Atta_2,176.0,379.6,358.1,23.0,0.5,,,,
1.1,3,Atta_3,935.1,211.5,80.2,14.8,0.0,,,,
1.1,4,Atta_4,142.9,1258.4,6.4,14.9,-0.1,,,,
1.2,2,Atta_2,135.7,366.5,356.9,-42.4,-1.2,,,,
1.3,1,Atta_1,523.5,1572.1,264.7,8.1,0.0,,,,
1.3,2,Atta_2,164.8,375.4,358.1,30.4,1.2,,,,
1.3,3,Atta_3,927.6,207.5,80.1,-8.5,-0.1,,,,
1.3,4,Atta_4,134.0,1255.6,6.7,-9.3,0.3,,,,
1.3,1,Atta_1,515.1,1568.3,264.7,9.2,0.0,,,,
1.3,2,Atta_2,157.7,371.6,357.8,-8.1,-0.3,,,,
1.3,3,Atta_3,922.9,205.1,81.0,-5.3,0.9,,,,
1.3,4,Atta_4,138.8,1248.9,6.7,8.2,0.0,,,,
1.4,1,Atta_1,520.3,1573.7,264.7,-7.5,0.0,,,,
1.4,2,Atta_2,165.5,376.5,357.8,9.2,0.0,,,,
1.4,3,Atta_3,930.4,209.3,81.0,8.6,0.0,,,,
1.4,4,Atta_4,133.8,1256.2,6.7,-8.8,0.0,,,,
1.4,3,Atta_3,926.8,207.1,80.8,-4.2,-0.2,,,,
1.4,4,Atta_4,147.0,1249.6,6.7,14.8,0.0,,,,
1.5,4,Atta_4,139.4,1253.9,6.7,-8.7,0.0,,,,
1.5,2,Atta_2,183.6,382.3,358.5,19.0,0.7,,,,
1.7,1,Atta_1,533.1,1579.9,264.8,-14.2,0.1,,,,
1.7,2,Atta_2,190.1,387.2,358.5,8.1,0.0,,,,
1.7,3,Atta_3,942.0,215.6,81.2,17.4,0.4,,,,
1.7,4,Atta_4,157.3,1259.3,6.7,18.7,0.0,,,,
1.7,1,Atta_1,521.0,1573.5,264.8,13.7,0.0,,,,
1.7,2,Atta_2,175.3,380.5,358.2,-16.2,-0.3,,,,
1.7,3,Atta_3,934.6,213.7,81.2,-7.6,0.0,,,,
1.7,4,Atta_4,145.2,1252.8,6.9,-13.7,0.2,,,,
1.8,3,Atta_3,927.8,207.8,81.8,-9.0,0.6,,,,
1.8,4,Atta_4,132.0,1254.8,6.7,-13.4,-0.2,,,,
1.9,2,Atta_2,183.6,381.0,358.5,8.3,0.3,,,,
1.9,3,Atta_3,809.4,91.4,86.2,-166.0,4.4,,,,
2.0,1,Atta_1,527.0,1574.4,264.6,-6.1,-0.2,,,,
2.0,2,Atta_2,191.3,385.3,358.5,8.8,0.0,,,,
2.0,3,Atta_3,936.0,212.3,80.2,175.1,-6.0,,,,
2.0,4,Atta_4,142.3,1256.8,7.2,10.5,0.5,,,,
2.1,2,Atta_2,185.9,384.4,358.5,-5.5,0.0,,,,
2.2,1,Atta_1,539.5,1580.8,264.6,-14.0,0.0,,,,
2.2,2,Atta_2,194.4,389.4,358.0,9.9,-0.5,,,,
2.2,3,Atta_3,945.0,217.2,80.6,10.2,0.4,,,,
2.2,4,Atta_4,153.2,1263.9,6.9,13.0,-0.3,,,,
2.3,1,Atta_1,529.0,1574.3,264.8,12.3,0.2,,,,
2.3,2,Atta_2,183.3,383.2,358.4,-12.7,0.4,,,,
2.3,3,Atta_3,933.9,211.0,80.7,-12.7,0.1,,,,
2.3,4,Atta_4,144.5,1257.2,6.6,-11.0,-0.3,,,,
2.3,1,Atta_1,522.7,1570.6,264.8,7.3,0.0,,,,
2.3,2,Atta_2,177.0,379.5,358.1,-7.3,-0.3,,,,
2.3,3,Atta_3,927.9,207.8,80.7,-6.8,0.0,,,,
2.3,4,Atta_4,138.2,1253.5,6.7,-7.3,0.1,,,,
2.4,1,Atta_1,513.0,1578.7,265.3,-12.6,0.5,,,,
2.4,2,Atta_2,170.0,377.0,357.8,-7.4,-0.3,,,,
2.5,1,Atta_1,521.1,1571.4,264.7,10.9,-0.6,,,,
2.5,2,Atta_2,165.1,375.3,357.7,-5.2,-0.1,,,,
2.6,1,Atta_1,512.8,1572.0,264.4,8.3,-0.3,,,,
2.6,2,Atta_2,151.1,368.9,357.8,-15.4,0.1,,,,
2.6,3,Atta_3,923.0,204.6,80.0,-5.9,-0.7,,,,
2.6,1,Atta_1,519.1,1568.5,264.4,7.2,0.0,,,,
2.7,1,Atta_1,514.5,1573.1,264.6,-6.5,0.2,,,,
2.7,2,Atta_2,159.3,372.4,358.1,8.9,0.3,,,,
2.7,3,Atta_3,930.5,210.7,81.3,9.7,1.3,,,,
2.7,1,Atta_1,525.3,1568.8,264.6,11.6,0.0,,,,
2.7,2,Atta_2,180.2,380.9,358.2,22.6,0.1,,,,
2.9,1,Atta_1,506.8,1579.7,265.3,-21.5,0.7,,,,
2.9,2,Atta_2,186.0,382.2,358.2,5.9,0.0,,,,
2.9,1,Atta_1,517.5,1579.5,265.3,-10.7,0.0,,,,
2.9,2,Atta_2,192.7,385.9,358.2,7.7,0.0,,,,
2.9,4,Atta_4,145.7,1254.9,7.1,7.6,0.4,,,,
3.0,2,Atta_2,181.4,381.7,357.8,-12.1,-0.4,,,,
3.0,4,Atta_4,153.6,1251.8,6.6,8.5,-0.5,,,,
3.0,1,Atta_1,522.5,1577.1,264.4,5.5,-0.9,,,,
3.0,2,Atta_2,165.6,376.7,357.8,-16.6,0.0,,,,
3.1,2,Atta_2,172.8,378.5,357.8,7.4,0.0,,,,
3.1,3,Atta_3,927.5,206.5,79.9,-5.2,-1.4,,,,
3.1,4,Atta_4,140.0,1255.4,6.5,-14.1,-0.1,,,,
3.2,2,Atta_2,162.5,375.3,357.3,-10.8,-0.5,,,,
3.2,4,Atta_4,131.9,1257.0,6.5,-8.3,0.0,,,,
3.2,1,Atta_1,524.6,1571.4,264.7,6.1,0.3,,,,
3.2,2,Atta_2,171.8,378.0,357.8,9.7,0.5,,,,
3.3,1,Atta_1,511.6,1579.2,265.4,-15.2,0.7,,,,
3.3,2,Atta_2,166.8,375.9,357.8,-5.4,0.0,,,,
3.3,1,Atta_1,526.6,1580.7,264.3,-15.1,-1.1,,,,
3.3,2,Atta_2,176.4,381.6,357.9,11.2,0.1,,,,
3.3,3,Atta_3,939.8,215.2,80.5,15.1,0.6,,,,
3.3,4,Atta_4,147.2,1259.9,6.4,15.6,-0.1,,,,
3.4,1,Atta_1,517.0,1575.0,264.3,11.2,0.0,,,,
3.4,2,Atta_2,162.4,374.2,357.9,-15.8,0.0,,,,
3.4,3,Atta_3,930.2,209.5,80.5,-11.2,0.0,,,,
3.4,4,Atta_4,138.6,1253.7,6.4,-10.6,0.0,,,,
3.5,1,Atta_1,511.0,1572.0,264.3,6.7,0.0,,,,
3.5,2,Atta_2,156.4,371.2,357.7,-6.7,-0.2,,,,
3.5,3,Atta_3,921.9,204.3,80.5,-9.8,0.0,,,,
3.5,4,Atta_4,131.6,1251.2,6.3,-7.4,-0.1,,,,
3.5,1,Atta_1,506.6,1575.2,265.2,-5.4,0.9,,,,
3.5,2,Atta_2,164.7,373.7,357.7,8.7,0.0,,,,
3.7,1,Atta_1,511.7,1577.8,265.2,-5.7,0.0,,,,
3.7,2,Atta_2,169.8,376.3,357.7,5.7,0.0,,,,
3.7,4,Atta_4,133.7,1254.6,6.2,4.0,-0.1,,,,
3.7,1,Atta_1,517.8,1574.4,264.7,7.0,-0.5,,,,
3.7,2,Atta_2,163.0,374.2,358.1,-7.1,0.4,,,,
3.7,3,Atta_3,928.5,208.0,80.2,7.6,-0.3,,,,
3.8,3,Atta_3,925.1,205.2,80.2,-4.4,0.0,,,,
