time,idrobot,robot,x,y,angle,linearDisplacement,angularDisplacement,ekf_x,ekf_y,ekf_angle,ekf_age_ms
0,1,Atta_1,123.8,283.3,359.3,0,0,,,,
0,2,Atta_2,129.8,1294.1,0.2,0,0,,,,
0,3,Atta_3,251.3,628.4,359.8,0,0,,,,
0,4,Atta_4,314.7,947.7,1.1,0,0,,,,
0.026,1,Atta_1,127.7,286.1,359.1,4.8,-0.2,,,,
0.026,2,Atta_2,134.8,1296.9,0.1,5.7,-0.1,,,,
0.026,3,Atta_3,254.4,631.2,0.0,4.2,0.2,,,,
0.09,1,Atta_1,122.8,284.4,359.0,-5.2,-0.1,,,,
0.143,1,Atta_1,115.7,281.6,359.0,-7.6,0.0,,,,
0.143,3,Atta_3,235.8,627.6,359.5,-18.9,-0.5,,,,
0.31,3,Atta_3,252.4,630.9,359.6,16.9,0.1,,,,
0.378,1,Atta_1,122.2,285.0,358.9,7.3,-0.1,,,,
0.378,2,Atta_2,144.1,1298.6,0.3,9.5,0.2,,,,
0.378,3,Atta_3,258.3,633.9,359.6,6.6,0.0,,,,
0.458,1,Atta_1,115.9,280.9,358.6,-7.5,-0.3,,,,
0.458,2,Atta_2,133.8,1295.3,0.3,-10.8,0.0,,,,
0.518,3,Atta_3,251.0,629.6,359.5,-8.5,-0.1,,,,
0.723,1,Atta_1,124.1,284.4,358.8,8.9,0.2,,,,
0.819,1,Atta_1,119.5,281.7,359.1,-5.3,0.3,,,,
0.819,2,Atta_2,128.1,1292.3,0.5,-6.4,0.2,,,,
0.914,1,Atta_1,112.7,278.9,359.1,-7.4,0.0,,,,
0.914,3,Atta_3,244.8,626.2,359.6,-7.1,0.1,,,,
1.011,1,Atta_1,107.9,276.9,359.1,-5.2,0.0,,,,
1.011,4,Atta_4,324.8,946.4,3.0,10.2,1.9,,,,
1.103,2,Atta_2,134.3,1293.9,0.4,6.4,-0.1,,,,
1.103,3,Atta_3,248.9,628.8,359.6,4.9,0.0,,,,
1.198,2,Atta_2,139.5,1293.3,0.4,5.2,0.0,,,,
1.198,3,Atta_3,253.9,630.1,359.8,5.2,0.2,,,,
1.379,1,Atta_1,115.8,281.3,358.9,9.0,-0.2,,,,
1.46,2,Atta_2,133.6,1293.7,0.5,-5.9,0.1,,,,
1.544,2,Atta_2,128.6,1296.8,0.6,-5.9,0.1,,,,
1.614,1,Atta_1,111.9,279.5,359.0,-4.3,0.1,,,,
1.614,3,Atta_3,204.3,620.9,358.6,-50.4,-1.2,,,,
1.694,2,Atta_2,132.5,1295.5,0.3,4.1,-0.3,,,,
1.694,3,Atta_3,251.4,629.4,359.7,47.9,1.1,,,,
1.764,2,Atta_2,139.4,1293.1,0.3,7.3,0.0,,,,
1.922,2,Atta_2,131.0,1296.3,0.3,-9.0,0.0,,,,
1.922,3,Atta_3,228.4,625.7,359.1,-23.3,-0.6,,,,
1.972,1,Atta_1,119.6,281.8,359.0,8.0,0.0,,,,
1.972,2,Atta_2,125.8,1294.5,0.7,-5.5,0.4,,,,
2.027,1,Atta_1,108.1,278.4,359.0,-12.0,0.0,,,,
2.027,3,Atta_3,222.5,623.9,358.6,-6.2,-0.5,,,,
2.084,1,Atta_1,113.3,279.2,359.0,5.3,0.0,,,,
2.145,1,Atta_1,108.0,278.2,359.0,-5.4,0.0,,,,
2.145,3,Atta_3,226.4,625.0,359.1,4.1,0.5,,,,
2.203,1,Atta_1,114.9,280.3,358.9,7.2,-0.1,,,,
2.203,3,Atta_3,236.9,627.0,359.5,10.7,0.4,,,,
2.267,1,Atta_1,118.8,282.1,358.8,4.3,-0.1,,,,
2.336,1,Atta_1,128.6,288.0,358.8,11.4,0.0,,,,
2.336,2,Atta_2,141.0,1301.4,0.9,16.7,0.2,,,,
2.336,3,Atta_3,246.9,632.9,359.5,11.6,0.0,,,,
2.434,1,Atta_1,118.2,283.8,358.4,-11.2,-0.4,,,,
