time,idrobot,robot,x,y,angle,linearDisplacement,angularDisplacement,ekf_x,ekf_y,ekf_angle,ekf_age_ms
0,1,Atta_1,196.4,70.2,89.9,0,0,,,,
0,2,Atta_2,488.0,1493.4,265.7,0,0,,,,
0,3,Atta_3,566.0,154.9,90.2,0,0,,,,
0,4,Atta_4,220.2,1478.0,266.7,0,0,,,,
-0.205,1,Atta_1,208.0,76.3,89.3,13.1,-0.6,,,,
-0.205,2,Atta_2,507.2,1493.1,267.3,-19.2,1.6,,,,
-0.205,3,Atta_3,654.2,214.5,88.2,106.4,-2.0,,,,
-0.205,4,Atta_4,211.0,1493.2,265.0,-17.8,-1.7,,,,
0.024,2,Atta_2,483.1,1502.9,266.7,-26.0,-0.6,,,,
0.024,3,Atta_3,583.9,166.2,90.2,-85.3,2.0,,,,
0.083,2,Atta_2,504.2,1491.4,267.3,24.0,0.6,,,,
0.215,1,Atta_1,200.1,71.7,89.1,-9.1,-0.2,,,,
0.215,2,Atta_2,497.8,1491.4,267.5,6.4,0.2,,,,
0.215,4,Atta_4,207.7,1488.8,264.6,5.5,-0.4,,,,
0.283,1,Atta_1,206.6,73.6,89.1,6.8,0.0,,,,
0.283,2,Atta_2,489.0,1500.1,266.2,-12.4,-1.3,,,,
0.351,1,Atta_1,200.0,71.6,89.6,-6.9,0.5,,,,
0.351,2,Atta_2,480.1,1502.7,265.9,-9.3,-0.3,,,,
0.351,3,Atta_3,656.8,216.6,87.3,88.6,-2.9,,,,
0.351,4,Atta_4,217.5,1483.7,266.2,11.0,1.6,,,,
0.415,1,Atta_1,209.7,77.6,89.6,11.4,0.0,,,,
0.415,2,Atta_2,489.8,1508.7,265.9,-11.4,0.0,,,,
0.415,3,Atta_3,666.5,222.6,88.9,11.4,1.6,,,,
0.415,4,Atta_4,227.2,1489.7,266.2,-11.4,0.0,,,,
0.483,1,Atta_1,205.4,75.1,89.2,-5.0,-0.4,,,,
0.483,2,Atta_2,493.0,1501.9,266.6,7.5,0.7,,,,
0.483,3,Atta_3,662.2,220.1,87.7,-5.0,-1.2,,,,
