time,idrobot,robot,x,y,angle,linearDisplacement,angularDisplacement,ekf_x,ekf_y,ekf_angle,ekf_age_ms
0,1,Atta_1,270.2,1477.1,271.0,0,0,,,,
0,2,Atta_2,619.9,1478.5,268.1,0,0,,,,
0,3,Atta_3,248.1,138.5,87.1,0,0,,,,
0,4,Atta_4,631.4,170.4,85.6,0,0,,,,
-0.197,2,Atta_2,605.5,1485.2,269.4,-15.9,1.3,,,,
-0.197,3,Atta_3,240.1,133.7,86.8,-9.3,-0.3,,,,
0.03,1,Atta_1,266.1,1477.5,271.1,-4.1,0.1,,,,
0.03,2,Atta_2,615.9,1479.1,268.7,12.1,-0.7,,,,
0.03,3,Atta_3,197.6,111.7,89.1,-47.9,2.3,,,,
0.093,1,Atta_1,269.5,1475.3,270.9,4.0,-0.2,,,,
0.093,3,Atta_3,240.1,133.7,87.0,47.9,-2.1,,,,
0.146,3,Atta_3,199.0,112.6,89.0,-46.2,2.0,,,,
0.203,2,Atta_2,620.6,1477.8,268.4,4.9,-0.3,,,,
0.203,3,Atta_3,240.6,134.2,87.0,46.9,-2.0,,,,
0.321,1,Atta_1,273.3,1476.7,270.9,-4.0,0.0,,,,
0.441,3,Atta_3,206.7,116.5,88.3,-38.2,1.3,,,,
0.557,1,Atta_1,269.0,1475.4,270.9,4.5,0.0,,,,
0.557,3,Atta_3,239.2,133.3,87.3,36.6,-1.0,,,,
0.785,2,Atta_2,614.0,1482.0,268.7,-7.8,0.3,,,,
0.785,3,Atta_3,199.3,112.5,88.7,-45.0,1.4,,,,
0.84,3,Atta_3,237.3,132.7,87.2,43.0,-1.5,,,,
0.896,2,Atta_2,618.7,1476.2,268.4,7.5,-0.3,,,,
0.896,3,Atta_3,233.5,130.8,87.2,-4.2,0.0,,,,
0.956,1,Atta_1,275.3,1477.3,270.9,-6.6,0.0,,,,
0.956,2,Atta_2,627.2,1476.6,268.8,-8.5,0.4,,,,
0.956,3,Atta_3,242.1,135.6,87.2,9.8,0.0,,,,
1.014,3,Atta_3,238.3,133.7,87.2,-4.2,0.0,,,,
1.11,2,Atta_2,610.5,1483.6,269.1,-18.1,0.3,,,,
1.169,1,Atta_1,270.9,1474.7,270.9,5.1,0.0,,,,
1.169,3,Atta_3,233.9,130.9,87.1,-5.2,-0.1,,,,
1.219,2,Atta_2,621.1,1473.8,268.8,14.4,-0.3,,,,
1.35,1,Atta_1,267.2,1477.2,271.1,-4.5,0.2,,,,
1.413,1,Atta_1,273.8,1476.2,270.9,6.7,-0.2,,,,
1.47,3,Atta_3,238.7,134.0,87.0,5.7,-0.1,,,,
1.53,2,Atta_2,619.8,1480.1,268.4,-6.4,-0.4,,,,
1.65,3,Atta_3,234.6,131.5,86.9,-4.8,-0.1,,,,
1.903,2,Atta_2,609.8,1484.6,268.9,-11.0,0.5,,,,
1.903,3,Atta_3,238.2,133.4,86.9,4.1,0.0,,,,
1.972,1,Atta_1,269.5,1475.5,270.9,4.4,0.0,,,,
2.029,2,Atta_2,614.6,1479.3,268.6,7.2,-0.3,,,,
2.029,3,Atta_3,233.1,130.2,86.7,-6.0,-0.2,,,,
2.148,3,Atta_3,236.9,132.4,87.3,4.4,0.6,,,,
2.207,2,Atta_2,606.4,1484.2,269.2,-9.6,0.6,,,,
2.269,2,Atta_2,614.2,1479.3,268.7,9.2,-0.5,,,,
2.327,2,Atta_2,606.1,1484.0,269.2,-9.4,0.5,,,,
2.327,4,Atta_4,626.8,167.1,85.6,-5.7,0.0,,,,
2.387,2,Atta_2,612.6,1479.5,269.8,7.9,0.6,,,,
2.454,1,Atta_1,275.2,1476.6,270.8,-5.8,-0.1,,,,
2.454,2,Atta_2,609.9,1487.1,269.8,-8.1,0.0,,,,
2.454,3,Atta_3,240.2,134.7,86.9,4.0,-0.4,,,,
2.454,4,Atta_4,632.8,171.2,85.6,7.3,0.0,,,,
2.525,2,Atta_2,617.6,1482.3,269.6,9.1,-0.2,,,,
2.525,3,Atta_3,208.9,117.1,88.6,-35.9,1.7,,,,
2.582,2,Atta_2,613.7,1485.2,269.4,-4.9,-0.2,,,,
2.582,3,Atta_3,203.8,115.0,88.8,-5.5,0.2,,,,
2.642,3,Atta_3,208.2,116.9,88.6,4.8,-0.2,,,,
2.704,2,Atta_2,613.3,1481.2,269.1,4.0,-0.3,,,,
2.704,3,Atta_3,233.3,131.0,86.7,28.8,-1.9,,,,
2.766,2,Atta_2,619.5,1477.0,269.0,7.5,-0.1,,,,
2.766,3,Atta_3,238.8,133.8,86.7,6.2,0.0,,,,
2.883,2,Atta_2,617.8,1481.5,268.7,-4.8,-0.3,,,,
2.996,1,Atta_1,268.4,1475.1,270.9,7.0,0.1,,,,
2.996,2,Atta_2,615.2,1478.2,268.5,4.2,-0.2,,,,
2.996,3,Atta_3,233.2,130.4,86.6,-6.6,-0.1,,,,
2.996,4,Atta_4,628.6,168.5,85.6,-5.0,0.0,,,,
3.166,4,Atta_4,632.0,171.0,85.6,4.2,0.0,,,,
3.476,3,Atta_3,236.7,132.6,87.1,4.1,0.5,,,,
3.629,1,Atta_1,273.6,1474.6,270.9,5.2,0.0,,,,
3.781,2,Atta_2,619.6,1477.9,268.5,4.4,0.0,,,,
4.073,3,Atta_3,203.8,114.6,88.5,-37.5,1.4,,,,
4.358,3,Atta_3,234.9,132.4,87.7,35.8,-0.8,,,,
4.358,4,Atta_4,628.8,168.6,85.6,-4.0,0.0,,,,
4.435,3,Atta_3,239.4,133.5,87.0,4.6,-0.7,,,,
4.655,3,Atta_3,200.9,113.7,88.5,-43.3,1.5,,,,
4.768,2,Atta_2,615.2,1479.8,269.2,-4.8,0.7,,,,
4.829,3,Atta_3,237.0,132.7,87.0,40.8,-1.5,,,,
4.886,2,Atta_2,621.3,1479.3,269.2,6.1,0.0,,,,
4.886,4,Atta_4,633.1,170.9,85.7,4.9,0.1,,,,
4.952,2,Atta_2,626.6,1476.7,269.1,5.9,-0.1,,,,
4.952,3,Atta_3,243.2,136.2,86.8,7.1,-0.2,,,,
5.124,3,Atta_3,214.5,121.8,88.5,-32.1,1.7,,,,
5.192,2,Atta_2,618.5,1479.8,269.2,-8.7,0.1,,,,
5.322,3,Atta_3,198.8,111.9,89.1,-18.6,0.6,,,,
5.322,4,Atta_4,627.9,168.0,85.6,-6.0,-0.1,,,,
5.398,2,Atta_2,612.6,1480.1,269.7,-5.9,0.5,,,,
5.463,1,Atta_1,269.0,1472.3,270.8,5.1,-0.1,,,,
5.53,1,Atta_1,276.3,1476.5,270.8,-8.4,0.0,,,,
5.53,2,Atta_2,618.7,1481.3,269.9,-6.2,0.2,,,,
5.53,3,Atta_3,205.4,115.5,88.1,7.5,-1.0,,,,
5.53,4,Atta_4,632.7,170.8,85.6,5.6,0.0,,,,
5.598,3,Atta_3,239.7,134.1,87.1,39.0,-1.0,,,,
5.662,3,Atta_3,245.6,137.6,87.2,6.9,0.1,,,,
6.051,3,Atta_3,238.6,133.9,86.9,-7.9,-0.3,,,,
6.169,1,Atta_1,279.5,1479.6,270.8,-4.5,0.0,,,,
6.169,2,Atta_2,621.2,1485.2,269.4,-4.6,-0.5,,,,
6.169,3,Atta_3,246.6,137.6,86.9,8.8,0.0,,,,
6.234,1,Atta_1,285.2,1472.2,271.8,9.3,1.0,,,,
6.234,2,Atta_2,617.2,1484.0,269.4,4.2,0.0,,,,
6.356,1,Atta_1,276.2,1477.2,270.7,-10.3,-1.1,,,,
6.356,3,Atta_3,241.3,135.1,87.1,-5.9,0.2,,,,
6.414,2,Atta_2,621.6,1479.7,268.7,6.2,-0.7,,,,
6.414,4,Atta_4,629.3,168.5,85.6,-4.1,0.0,,,,
6.465,1,Atta_1,285.1,1471.7,271.9,10.5,1.2,,,,
6.521,4,Atta_4,641.7,177.1,84.9,15.1,-0.7,,,,
6.573,2,Atta_2,607.4,1488.9,267.9,-16.9,-0.8,,,,
6.573,3,Atta_3,246.1,137.6,87.1,5.4,0.0,,,,
6.63,2,Atta_2,619.4,1479.6,269.2,15.2,1.3,,,,
6.688,3,Atta_3,197.8,111.4,88.3,-54.9,1.2,,,,
6.688,4,Atta_4,627.7,167.6,85.6,-16.9,0.7,,,,
6.744,1,Atta_1,293.2,1473.0,271.9,-8.2,0.0,,,,
6.744,2,Atta_2,626.8,1483.8,269.3,-8.5,0.1,,,,
6.744,3,Atta_3,205.2,115.6,88.3,8.5,0.0,,,,
