time,idrobot,robot,x,y,angle,linearDisplacement,angularDisplacement,ekf_x,ekf_y,ekf_angle,ekf_age_ms
0,1,Atta_1,527.3,1493.7,266.7,0,0,,,,
0,2,Atta_2,144.6,321.4,358.6,0,0,,,,
0,3,Atta_3,532.1,77.4,87.9,0,0,,,,
0,4,Atta_4,168.6,1191.7,1.3,0,0,,,,
-0.232,1,Atta_1,555.7,1502.2,266.9,-29.6,0.2,,,,
-0.232,2,Atta_2,157.9,329.8,358.6,15.7,0.0,,,,
-0.232,3,Atta_3,554.1,89.6,87.9,25.2,0.0,,,,
0.023,1,Atta_1,561.7,1511.8,267.0,-11.3,0.1,,,,
0.023,2,Atta_2,169.8,337.1,358.6,14.0,0.0,,,,
0.023,3,Atta_3,564.5,95.7,87.9,12.1,0.0,,,,
0.023,4,Atta_4,205.2,1210.7,1.0,41.2,-0.3,,,,
0.086,3,Atta_3,558.3,91.4,87.2,-7.5,-0.7,,,,
0.143,3,Atta_3,546.3,85.5,89.0,-13.4,1.8,,,,
0.199,1,Atta_1,538.6,1495.1,267.1,28.5,0.1,,,,
0.199,2,Atta_2,148.0,323.4,358.2,-25.7,-0.4,,,,
0.199,3,Atta_3,532.9,76.3,87.4,-16.3,-1.6,,,,
0.199,4,Atta_4,179.8,1195.6,1.0,-29.5,0.0,,,,
0.259,3,Atta_3,523.4,71.7,89.0,-10.6,1.6,,,,
0.317,3,Atta_3,538.3,79.8,87.8,17.0,-1.2,,,,
0.426,1,Atta_1,552.2,1504.8,267.2,-16.7,0.1,,,,
0.426,2,Atta_2,166.4,333.3,358.4,20.9,0.2,,,,
0.426,3,Atta_3,553.3,88.7,87.8,17.4,0.0,,,,
0.426,4,Atta_4,195.6,1203.6,0.8,17.7,-0.2,,,,
0.545,2,Atta_2,180.8,341.7,358.3,16.7,-0.1,,,,
0.545,3,Atta_3,548.5,85.9,89.1,-5.6,1.3,,,,
0.545,4,Atta_4,210.0,1211.8,1.5,16.6,0.7,,,,
0.61,1,Atta_1,569.6,1512.2,267.1,-18.9,-0.1,,,,
0.61,2,Atta_2,186.5,344.0,358.3,6.1,0.0,,,,
0.668,1,Atta_1,560.8,1507.5,267.1,10.0,0.0,,,,
0.668,2,Atta_2,177.7,339.3,358.3,-10.0,0.0,,,,
0.668,3,Atta_3,562.3,94.8,88.4,16.4,-0.7,,,,
0.668,4,Atta_4,201.7,1207.1,1.4,-9.5,-0.1,,,,
0.734,1,Atta_1,536.8,1492.0,267.1,28.6,0.0,,,,
0.734,2,Atta_2,146.9,321.7,358.9,-35.5,0.6,,,,
0.734,3,Atta_3,538.2,80.8,88.1,-27.9,-0.3,,,,
0.734,4,Atta_4,175.4,1193.6,1.3,-29.6,-0.1,,,,
0.787,1,Atta_1,531.5,1495.8,267.1,-6.5,0.0,,,,
0.843,1,Atta_1,543.9,1493.3,267.3,12.6,0.2,,,,
0.843,4,Atta_4,197.0,1190.0,0.3,21.9,-1.0,,,,
0.894,1,Atta_1,568.3,1508.9,267.0,-29.0,-0.3,,,,
0.894,2,Atta_2,169.0,337.0,358.8,26.9,-0.1,,,,
0.894,3,Atta_3,564.9,95.4,87.9,30.4,-0.2,,,,
0.999,1,Atta_1,559.9,1503.9,267.0,9.8,0.0,,,,
0.999,2,Atta_2,177.6,337.1,358.8,8.6,0.0,,,,
0.999,3,Atta_3,555.3,89.7,87.9,-11.2,0.0,,,,
0.999,4,Atta_4,214.3,1200.7,0.3,20.3,0.0,,,,
1.055,4,Atta_4,199.0,1205.9,1.4,-16.2,1.1,,,,
1.108,1,Atta_1,568.1,1509.3,267.1,-9.8,0.1,,,,
1.108,2,Atta_2,188.2,344.4,358.4,12.9,-0.4,,,,
1.108,3,Atta_3,563.7,94.1,87.6,9.5,-0.3,,,,
1.108,4,Atta_4,207.9,1210.5,1.4,10.0,0.0,,,,
1.162,2,Atta_2,179.6,340.4,358.4,-9.5,0.0,,,,
1.162,3,Atta_3,567.8,97.0,87.8,5.0,0.2,,,,
1.214,1,Atta_1,548.9,1500.7,266.8,21.0,-0.3,,,,
1.214,2,Atta_2,160.3,329.4,358.4,-22.2,0.0,,,,
1.214,3,Atta_3,549.1,87.0,87.6,-21.2,-0.2,,,,
1.275,1,Atta_1,534.8,1494.5,267.0,15.4,0.2,,,,
1.275,2,Atta_2,146.1,322.0,358.4,-16.0,0.0,,,,
1.275,3,Atta_3,537.7,79.9,87.8,-13.4,0.2,,,,
1.328,4,Atta_4,186.1,1190.2,0.7,-29.8,-0.7,,,,
1.38,3,Atta_3,541.0,82.4,87.8,4.1,0.0,,,,
1.38,4,Atta_4,196.3,1188.6,0.1,10.3,-0.6,,,,
1.439,4,Atta_4,187.0,1191.2,0.7,-9.7,0.6,,,,
1.542,3,Atta_3,517.0,67.9,89.6,-28.0,1.8,,,,
1.542,4,Atta_4,176.9,1193.3,1.3,-10.3,0.6,,,,
1.612,2,Atta_2,134.5,317.7,358.6,-12.4,0.2,,,,
1.672,1,Atta_1,548.2,1504.8,266.6,-16.9,-0.4,,,,
1.672,2,Atta_2,150.5,326.7,358.6,18.4,0.0,,,,
1.672,3,Atta_3,551.9,87.9,88.0,40.2,-1.6,,,,
1.672,4,Atta_4,191.9,1202.8,0.9,17.8,-0.4,,,,
1.776,1,Atta_1,551.7,1506.8,267.0,-4.0,0.4,,,,
1.776,2,Atta_2,181.2,338.2,359.2,32.8,0.6,,,,
1.776,3,Atta_3,558.3,92.2,87.9,7.7,-0.1,,,,
1.776,4,Atta_4,196.1,1204.7,1.0,4.6,0.1,,,,
1.84,1,Atta_1,511.7,1480.9,267.1,47.7,0.1,,,,
1.84,2,Atta_2,121.9,308.6,359.2,-66.3,0.0,,,,
1.84,3,Atta_3,515.9,68.6,87.9,-48.5,0.0,,,,
1.84,4,Atta_4,153.7,1181.1,1.3,-48.5,0.3,,,,
1.905,1,Atta_1,560.0,1505.3,267.1,-54.1,0.0,,,,
1.905,2,Atta_2,173.3,337.7,359.1,59.1,-0.1,,,,
