session,scenario,arranque,robot,path_mm,straight_mm,route_ratio,evasions,rw_active_s,meet_active_s,t_stop_s
SinObs_ASop,SinObs,ASop,1,1316,441,2.98,0,23.0,8.0,18.5
SinObs_ASop,SinObs,ASop,2,2395,756,3.17,0,25.0,16.0,70.5
SinObs_ASop,SinObs,ASop,3,2003,1346,1.49,0,15.0,14.0,20.5
SinObs_ASop,SinObs,ASop,4,1221,531,2.3,0,15.0,7.0,17.5
SinObs_APar,SinObs,APar,1,1705,1539,1.11,0,12.0,15.0,25.2
SinObs_APar,SinObs,APar,2,2248,2051,1.1,0,14.0,21.0,34.2
SinObs_APar,SinObs,APar,3,1663,1504,1.11,0,15.0,16.0,21.2
SinObs_APar,SinObs,APar,4,1549,1348,1.15,0,20.0,16.0,28.2
SinObs_ALin,SinObs,ALin,1,869,646,1.35,0,24.0,7.0,14.8
SinObs_ALin,SinObs,ALin,2,1258,1078,1.17,0,21.0,11.0,18.8
SinObs_ALin,SinObs,ALin,3,639,180,3.55,0,22.0,4.0,9.8
SinObs_ALin,SinObs,ALin,4,1935,1596,1.21,0,18.0,17.0,33.8
BosqueD_D2_ASop,BosqueD_D2,ASop,1,1122,898,1.25,0,0.0,11.0,27.2
BosqueD_D2_ASop,BosqueD_D2,ASop,2,1696,1589,1.07,0,0.0,16.0,27.2
BosqueD_D2_ASop,BosqueD_D2,ASop,3,1642,1427,1.15,0,7.0,16.0,27.2
BosqueD_D2_ASop,BosqueD_D2,ASop,4,2112,1741,1.21,0,0.0,19.0,30.2
BosqueD_D2_APar,BosqueD_D2,APar,1,2817,1475,1.91,0,14.0,21.0,41.0
BosqueD_D2_APar,BosqueD_D2,APar,2,1866,1304,1.43,0,12.0,16.0,22.0
BosqueD_D2_APar,BosqueD_D2,APar,3,3664,989,3.71,0,20.0,29.0,103.0
BosqueD_D2_APar,BosqueD_D2,APar,4,2744,1652,1.66,0,32.0,21.0,30.0
BosqueD_D2_ALin,BosqueD_D2,ALin,1,2112,1564,1.35,0,16.0,20.0,37.0
BosqueD_D2_ALin,BosqueD_D2,ALin,2,1819,1262,1.44,0,24.0,17.0,38.0
BosqueD_D2_ALin,BosqueD_D2,ALin,3,2619,1906,1.37,0,16.0,22.0,38.0
BosqueD_D2_ALin,BosqueD_D2,ALin,4,1457,1138,1.28,0,15.0,14.0,23.0
BosqueD_D4_ASop,BosqueD_D4,ASop,1,6384,752,8.49,0,19.0,35.0,216.9
BosqueD_D4_ASop,BosqueD_D4,ASop,2,7119,1316,5.41,0,20.0,20.0,237.9
BosqueD_D4_ASop,BosqueD_D4,ASop,3,8273,616,13.43,0,22.0,40.0,246.9
BosqueD_D4_APar,BosqueD_D4,APar,1,1185,276,4.3,0,15.0,7.0,18.2
BosqueD_D4_APar,BosqueD_D4,APar,2,2556,1581,1.62,0,13.0,19.0,36.2
BosqueD_D4_APar,BosqueD_D4,APar,3,4520,1121,4.03,0,17.0,37.0,107.2
BosqueD_D4_APar,BosqueD_D4,APar,4,3118,1822,1.71,0,20.0,22.0,90.2
BosqueD_D4_ALin,BosqueD_D4,ALin,1,1309,992,1.32,0,17.0,12.0,19.4
BosqueD_D4_ALin,BosqueD_D4,ALin,2,1111,755,1.47,0,19.0,8.0,16.4
BosqueD_D4_ALin,BosqueD_D4,ALin,3,1937,1573,1.23,0,33.0,16.0,26.4
BosqueD_D4_ALin,BosqueD_D4,ALin,4,2835,1963,1.44,0,20.0,26.0,46.4
BosqueG_D2_ASop,BosqueG_D2,ASop,1,1747,826,2.11,0,12.0,9.0,36.1
BosqueG_D2_ASop,BosqueG_D2,ASop,2,4117,2324,1.77,0,18.0,35.0,72.1
BosqueG_D2_ASop,BosqueG_D2,ASop,3,2045,1343,1.52,0,19.0,17.0,24.1
