session,scenario,arranque,robot,path_mm,straight_mm,route_ratio,evasions,rw_active_s,meet_active_s,t_stop_s
SIM_31-07_15-28_Robots_10,SinObs,,1,2058,1722,1.2,0,41.0,16.0,22.3
SIM_31-07_15-28_Robots_10,SinObs,,2,1907,1437,1.33,0,40.0,12.0,16.3
SIM_31-07_15-28_Robots_10,SinObs,,3,1330,609,2.18,0,46.0,10.0,21.3
SIM_31-07_15-28_Robots_10,SinObs,,4,2723,2431,1.12,0,33.0,17.0,22.3
SIM_31-07_15-28_Robots_10,SinObs,,5,2789,2288,1.22,0,38.0,21.0,28.3
SIM_31-07_15-28_Robots_10,SinObs,,6,2603,2326,1.12,0,34.0,16.0,18.3
SIM_31-07_15-28_Robots_10,SinObs,,7,1429,1095,1.31,0,46.0,9.0,10.3
SIM_31-07_15-28_Robots_10,SinObs,,8,2622,2204,1.19,0,37.0,18.0,20.3
SIM_31-07_15-28_Robots_10,SinObs,,9,2923,2460,1.19,3,37.0,21.0,27.3
SIM_31-07_15-28_Robots_10,SinObs,,10,1521,1010,1.51,0,38.0,10.0,15.3
SIM_31-07_15-30_Robots_10,SinObs,,1,2350,1993,1.18,1,35.0,20.0,26.0
SIM_31-07_15-30_Robots_10,SinObs,,2,1949,1573,1.24,0,45.0,13.0,18.0
SIM_31-07_15-30_Robots_10,SinObs,,3,2833,2424,1.17,1,43.0,20.0,26.0
SIM_31-07_15-30_Robots_10,SinObs,,4,1753,1228,1.43,0,44.0,13.0,23.0
SIM_31-07_15-30_Robots_10,SinObs,,5,2954,2499,1.18,0,40.0,20.0,30.0
SIM_31-07_15-30_Robots_10,SinObs,,6,2376,1930,1.23,0,37.0,16.0,30.0
SIM_31-07_15-30_Robots_10,SinObs,,7,2795,2520,1.11,1,47.0,20.0,24.0
SIM_31-07_15-30_Robots_10,SinObs,,8,3198,2770,1.15,2,39.0,22.0,30.0
SIM_31-07_15-30_Robots_10,SinObs,,9,830,192,4.33,0,44.0,6.0,30.0
SIM_31-07_15-30_Robots_10,SinObs,,10,2312,1715,1.35,1,40.0,17.0,22.0
SIM_31-07_15-31_Robots_10,SinObs,,1,3237,1943,1.67,5,33.0,27.0,35.0
SIM_31-07_15-31_Robots_10,SinObs,,2,2668,2083,1.28,0,37.0,17.0,20.0
SIM_31-07_15-31_Robots_10,SinObs,,3,2740,2157,1.27,0,41.0,17.0,23.0
SIM_31-07_15-31_Robots_10,SinObs,,4,3573,2784,1.28,1,34.0,24.0,34.0
SIM_31-07_15-31_Robots_10,SinObs,,5,1905,1249,1.53,0,47.0,10.0,27.0
SIM_31-07_15-31_Robots_10,SinObs,,6,1454,283,5.13,0,51.0,11.0,41.0
SIM_31-07_15-31_Robots_10,SinObs,,7,1589,780,2.04,0,48.0,9.0,14.0
SIM_31-07_15-31_Robots_10,SinObs,,8,3565,2934,1.21,1,38.0,23.0,41.0
SIM_31-07_15-31_Robots_10,SinObs,,9,3129,2540,1.23,0,42.0,22.0,26.0
