session,scenario,arranque,n_robots,t_conv_frac_s,t_conv_all_s,converged_frac,arrived,centroid_to_target_mm,final_compaction_d,final_rms_d,rw_s,dead_s,meet_s,log_s,occupancy_pct,obstacle_area_d,passage_d,passage_min_d
SIM_31-07_15-28_Robots_10,SinObs,,10,22.3,,1,9,436,17.59,5.56,67.7,0.0,28.3,100.0,0.0,,26.48,
SIM_31-07_15-30_Robots_10,SinObs,,10,24.0,,1,9,345,18.33,5.8,69.0,0.0,30.0,104.0,0.0,,26.48,
SIM_31-07_15-31_Robots_10,SinObs,,10,34.0,,1,10,359,18.51,5.85,68.0,0.0,41.0,111.0,0.0,,26.48,
SIM_31-07_15-33_Robots_10,BosqueD_D2,,10,,20.0,0,6,1004,27.78,8.78,69.0,0.0,303.0,373.0,1.2,0.74,1.81,0.57
SIM_31-07_15-40_Robots_10,BosqueD_D2,,10,,,0,2,1664,23.1,7.31,73.7,0.0,302.3,380.0,1.2,0.74,1.81,0.57
SIM_31-07_15-46_Robots_10,BosqueD_D2,,10,,,0,7,865,24.63,7.79,69.9,0.0,302.1,376.0,1.2,0.74,1.81,0.57
SIM_31-07_15-53_Robots_10,BosqueD_D4,,10,48.2,,1,9,380,18.36,5.81,73.8,0.0,54.2,130.0,1.2,0.74,3.81,0.29
SIM_31-07_15-55_Robots_10,BosqueD_D4,,10,92.1,,1,9,386,18.34,5.8,67.9,0.0,99.1,171.0,1.2,0.74,3.81,0.29
SIM_31-07_15-58_Robots_10,BosqueD_D4,,10,68.0,,1,9,378,18.2,5.76,67.9,0.0,77.1,149.0,1.2,0.74,3.81,0.29
SIM_31-07_16-01_Robots_10,BosqueG_D2,,10,,,0,6,975,29.71,9.4,69.7,0.0,302.3,376.0,1.2,1.48,2.0,2.0
SIM_31-07_16-07_Robots_10,BosqueG_D2,,10,,,0,7,820,29.01,9.17,71.9,0.0,302.1,378.0,1.2,1.48,2.0,2.0
SIM_31-07_16-14_Robots_10,BosqueG_D2,,10,,,0,7,871,28.91,9.14,67.9,0.0,302.1,374.0,1.2,1.48,2.0,2.0
SIM_31-07_16-20_Robots_10,BosqueG_D4,,10,69.1,73.1,1,10,353,18.16,5.74,71.9,0.0,76.1,150.0,1.2,1.48,3.92,1.38
SIM_31-07_16-23_Robots_10,BosqueG_D4,,10,44.2,42.2,1,9,368,17.61,5.57,76.8,0.0,48.2,127.0,1.2,1.48,3.92,1.38
SIM_31-07_16-25_Robots_10,BosqueG_D4,,10,37.1,,1,9,421,17.43,5.51,67.9,0.0,43.1,115.0,1.2,1.48,3.92,1.38
