session,scenario,arranque,notas
SinObs_ASop,SinObs,ASop,
SinObs_APar,SinObs,APar,
SinObs_ALin,SinObs,ALin,
BosqueD_D2_ASop,BosqueD_D2,ASop,recuperada de la papelera (era Position/Console/Time_Log_30-07_10-47)
BosqueD_D2_APar,BosqueD_D2,APar,2o intento; el 1o quedó en descartes/ como _intento1_dudoso
BosqueD_D2_ALin,BosqueD_D2,ALin,2o intento; el 1o quedó en descartes/ como _intento1
BosqueD_D4_ASop,BosqueD_D4,ASop,
BosqueD_D4_APar,BosqueD_D4,APar,
BosqueD_D4_ALin,BosqueD_D4,ALin,
BosqueG_D2_ASop,BosqueG_D2,ASop,recuperada de la papelera (era Position/Console/Time_Log_30-07_15-05)
BosqueG_D2_APar,BosqueG_D2,APar,
BosqueG_D2_ALin,BosqueG_D2,ALin,
BosqueG_D4_ASop,BosqueG_D4,ASop,renombrada desde 30-07_17-02; el 1o (16-57) quedó en descartes/
BosqueG_D4_APar,BosqueG_D4,APar,renombrada desde 30-07_17-09
BosqueG_D4_ALin,BosqueG_D4,ALin,renombrada desde 30-07_17-06
