time,idrobot,robot,message
0.001,3,Atta_3,"DEBUG: -1, ID: 3, Atta_3 listo en puerto 6063"
0.002,1,Atta_1,"DEBUG: -1, ID: 1, Atta_1 listo en puerto 6061"
0.002,5,Atta_5,"DEBUG: -1, ID: 5, Atta_5 listo en puerto 6065"
0.002,2,Atta_2,"DEBUG: -1, ID: 2, Atta_2 listo en puerto 6062"
0.002,6,Atta_6,"DEBUG: -1, ID: 6, Atta_6 listo en puerto 6066"
0.002,4,Atta_4,"DEBUG: -1, ID: 4, Atta_4 listo en puerto 6064"
0.002,8,Atta_8,"DEBUG: -1, ID: 8, Atta_8 listo en puerto 6068"
0.002,7,Atta_7,"DEBUG: -1, ID: 7, Atta_7 listo en puerto 6067"
0.002,9,Atta_9,"DEBUG: -1, ID: 9, Atta_9 listo en puerto 6069"
0.003,10,Atta_10,"DEBUG: -1, ID: 10, Atta_10 listo en puerto 6070"
0.003,1,Atta_1,"DEBUG: -1, ID: 1, arena=3800x2800mm"
0.003,3,Atta_3,"DEBUG: -1, ID: 3, arena=3800x2800mm"
0.003,2,Atta_2,"DEBUG: -1, ID: 2, arena=3800x2800mm"
0.003,4,Atta_4,"DEBUG: -1, ID: 4, arena=3800x2800mm"
0.003,6,Atta_6,"DEBUG: -1, ID: 6, arena=3800x2800mm"
0.004,5,Atta_5,"DEBUG: -1, ID: 5, arena=3800x2800mm"
0.004,7,Atta_7,"DEBUG: -1, ID: 7, arena=3800x2800mm"
0.004,9,Atta_9,"DEBUG: -1, ID: 9, arena=3800x2800mm"
0.004,8,Atta_8,"DEBUG: -1, ID: 8, arena=3800x2800mm"
0.004,10,Atta_10,"DEBUG: -1, ID: 10, arena=3800x2800mm"
1.373,2,Atta_2,"DEBUG: -1, ID: 2, TURN IMU: objetivo=-90.0° real=-87.5° err=-2.5° corr#0"
1.389,1,Atta_1,"DEBUG: -1, ID: 1, TURN IMU: objetivo=-90.0° real=-87.8° err=-2.2° corr#0"
1.389,3,Atta_3,"DEBUG: -1, ID: 3, TURN IMU: objetivo=-90.0° real=-87.5° err=-2.5° corr#0"
1.389,5,Atta_5,"DEBUG: -1, ID: 5, TURN IMU: objetivo=-90.0° real=-87.5° err=-2.5° corr#0"
1.389,4,Atta_4,"DEBUG: -1, ID: 4, TURN IMU: objetivo=-90.0° real=-87.5° err=-2.5° corr#0"
1.389,9,Atta_9,"DEBUG: -1, ID: 9, TURN IMU: objetivo=-90.0° real=-87.5° err=-2.5° corr#0"
1.389,8,Atta_8,"DEBUG: -1, ID: 8, TURN IMU: objetivo=-90.0° real=-87.5° err=-2.5° corr#0"
1.389,7,Atta_7,"DEBUG: -1, ID: 7, TURN IMU: objetivo=-90.0° real=-87.5° err=-2.5° corr#0"
1.389,10,Atta_10,"DEBUG: -1, ID: 10, TURN IMU: objetivo=-90.0° real=-87.5° err=-2.5° corr#0"
1.438,6,Atta_6,"DEBUG: -1, ID: 6, TURN IMU: objetivo=-90.0° real=-88.0° err=-2.0° corr#0"
3.851,2,Atta_2,"DEBUG: -1, ID: 2, ir_range=0.05m"
3.851,1,Atta_1,"DEBUG: -1, ID: 1, ir_range=0.05m"
3.851,4,Atta_4,"DEBUG: -1, ID: 4, ir_range=0.05m"
3.851,6,Atta_6,"DEBUG: -1, ID: 6, ir_range=0.05m"
3.851,5,Atta_5,"DEBUG: -1, ID: 5, ir_range=0.05m"
3.851,3,Atta_3,"DEBUG: -1, ID: 3, ir_range=0.05m"
3.852,10,Atta_10,"DEBUG: -1, ID: 10, ir_range=0.05m"
3.852,9,Atta_9,"DEBUG: -1, ID: 9, ir_range=0.05m"
3.852,7,Atta_7,"DEBUG: -1, ID: 7, ir_range=0.05m"
3.852,8,Atta_8,"DEBUG: -1, ID: 8, ir_range=0.05m"
4.844,3,Atta_3,"DEBUG: -1, ID: 3, Random walk: 60s"
4.844,1,Atta_1,"DEBUG: -1, ID: 1, Random walk: 60s"
4.845,2,Atta_2,"DEBUG: -1, ID: 2, Random walk: 60s"
4.845,7,Atta_7,"DEBUG: -1, ID: 7, Random walk: 60s"
4.845,5,Atta_5,"DEBUG: -1, ID: 5, Random walk: 60s"
4.845,4,Atta_4,"DEBUG: -1, ID: 4, Random walk: 60s"
4.846,8,Atta_8,"DEBUG: -1, ID: 8, Random walk: 60s"
4.846,6,Atta_6,"DEBUG: -1, ID: 6, Random walk: 60s"
4.846,10,Atta_10,"DEBUG: -1, ID: 10, Random walk: 60s"
4.846,9,Atta_9,"DEBUG: -1, ID: 9, Random walk: 60s"
5.899,1,Atta_1,"DEBUG: -1, ID: 1, MOVE interrumpido por IR — evasión +60°"
6.057,3,Atta_3,"DEBUG: -1, ID: 3, Movimiento completado"
6.057,8,Atta_8,"DEBUG: -1, ID: 8, Movimiento completado"
6.221,2,Atta_2,"DEBUG: -1, ID: 2, MOVE interrumpido por IR — evasión +60°"
6.339,5,Atta_5,"DEBUG: -1, ID: 5, Movimiento completado"
6.38,1,Atta_1,"DEBUG: -1, ID: 1, Movimiento completado"
6.537,3,Atta_3,"DEBUG: -1, ID: 3, MOVE interrumpido por IR — evasión +60°"
6.664,6,Atta_6,"DEBUG: -1, ID: 6, Movimiento completado"
6.664,9,Atta_9,"DEBUG: -1, ID: 9, Movimiento completado"
6.664,7,Atta_7,"DEBUG: -1, ID: 7, Movimiento completado"
6.665,10,Atta_10,"DEBUG: -1, ID: 10, Movimiento completado"
6.732,2,Atta_2,"DEBUG: -1, ID: 2, Movimiento completado"
6.877,4,Atta_4,"DEBUG: -1, ID: 4, MOVE interrumpido por IR — evasión +60°"
7.042,3,Atta_3,"DEBUG: -1, ID: 3, Movimiento completado"
7.209,5,Atta_5,"DEBUG: -1, ID: 5, MOVE interrumpido por IR — evasión +60°"
7.266,10,Atta_10,"DEBUG: -1, ID: 10, MOVE interrumpido por IR — evasión +60°"
7.366,4,Atta_4,"DEBUG: -1, ID: 4, Movimiento completado"
7.524,6,Atta_6,"DEBUG: -1, ID: 6, MOVE interrumpido por IR — evasión +60°"
7.551,8,Atta_8,"DEBUG: -1, ID: 8, Movimiento completado"
7.585,1,Atta_1,"DEBUG: -1, ID: 1, TURN IMU: objetivo=60.0° real=57.6° err=2.4° corr#0"
7.699,5,Atta_5,"DEBUG: -1, ID: 5, Movimiento completado"
7.768,10,Atta_10,"DEBUG: -1, ID: 10, Movimiento completado"
7.843,7,Atta_7,"DEBUG: -1, ID: 7, MOVE interrumpido por IR — evasión +60°"
7.843,9,Atta_9,"DEBUG: -1, ID: 9, TURN IMU: objetivo=-60.0° real=-57.0° err=-3.0° corr#0"
7.905,2,Atta_2,"DEBUG: -1, ID: 2, TURN IMU: objetivo=60.0° real=57.1° err=2.9° corr#0"
8.028,6,Atta_6,"DEBUG: -1, ID: 6, Movimiento completado"
8.226,3,Atta_3,"DEBUG: -1, ID: 3, TURN IMU: objetivo=60.0° real=57.1° err=2.9° corr#0"
8.309,1,Atta_1,"DEBUG: -1, ID: 1, Movimiento completado"
8.352,7,Atta_7,"DEBUG: -1, ID: 7, Movimiento completado"
8.557,4,Atta_4,"DEBUG: -1, ID: 4, TURN IMU: objetivo=60.0° real=57.1° err=2.9° corr#0"
8.656,2,Atta_2,"DEBUG: -1, ID: 2, Movimiento completado"
8.691,9,Atta_9,"DEBUG: -1, ID: 9, MOVE interrumpido por IR — evasión +60°"
