time,idrobot,robot,message
0.001,2,Atta_2,"DEBUG: -1, ID: 2, Atta_2 listo en puerto 6062"
0.001,1,Atta_1,"DEBUG: -1, ID: 1, Atta_1 listo en puerto 6061"
0.001,3,Atta_3,"DEBUG: -1, ID: 3, Atta_3 listo en puerto 6063"
0.001,6,Atta_6,"DEBUG: -1, ID: 6, Atta_6 listo en puerto 6066"
0.002,4,Atta_4,"DEBUG: -1, ID: 4, Atta_4 listo en puerto 6064"
0.002,5,Atta_5,"DEBUG: -1, ID: 5, Atta_5 listo en puerto 6065"
0.002,8,Atta_8,"DEBUG: -1, ID: 8, Atta_8 listo en puerto 6068"
0.003,7,Atta_7,"DEBUG: -1, ID: 7, Atta_7 listo en puerto 6067"
0.003,9,Atta_9,"DEBUG: -1, ID: 9, Atta_9 listo en puerto 6069"
0.003,10,Atta_10,"DEBUG: -1, ID: 10, Atta_10 listo en puerto 6070"
0.004,3,Atta_3,"DEBUG: -1, ID: 3, arena=3800x2800mm"
0.004,1,Atta_1,"DEBUG: -1, ID: 1, arena=3800x2800mm"
0.004,4,Atta_4,"DEBUG: -1, ID: 4, arena=3800x2800mm"
0.004,2,Atta_2,"DEBUG: -1, ID: 2, arena=3800x2800mm"
0.004,5,Atta_5,"DEBUG: -1, ID: 5, arena=3800x2800mm"
0.004,6,Atta_6,"DEBUG: -1, ID: 6, arena=3800x2800mm"
0.005,7,Atta_7,"DEBUG: -1, ID: 7, arena=3800x2800mm"
0.005,8,Atta_8,"DEBUG: -1, ID: 8, arena=3800x2800mm"
0.005,9,Atta_9,"DEBUG: -1, ID: 9, arena=3800x2800mm"
0.016,10,Atta_10,"DEBUG: -1, ID: 10, arena=3800x2800mm"
1.295,2,Atta_2,"DEBUG: -1, ID: 2, TURN IMU: objetivo=-90.0° real=-87.5° err=-2.5° corr#0"
1.295,4,Atta_4,"DEBUG: -1, ID: 4, TURN IMU: objetivo=-90.0° real=-87.5° err=-2.5° corr#0"
1.295,3,Atta_3,"DEBUG: -1, ID: 3, TURN IMU: objetivo=-90.0° real=-87.5° err=-2.5° corr#0"
1.296,7,Atta_7,"DEBUG: -1, ID: 7, TURN IMU: objetivo=-90.0° real=-87.5° err=-2.5° corr#0"
1.296,8,Atta_8,"DEBUG: -1, ID: 8, TURN IMU: objetivo=-90.0° real=-87.5° err=-2.5° corr#0"
1.296,6,Atta_6,"DEBUG: -1, ID: 6, TURN IMU: objetivo=-90.0° real=-87.5° err=-2.5° corr#0"
1.296,9,Atta_9,"DEBUG: -1, ID: 9, TURN IMU: objetivo=-90.0° real=-87.5° err=-2.5° corr#0"
1.296,5,Atta_5,"DEBUG: -1, ID: 5, TURN IMU: objetivo=-90.0° real=-87.5° err=-2.5° corr#0"
1.296,10,Atta_10,"DEBUG: -1, ID: 10, TURN IMU: objetivo=-90.0° real=-87.5° err=-2.5° corr#0"
1.311,1,Atta_1,"DEBUG: -1, ID: 1, TURN IMU: objetivo=-90.0° real=-87.8° err=-2.2° corr#0"
3.914,7,Atta_7,"DEBUG: -1, ID: 7, ir_range=0.05m"
3.914,4,Atta_4,"DEBUG: -1, ID: 4, ir_range=0.05m"
3.914,3,Atta_3,"DEBUG: -1, ID: 3, ir_range=0.05m"
