time,idrobot,robot,x,y,angle,linearDisplacement,angularDisplacement,ekf_x,ekf_y,ekf_angle,ekf_age_ms
0,1,Atta_1,191.0,249.7,0.2,0,0,,,,
0,2,Atta_2,253.7,526.4,0.0,0,0,,,,
0,3,Atta_3,165.3,865.9,4.2,0,0,,,,
0,4,Atta_4,287.9,1044.3,0.1,0,0,,,,
0,5,Atta_5,217.8,1248.9,1.1,0,0,,,,
0,6,Atta_6,205.3,1518.6,0.7,0,0,,,,
0,7,Atta_7,182.5,1786.2,359.4,0,0,,,,
0,8,Atta_8,227.2,2089.4,356.8,0,0,,,,
0,9,Atta_9,190.7,2259.6,0.6,0,0,,,,
0,10,Atta_10,206.9,2562.4,357.4,0,0,,,,
-0.233,1,Atta_1,193.6,237.1,359.3,12.9,-0.9,,,,
-0.233,2,Atta_2,198.3,541.5,357.7,-57.4,-2.3,,,,
-0.233,3,Atta_3,203.3,826.4,359.2,54.8,-5.0,,,,
-0.233,4,Atta_4,238.6,1001.5,0.4,-65.3,0.3,,,,
-0.233,5,Atta_5,211.8,1228.0,357.9,-21.7,-3.2,,,,
-0.233,6,Atta_6,186.2,1496.5,356.9,-29.2,-3.8,,,,
-0.233,7,Atta_7,179.0,1742.1,359.3,-44.2,-0.1,,,,
-0.233,8,Atta_8,213.8,2036.6,0.9,-54.5,4.1,,,,
-0.233,9,Atta_9,167.4,2259.8,359.4,-23.3,-1.2,,,,
-0.233,10,Atta_10,227.4,2468.6,359.7,96.0,2.3,,,,
0.04,1,Atta_1,188.8,243.7,338.5,-8.2,-20.8,,,,
0.04,2,Atta_2,180.5,500.1,340.6,-45.1,-17.1,,,,
0.04,3,Atta_3,204.9,767.2,343.6,59.2,-15.6,,,,
0.04,4,Atta_4,200.3,998.5,338.3,-38.4,-22.1,,,,
0.04,5,Atta_5,172.1,1257.7,341.7,-49.6,-16.2,,,,
0.04,6,Atta_6,237.9,1533.7,337.0,63.7,-19.9,,,,
0.04,7,Atta_7,217.0,1803.9,341.4,72.5,-17.9,,,,
0.04,8,Atta_8,209.9,2001.3,342.5,-35.5,-18.4,,,,
0.04,9,Atta_9,264.2,2306.5,337.5,107.5,-21.9,,,,
0.04,10,Atta_10,167.2,2571.6,341.6,-119.3,-18.1,,,,
0.098,1,Atta_1,241.4,273.3,339.7,60.4,1.2,,,,
0.098,2,Atta_2,247.2,569.4,333.5,96.2,-7.1,,,,
0.098,3,Atta_3,197.3,764.7,338.9,-8.0,-4.7,,,,
0.098,4,Atta_4,151.3,1054.7,338.5,-74.6,0.2,,,,
0.098,5,Atta_5,211.7,1240.9,334.9,43.0,-6.8,,,,
0.098,6,Atta_6,222.9,1485.7,335.0,50.3,-2.0,,,,
0.098,7,Atta_7,223.0,1804.1,336.9,6.0,-4.5,,,,
0.098,8,Atta_8,197.0,2070.0,338.6,-69.9,-3.9,,,,
0.098,9,Atta_9,180.6,2273.4,334.3,-89.9,-3.2,,,,
0.098,10,Atta_10,211.3,2524.0,337.8,64.9,-3.8,,,,
0.163,1,Atta_1,137.1,261.8,333.2,-104.9,-6.5,,,,
0.163,2,Atta_2,222.0,493.2,329.4,80.3,-4.1,,,,
0.163,3,Atta_3,247.1,770.3,331.5,50.1,-7.4,,,,
0.163,4,Atta_4,255.3,1042.6,332.1,104.7,-6.4,,,,
0.163,5,Atta_5,212.7,1297.7,331.0,-56.8,-3.9,,,,
0.163,6,Atta_6,163.8,1560.2,332.0,-95.1,-3.0,,,,
0.163,7,Atta_7,236.9,1747.6,330.4,58.2,-6.5,,,,
0.163,8,Atta_8,141.6,1974.8,331.7,-110.1,-6.9,,,,
0.163,9,Atta_9,220.8,2293.6,331.7,45.0,-2.6,,,,
0.163,10,Atta_10,196.6,2597.4,335.1,-74.9,-2.7,,,,
0.229,1,Atta_1,155.2,213.4,328.4,51.7,-4.8,,,,
0.229,2,Atta_2,195.3,584.9,325.3,-95.5,-4.1,,,,
0.229,3,Atta_3,125.5,808.2,330.0,-127.4,-1.5,,,,
0.229,4,Atta_4,173.9,1064.7,325.8,-84.3,-6.3,,,,
0.229,5,Atta_5,184.7,1279.4,329.3,-33.4,-1.7,,,,
0.229,6,Atta_6,248.5,1543.6,326.6,86.3,-5.4,,,,
0.229,7,Atta_7,229.9,1749.2,327.6,-7.2,-2.8,,,,
0.229,8,Atta_8,177.4,2049.4,324.9,-82.7,-6.8,,,,
0.229,9,Atta_9,253.9,2252.8,325.6,52.5,-6.1,,,,
0.229,10,Atta_10,254.5,2540.6,327.9,81.1,-7.2,,,,
0.298,1,Atta_1,159.2,255.0,324.4,-41.8,-4.0,,,,
0.298,2,Atta_2,233.4,560.6,326.4,45.2,1.1,,,,
0.298,3,Atta_3,257.7,731.2,324.4,153.0,-5.6,,,,
0.298,4,Atta_4,244.8,1040.4,326.1,74.9,0.3,,,,
0.298,5,Atta_5,239.6,1257.8,324.2,59.0,-5.1,,,,
0.298,6,Atta_6,164.1,1522.8,321.7,-86.9,-4.9,,,,
0.298,7,Atta_7,189.0,1801.5,320.0,-66.4,-7.6,,,,
0.298,8,Atta_8,194.4,2045.3,322.1,17.5,-2.8,,,,
0.298,9,Atta_9,212.1,2232.4,325.0,-46.5,-0.6,,,,
0.298,10,Atta_10,146.3,2504.6,322.6,-114.0,-5.3,,,,
0.366,1,Atta_1,207.8,220.0,319.5,59.9,-4.9,,,,
0.366,2,Atta_2,172.9,530.3,319.2,-67.7,-7.2,,,,
0.366,3,Atta_3,170.8,776.6,317.6,-98.0,-6.8,,,,
0.366,4,Atta_4,140.1,1086.6,318.3,-114.4,-7.8,,,,
0.366,5,Atta_5,200.3,1322.4,319.5,-75.6,-4.7,,,,
0.366,6,Atta_6,175.6,1500.0,322.0,25.5,0.3,,,,
0.366,7,Atta_7,158.0,1774.6,317.4,-41.0,-2.6,,,,
0.366,8,Atta_8,171.6,2095.7,317.2,-55.3,-4.9,,,,
0.366,9,Atta_9,181.6,2221.0,319.3,-32.6,-5.7,,,,
0.366,10,Atta_10,144.5,2494.5,316.9,10.3,-5.7,,,,
0.436,1,Atta_1,222.7,220.6,314.1,14.9,-5.4,,,,
0.436,2,Atta_2,217.2,500.2,315.3,53.6,-3.9,,,,
0.436,3,Atta_3,215.2,812.7,316.4,57.2,-1.2,,,,
0.436,4,Atta_4,201.8,1048.5,313.2,72.5,-5.1,,,,
0.436,5,Atta_5,269.2,1292.4,315.1,75.1,-4.4,,,,
0.436,6,Atta_6,226.4,1529.9,316.8,58.9,-5.2,,,,
0.436,7,Atta_7,228.5,1814.3,316.3,80.9,-1.1,,,,
0.436,8,Atta_8,215.7,2043.0,311.9,68.7,-5.3,,,,
0.436,9,Atta_9,215.2,2340.1,314.5,-123.7,-4.8,,,,
0.436,10,Atta_10,189.6,2505.2,313.9,46.4,-3.0,,,,
0.507,1,Atta_1,226.3,333.0,308.3,-112.5,-5.8,,,,
0.507,2,Atta_2,222.1,541.4,308.2,-41.5,-7.1,,,,
0.507,3,Atta_3,284.6,787.0,306.8,74.0,-9.6,,,,
0.507,4,Atta_4,180.5,1055.4,306.7,-22.4,-6.5,,,,
0.507,5,Atta_5,162.9,1266.0,305.5,-109.5,-9.6,,,,
0.507,6,Atta_6,193.3,1479.7,312.4,60.1,-4.4,,,,
0.507,7,Atta_7,200.1,1827.0,310.9,-31.1,-5.4,,,,
0.507,8,Atta_8,206.2,2036.8,309.4,-11.3,-2.5,,,,
0.507,9,Atta_9,172.4,2344.0,310.2,-43.0,-4.3,,,,
0.507,10,Atta_10,226.0,2574.1,312.6,-77.9,-1.3,,,,
0.562,1,Atta_1,229.2,297.2,303.1,35.9,-5.2,,,,
0.562,2,Atta_2,155.2,566.4,302.4,-71.4,-5.8,,,,
0.562,3,Atta_3,199.4,739.4,304.6,-97.6,-2.2,,,,
0.562,4,Atta_4,204.0,1004.4,305.2,56.2,-1.5,,,,
0.562,5,Atta_5,189.7,1269.7,306.0,27.1,0.5,,,,
0.562,6,Atta_6,233.8,1527.5,305.8,-62.7,-6.6,,,,
0.562,7,Atta_7,185.9,1748.2,305.4,80.1,-5.5,,,,
0.562,8,Atta_8,191.9,1990.0,307.6,48.9,-1.8,,,,
0.562,9,Atta_9,185.3,2279.4,303.0,65.9,-7.2,,,,
0.562,10,Atta_10,218.2,2484.7,308.0,89.7,-4.6,,,,
0.633,1,Atta_1,213.8,289.6,300.1,-17.2,-3.0,,,,
0.633,2,Atta_2,171.3,502.8,303.3,65.6,0.9,,,,
0.633,3,Atta_3,181.1,791.6,301.4,-55.3,-3.2,,,,
0.633,4,Atta_4,218.7,1065.5,302.9,-62.8,-2.3,,,,
0.633,5,Atta_5,243.0,1319.8,300.1,-73.1,-5.9,,,,
0.633,6,Atta_6,202.8,1514.6,301.7,-33.6,-4.1,,,,
0.633,7,Atta_7,194.3,1811.7,300.0,-64.1,-5.4,,,,
0.633,8,Atta_8,124.6,2049.6,301.4,-89.9,-6.2,,,,
0.633,9,Atta_9,222.0,2291.4,298.2,38.6,-4.8,,,,
0.633,10,Atta_10,159.9,2571.8,297.7,-104.8,-10.3,,,,
0.704,1,Atta_1,206.1,204.1,297.5,85.8,-2.6,,,,
0.704,2,Atta_2,238.7,562.1,296.9,-89.8,-6.4,,,,
0.704,3,Atta_3,255.9,773.8,293.7,76.9,-7.7,,,,
0.704,4,Atta_4,236.9,1043.8,295.4,28.3,-7.5,,,,
0.704,5,Atta_5,200.8,1193.1,292.6,133.5,-7.5,,,,
0.704,6,Atta_6,194.5,1536.4,296.1,-23.3,-5.6,,,,
0.704,7,Atta_7,228.6,1734.4,292.6,84.6,-7.4,,,,
0.704,8,Atta_8,209.5,2018.4,298.2,90.5,-3.2,,,,
0.704,9,Atta_9,236.9,2301.1,294.1,-17.8,-4.1,,,,
0.704,10,Atta_10,140.6,2509.8,297.0,64.9,-0.7,,,,
0.771,1,Atta_1,176.6,288.2,290.8,-89.1,-6.7,,,,
0.771,2,Atta_2,201.3,523.6,290.5,53.7,-6.4,,,,
0.771,3,Atta_3,194.2,741.7,292.7,69.6,-1.0,,,,
0.771,4,Atta_4,230.7,1003.9,293.9,40.4,-1.5,,,,
0.771,5,Atta_5,214.1,1313.4,290.0,-121.0,-2.6,,,,
0.771,6,Atta_6,151.2,1520.4,292.5,-46.2,-3.6,,,,
0.771,7,Atta_7,198.9,1783.0,288.9,-57.0,-3.7,,,,
0.771,8,Atta_8,189.2,2054.2,290.2,-41.2,-8.0,,,,
0.771,9,Atta_9,171.0,2251.7,297.8,82.4,3.7,,,,
