time,idrobot,robot,x,y,angle,linearDisplacement,angularDisplacement,ekf_x,ekf_y,ekf_angle,ekf_age_ms
0,1,Atta_1,227.2,252.2,359.1,0,0,,,,
0,2,Atta_2,225.8,511.8,358.5,0,0,,,,
0,3,Atta_3,200.3,785.1,1.8,0,0,,,,
0,4,Atta_4,217.1,1058.1,0.1,0,0,,,,
0,5,Atta_5,207.2,1243.4,359.7,0,0,,,,
0,6,Atta_6,208.8,1474.4,0.0,0,0,,,,
0,7,Atta_7,238.4,1749.4,1.1,0,0,,,,
0,8,Atta_8,199.2,2052.1,356.9,0,0,,,,
0,9,Atta_9,221.8,2290.2,3.3,0,0,,,,
0,10,Atta_10,187.9,2521.4,359.8,0,0,,,,
-0.292,1,Atta_1,229.2,274.1,358.8,22.0,-0.3,,,,
-0.292,2,Atta_2,145.7,474.8,358.4,-88.2,-0.1,,,,
-0.292,3,Atta_3,193.2,840.2,355.3,-55.6,-6.5,,,,
-0.292,4,Atta_4,223.4,1026.0,355.9,32.7,-4.2,,,,
-0.292,5,Atta_5,191.6,1282.6,355.1,-42.2,-4.6,,,,
-0.292,6,Atta_6,200.3,1537.2,353.2,-63.4,-6.8,,,,
-0.292,7,Atta_7,209.5,1835.7,356.0,-91.0,-5.1,,,,
-0.292,8,Atta_8,217.4,2067.6,1.5,23.9,4.6,,,,
-0.292,9,Atta_9,217.7,2326.9,356.5,-36.9,-6.8,,,,
-0.292,10,Atta_10,179.3,2520.4,357.8,-8.7,-2.0,,,,
0.04,1,Atta_1,216.0,267.8,333.4,-14.6,-25.4,,,,
0.04,2,Atta_2,203.8,482.8,340.4,58.6,-18.0,,,,
0.04,3,Atta_3,143.8,748.2,334.9,-104.4,-20.4,,,,
0.04,4,Atta_4,227.6,1048.4,334.6,22.8,-21.3,,,,
0.04,5,Atta_5,143.5,1294.7,334.5,-49.6,-20.6,,,,
0.04,6,Atta_6,208.8,1478.5,334.6,59.3,-18.6,,,,
0.04,7,Atta_7,180.8,1739.1,334.5,-100.8,-21.5,,,,
0.04,8,Atta_8,183.8,1992.3,332.9,-82.5,-28.6,,,,
0.04,9,Atta_9,205.7,2228.6,338.7,-99.0,-17.8,,,,
0.04,10,Atta_10,205.5,2524.3,332.2,26.5,-25.6,,,,
0.098,1,Atta_1,223.3,185.6,332.0,82.5,-1.4,,,,
0.098,2,Atta_2,174.9,486.0,333.8,-29.1,-6.6,,,,
0.098,3,Atta_3,170.2,766.1,331.5,31.9,-3.4,,,,
0.098,4,Atta_4,146.7,1003.1,328.5,-92.7,-6.1,,,,
0.098,5,Atta_5,188.5,1258.5,332.2,57.8,-2.3,,,,
0.098,6,Atta_6,263.0,1528.1,331.8,73.5,-2.8,,,,
0.098,7,Atta_7,193.6,1749.8,327.0,16.7,-7.5,,,,
