time,idrobot,robot,x,y,angle,linearDisplacement,angularDisplacement,ekf_x,ekf_y,ekf_angle,ekf_age_ms
0,1,Atta_1,152.7,281.6,359.9,0,0,,,,
0,2,Atta_2,121.1,526.7,3.5,0,0,,,,
0,3,Atta_3,192.5,798.8,1.6,0,0,,,,
0,4,Atta_4,224.7,1019.9,359.8,0,0,,,,
0,5,Atta_5,165.1,1271.8,1.6,0,0,,,,
0,6,Atta_6,186.1,1519.3,358.5,0,0,,,,
0,7,Atta_7,256.1,1772.0,4.0,0,0,,,,
0,8,Atta_8,183.2,2010.9,0.2,0,0,,,,
0,9,Atta_9,214.8,2263.7,2.9,0,0,,,,
0,10,Atta_10,154.8,2482.6,358.4,0,0,,,,
0.026,1,Atta_1,205.6,309.0,341.8,59.6,-18.1,,,,
0.026,2,Atta_2,157.0,556.6,336.2,46.7,-27.3,,,,
0.026,3,Atta_3,212.6,753.3,338.3,49.7,-23.3,,,,
0.026,4,Atta_4,120.8,1046.1,337.8,-107.2,-22.0,,,,
0.026,5,Atta_5,166.9,1280.6,336.1,9.0,-25.5,,,,
0.026,6,Atta_6,211.7,1533.4,342.9,29.2,-15.6,,,,
0.026,7,Atta_7,181.5,1767.9,339.7,-74.7,-24.3,,,,
0.026,8,Atta_8,173.9,2056.6,336.4,-46.6,-23.8,,,,
0.026,9,Atta_9,189.9,2280.1,338.8,-29.8,-24.1,,,,
0.026,10,Atta_10,221.9,2523.8,341.5,78.7,-16.9,,,,
0.084,1,Atta_1,216.0,249.5,333.0,60.4,-8.8,,,,
0.084,2,Atta_2,199.2,500.1,335.0,70.5,-1.2,,,,
0.084,3,Atta_3,212.8,789.5,334.5,-36.2,-3.8,,,,
0.084,4,Atta_4,162.2,1013.6,332.1,52.6,-5.7,,,,
0.084,5,Atta_5,194.4,1284.2,333.0,27.7,-3.1,,,,
0.084,6,Atta_6,238.0,1474.3,335.0,64.7,-7.9,,,,
0.084,7,Atta_7,211.3,1771.3,334.6,30.0,-5.1,,,,
0.084,8,Atta_8,182.7,2045.0,335.4,14.6,-1.0,,,,
0.084,9,Atta_9,152.2,2262.3,332.7,-41.7,-6.1,,,,
0.084,10,Atta_10,174.5,2538.4,333.7,-49.6,-7.8,,,,
0.15,1,Atta_1,175.9,295.1,332.0,-60.7,-1.0,,,,
0.15,2,Atta_2,149.0,484.6,333.4,-52.5,-1.6,,,,
0.15,3,Atta_3,226.8,786.7,328.7,14.3,-5.8,,,,
0.15,4,Atta_4,167.9,1001.0,329.9,13.8,-2.2,,,,
0.15,5,Atta_5,222.7,1251.9,329.5,42.9,-3.5,,,,
0.15,6,Atta_6,183.4,1492.4,330.1,-57.5,-4.9,,,,
0.15,7,Atta_7,168.3,1831.0,330.5,-73.6,-4.1,,,,
0.15,8,Atta_8,223.2,2021.5,333.7,46.8,-1.7,,,,
0.15,9,Atta_9,215.6,2294.8,332.5,71.2,-0.2,,,,
0.15,10,Atta_10,159.5,2536.1,333.3,-15.2,-0.4,,,,
0.215,1,Atta_1,196.8,276.0,323.0,28.3,-9.0,,,,
0.215,2,Atta_2,243.8,536.7,324.8,108.2,-8.6,,,,
0.215,3,Atta_3,181.8,795.5,324.9,-45.9,-3.8,,,,
0.215,4,Atta_4,185.5,1054.2,326.7,-56.0,-3.2,,,,
0.215,5,Atta_5,200.5,1294.3,324.4,-47.9,-5.1,,,,
0.215,6,Atta_6,197.5,1523.5,328.6,-34.1,-1.5,,,,
0.215,7,Atta_7,129.4,1821.3,328.4,-40.1,-2.1,,,,
0.215,8,Atta_8,184.9,2048.5,324.3,-46.9,-9.4,,,,
0.215,9,Atta_9,195.0,2252.9,325.6,46.7,-6.9,,,,
0.215,10,Atta_10,184.3,2514.4,329.7,33.0,-3.6,,,,
0.281,1,Atta_1,219.9,212.9,318.2,67.2,-4.8,,,,
0.281,2,Atta_2,213.5,525.4,322.6,-32.3,-2.2,,,,
0.281,3,Atta_3,140.3,771.6,318.3,-47.9,-6.6,,,,
0.281,4,Atta_4,214.6,1082.9,319.6,40.9,-7.1,,,,
0.281,5,Atta_5,196.0,1344.1,321.7,-50.0,-2.7,,,,
0.281,6,Atta_6,247.5,1551.6,323.6,57.4,-5.0,,,,
0.281,7,Atta_7,182.6,1802.8,319.1,56.3,-9.3,,,,
0.281,8,Atta_8,235.2,2060.4,320.9,51.7,-3.4,,,,
0.281,9,Atta_9,213.3,2320.3,324.4,-69.8,-1.2,,,,
0.281,10,Atta_10,173.9,2469.6,321.4,46.0,-8.3,,,,
0.35,1,Atta_1,233.1,277.2,316.0,-65.6,-2.2,,,,
0.35,2,Atta_2,170.4,527.3,314.1,-43.1,-8.5,,,,
0.35,3,Atta_3,202.5,775.8,316.9,62.3,-1.4,,,,
0.35,4,Atta_4,215.4,972.4,315.9,110.5,-3.7,,,,
0.35,5,Atta_5,172.6,1220.3,316.1,126.0,-5.6,,,,
0.35,6,Atta_6,241.2,1540.0,322.2,13.2,-1.4,,,,
0.35,7,Atta_7,191.5,1756.9,316.7,46.8,-2.4,,,,
0.35,8,Atta_8,207.9,2037.7,316.3,-35.5,-4.6,,,,
0.35,9,Atta_9,217.6,2289.8,317.6,30.8,-6.8,,,,
0.35,10,Atta_10,166.5,2553.9,317.6,-84.6,-3.8,,,,
