session,scenario,rep,target,clearance_mm,contact_pct
SinObs_r1,SinObs,1,3400,,
SinObs_r2,SinObs,2,3400,,
SinObs_r3,SinObs,3,3400,,
BosqueD_D2_r1,BosqueD_D2,1,3400,-1.4,0.07
BosqueD_D2_r2,BosqueD_D2,2,3400,-0.2,0.03
BosqueD_D2_r3,BosqueD_D2,3,3400,-0.7,0.19
BosqueD_D4_r1,BosqueD_D4,1,3400,-0.2,0.07
BosqueD_D4_r2,BosqueD_D4,2,3400,-0.2,0.03
BosqueD_D4_r3,BosqueD_D4,3,3400,-0.2,0.03
BosqueG_D2_r1,BosqueG_D2,1,3400,-1.4,0.16
BosqueG_D2_r2,BosqueG_D2,2,3400,-1.1,0.09
BosqueG_D2_r3,BosqueG_D2,3,3400,-0.7,0.14
BosqueG_D4_r1,BosqueG_D4,1,3400,-0.7,0.07
BosqueG_D4_r2,BosqueG_D4,2,3400,-0.4,0.04
BosqueG_D4_r3,BosqueG_D4,3,3400,-0.3,0.01
