session,scenario,arranque,n_robots,t_conv_frac_s,t_conv_all_s,converged_frac,arrived,centroid_to_target_mm,final_compaction_d,final_rms_d,rw_s,dead_s,meet_s,log_s,occupancy_pct,obstacle_area_d,passage_d,passage_min_d
SinObs_r1,SinObs,,10,19.1,32.1,1,,,17.91,5.66,67.9,0.0,32.1,105.0,0.0,,26.48,
SinObs_r2,SinObs,,10,17.1,28.1,1,,,17.57,5.56,69.9,0.0,29.1,107.0,0.0,,26.48,
SinObs_r3,SinObs,,10,15.2,22.2,1,,,16.59,5.25,65.7,0.0,30.3,102.0,0.0,,26.48,
BosqueD_D2_r1,BosqueD_D2,,10,30.1,59.1,1,,,17.87,5.65,70.9,0.0,65.1,138.0,1.2,0.74,1.81,0.57
BosqueD_D2_r2,BosqueD_D2,,10,34.0,36.0,1,,,18.23,5.76,70.0,0.0,44.0,119.0,1.2,0.74,1.81,0.57
BosqueD_D2_r3,BosqueD_D2,,10,48.1,,1,,,20.01,6.33,71.9,0.0,59.1,132.0,1.2,0.74,1.81,0.57
BosqueD_D4_r1,BosqueD_D4,,10,29.3,30.3,1,,,18.68,5.91,67.7,0.0,40.3,113.0,1.2,0.74,3.81,0.29
BosqueD_D4_r2,BosqueD_D4,,10,30.1,30.1,1,,,18.39,5.82,79.8,0.0,41.2,122.0,1.2,0.74,3.81,0.29
BosqueD_D4_r3,BosqueD_D4,,10,28.1,35.1,1,,,17.93,5.67,67.9,0.0,45.1,120.0,1.2,0.74,3.81,0.29
BosqueG_D2_r1,BosqueG_D2,,10,52.1,56.1,1,,,18.79,5.94,65.9,0.0,64.1,135.0,1.2,1.48,2.0,2.0
BosqueG_D2_r2,BosqueG_D2,,10,39.1,,1,,,19.4,6.13,73.9,0.0,45.1,120.0,1.2,1.48,2.0,2.0
BosqueG_D2_r3,BosqueG_D2,,10,49.2,,1,,,20.77,6.57,68.8,0.0,56.2,129.0,1.2,1.48,2.0,2.0
BosqueG_D4_r1,BosqueG_D4,,10,23.2,24.2,1,,,17.35,5.49,70.8,0.0,37.2,111.0,1.2,1.48,3.92,1.38
BosqueG_D4_r2,BosqueG_D4,,10,21.1,,1,,,18.54,5.86,79.9,0.0,40.1,125.0,1.2,1.48,3.92,1.38
BosqueG_D4_r3,BosqueG_D4,,10,26.1,34.1,1,,,17.73,5.61,65.9,0.0,35.1,111.0,1.2,1.48,3.92,1.38
